niche,feature,category2,category_label,feature_group,climate_period,n_zones,mean_importance_share,sd_importance_share,median_importance_share,selected_zones,top5_zones,top10_zones,se_importance_share,selection_frequency,top5_frequency,top10_frequency,category_variable_rank,inference_scope,common_factor,overall_mean_importance_share,overall_selection_frequency,overall_top5_frequency,importance_difference_from_all_zones,importance_ratio_to_all_zones,selection_frequency_difference,top5_frequency_difference
climate,RH_sm,alpine_vegetation,alpine vegetation,Humidity,Summer,3,0.014091262967998,0.0127705083483907,0.0173735031022485,2,0,0,0.00737305643263175,0.666666666666667,0,0,27,within-category pattern,FALSE,0.00978750356585574,0.339622641509434,0.0188679245283019,0.0043037594021423,1.43971982979973,0.327044025157233,-0.0188679245283019
climate,Tave_sp,alpine_vegetation,alpine vegetation,Temperature,Spring,3,0,0,0,0,0,0,0,0,0,0,35,within-category pattern,FALSE,0.000545855325798425,0.0188679245283019,0,-0.000545855325798425,0,-0.0188679245283019,0
climate,Tave_at,alpine_vegetation,alpine vegetation,Temperature,Autumn,3,0,0,0,0,0,0,0,0,0,0,35,within-category pattern,FALSE,0.000726826016858566,0.0188679245283019,0,-0.000726826016858566,0,-0.0188679245283019,0
climate,NFFD_at,alpine_vegetation,alpine vegetation,Growing season and degree-days,Autumn,3,0,0,0,0,0,0,0,0,0,0,35,within-category pattern,FALSE,0.00089623036471533,0.0188679245283019,0,-0.00089623036471533,0,-0.0188679245283019,0
climate,EMT,alpine_vegetation,alpine vegetation,Temperature,Annual,3,0.0136728545490676,0.0236820787634843,0,1,0,0,0.0136728545490676,0.333333333333333,0,0,29,within-category pattern,FALSE,0.0146390356766687,0.320754716981132,0,-0.000966181127601124,0.933999673957964,0.0125786163522013,0
climate,Tmax_at,alpine_vegetation,alpine vegetation,Temperature,Autumn,3,0,0,0,0,0,0,0,0,0,0,35,within-category pattern,FALSE,0.00127647530780379,0.0188679245283019,0,-0.00127647530780379,0,-0.0188679245283019,0
climate,DD5_wt,alpine_vegetation,alpine vegetation,Growing season and degree-days,Winter,3,0,0,0,0,0,0,0,0,0,0,35,within-category pattern,FALSE,0.00136081559652095,0.0188679245283019,0.0188679245283019,-0.00136081559652095,0,-0.0188679245283019,-0.0188679245283019
climate,NFFD,alpine_vegetation,alpine vegetation,Growing season and degree-days,Annual,3,0,0,0,0,0,0,0,0,0,0,35,within-category pattern,FALSE,0.00156895548265152,0.0377358490566038,0,-0.00156895548265152,0,-0.0377358490566038,0
climate,PAS_at,alpine_vegetation,alpine vegetation,Snowfall,Autumn,3,0,0,0,0,0,0,0,0,0,0,35,within-category pattern,FALSE,0.0024087728576103,0.0566037735849057,0.0188679245283019,-0.0024087728576103,0,-0.0566037735849057,-0.0188679245283019
climate,DD18_at,alpine_vegetation,alpine vegetation,Growing season and degree-days,Autumn,3,0,0,0,0,0,0,0,0,0,0,35,within-category pattern,FALSE,0.00294890467994768,0.0754716981132076,0,-0.00294890467994768,0,-0.0754716981132076,0
