zoneID,zone_name,category2,category_label,niche,reference_area_km2,reference_pixels,n_selected_features,top1_importance_share,top5_importance_share,importance_shannon,effective_number_of_features,selection_roles,selected_for_detail
33,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards,cropland,cropland,soil,264431.973201361,391144,9,0.212401776827141,0.720065342144784,2.11191452502734,8.26404787522615,"",FALSE
47,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations,cropland,cropland,soil,269180.349462283,359409,9,0.2074705503107,0.657415879788245,2.14720910676959,8.56093237700716,"",FALSE
53,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,cropland,cropland,soil,53783.411818324,67859,9,0.206868105423408,0.704052717040791,2.12338458473031,8.35938270060945,"",FALSE
23,Shrub deserts,desert,desert,soil,215639.769601697,330737,9,0.258011636020353,0.714503033549029,2.0807982474121,8.01086101179067,"",FALSE
24,Semi-shrub and dwarf semi-shrub deserts,desert,desert,soil,547719.084772723,846694,9,0.202402799570398,0.727310000346119,2.10773684058176,8.22959530704786,category largest observed area; global largest observed area,TRUE
25,Temperate tufted low grass and nano-semi-shrub desert steppes,desert,desert,soil,157239.724775428,237969,9,0.173545583910979,0.71117140138635,2.13487066247495,8.45595276412967,"",FALSE
29,Dwarf semi-arboreous deserts,desert,desert,soil,102358.514043218,164699,9,0.308819538910505,0.756137638013416,2.01195034503268,7.4778875951215,category profile medoid,TRUE
32,Succulent halophytic dwarf semi-shrub deserts,desert,desert,soil,41176.9538326962,62847,9,0.199869494917965,0.755270527639376,2.08898548591042,8.0767170632055,"",FALSE
35,Steppe shrub deserts,desert,desert,soil,21673.0911747923,32917,9,0.205952901456033,0.731059666644711,2.10603090364205,8.21556810457798,"",FALSE
38,Annual herb deserts,desert,desert,soil,19641.7789199388,30035,9,0.19451108594641,0.746070122387547,2.09260920756068,8.10603793093685,category smallest observed area,TRUE
42,Cushion nano-semi-shrub high-cold deserts,desert,desert,soil,108908.531014594,157267,9,0.145763548123699,0.693474974220936,2.15049881031913,8.58914168131907,"",FALSE
2,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,forest,forest,soil,160335.840232647,284343,9,0.16521882484929,0.654963188377072,2.16829528416689,8.74336637406963,"",FALSE
3,Broadleaf deciduous forests in temperate zone,forest,forest,soil,345904.264996547,553420,9,0.190308787413776,0.710260265294689,2.11517122976008,8.29100531143181,"",FALSE
