category2,niche,category_label,n_zones,inference_scope,group_rank,feature_group,mean_group_importance_share,se_group_importance_share,top_variables
forest,soil,forest,15,within-category pattern,3,Soil reaction,0.126834693274979,0.00913044081079121,T_CEC_CLAY [15.2%; selected 100%]; T_BS [12.8%; selected 87%]; T_PH_H2O [12.7%; selected 100%]; T_TEB [11.8%; selected 93%]; T_SILT [8.8%; selected 80%]; T_OC [7.8%; selected 73%]
grassland_meadow_steppe,soil,grassland meadow steppe,8,within-category pattern,1,Nutrient retention and base status,0.404132011234737,0.0340802326214313,T_OC [15.4%; selected 100%]; T_CEC_CLAY [14.5%; selected 100%]; T_TEB [11.7%; selected 100%]; T_CLAY [7.7%; selected 88%]; T_PH_H2O [7.6%; selected 75%]; T_REF_BULK_DENSITY [7.6%; selected 88%]
grassland_meadow_steppe,soil,grassland meadow steppe,8,within-category pattern,2,Texture,0.20076776968909,0.0154309127533227,T_OC [15.4%; selected 100%]; T_CEC_CLAY [14.5%; selected 100%]; T_TEB [11.7%; selected 100%]; T_CLAY [7.7%; selected 88%]; T_PH_H2O [7.6%; selected 75%]; T_REF_BULK_DENSITY [7.6%; selected 88%]
grassland_meadow_steppe,soil,grassland meadow steppe,8,within-category pattern,3,Organic carbon,0.153681281357022,0.0165739450990563,T_OC [15.4%; selected 100%]; T_CEC_CLAY [14.5%; selected 100%]; T_TEB [11.7%; selected 100%]; T_CLAY [7.7%; selected 88%]; T_PH_H2O [7.6%; selected 75%]; T_REF_BULK_DENSITY [7.6%; selected 88%]
scrub,soil,scrub,6,within-category pattern,1,Nutrient retention and base status,0.427899559593131,0.0237353497557436,T_CEC_CLAY [13%; selected 100%]; T_CLAY [12.3%; selected 100%]; T_OC [12%; selected 83%]; T_BS [10.9%; selected 83%]; T_CEC_SOIL [9.7%; selected 83%]; T_TEB [9.2%; selected 83%]
scrub,soil,scrub,6,within-category pattern,2,Texture,0.235136227556006,0.024609341300869,T_CEC_CLAY [13%; selected 100%]; T_CLAY [12.3%; selected 100%]; T_OC [12%; selected 83%]; T_BS [10.9%; selected 83%]; T_CEC_SOIL [9.7%; selected 83%]; T_TEB [9.2%; selected 83%]
scrub,soil,scrub,6,within-category pattern,3,Organic carbon,0.119901914096447,0.0312768570879321,T_CEC_CLAY [13%; selected 100%]; T_CLAY [12.3%; selected 100%]; T_OC [12%; selected 83%]; T_BS [10.9%; selected 83%]; T_CEC_SOIL [9.7%; selected 83%]; T_TEB [9.2%; selected 83%]
wetland,soil,wetland,5,within-category pattern,1,Nutrient retention and base status,0.441567539082464,0.0234046035533837,T_OC [15.6%; selected 100%]; T_CEC_CLAY [15%; selected 100%]; T_CEC_SOIL [14.9%; selected 100%]; T_GRAVEL [13.8%; selected 100%]; T_SAND [8.3%; selected 100%]; T_TEB [7.2%; selected 80%]
wetland,soil,wetland,5,within-category pattern,2,Organic carbon,0.156254709082336,0.0258422419841226,T_OC [15.6%; selected 100%]; T_CEC_CLAY [15%; selected 100%]; T_CEC_SOIL [14.9%; selected 100%]; T_GRAVEL [13.8%; selected 100%]; T_SAND [8.3%; selected 100%]; T_TEB [7.2%; selected 80%]
wetland,soil,wetland,5,within-category pattern,3,Texture,0.147343150938101,0.02961063685898,T_OC [15.6%; selected 100%]; T_CEC_CLAY [15%; selected 100%]; T_CEC_SOIL [14.9%; selected 100%]; T_GRAVEL [13.8%; selected 100%]; T_SAND [8.3%; selected 100%]; T_TEB [7.2%; selected 80%]
