method,method_label,original_zone,n_sample,prediction_valid_share,exact_share,reference_dual_valid_share,predicted_valid_but_reference_dual_NA_share,exact_when_reference_dual_valid,original_zone_top3_share,original_zone_top5_share
mf_var,Plain MF RF,14,263,0.988593155893536,0.803846153846154,0.988593155893536,0,0.803846153846154,0.923076923076923,0.938461538461539
mf_var,Plain MF RF,15,1797,0.971619365609349,0.54524627720504,0.954924874791319,0.0166944908180301,0.554778554778555,0.911421911421911,0.948717948717949
mf_var,Plain MF RF,16,7401,0.993109039319011,0.591020408163265,0.992973922442913,0.000135116876097825,0.591100830044904,0.893727037692203,0.938903252143149
mf_var,Plain MF RF,17,15,0.6,0.666666666666667,0.533333333333333,0.0666666666666667,0.75,0.75,0.75
mf_var,Plain MF RF,18,896,0.998883928571429,0.433519553072626,0.998883928571429,0,0.433519553072626,0.773184357541899,0.842458100558659
mf_var,Plain MF RF,19,6397,0.864780365796467,0.77114967462039,0.86352977958418,0.00125058621228701,0.772266473569877,0.873823316437364,0.887400434467777
mf_var,Plain MF RF,20,3251,0.921254998462012,0.597662771285476,0.917871424177176,0.00338357428483544,0.599865951742627,0.93230563002681,0.970174262734584
mf_var,Plain MF RF,21,4989,0.982762076568451,0.622883948602896,0.979154139106033,0.00360793746241732,0.62517911975435,0.84503582395087,0.934698055271238
mf_var,Plain MF RF,22,329,0.969604863221885,0.689655172413793,0.969604863221885,0,0.689655172413793,0.912225705329154,0.93730407523511
mf_var,Plain MF RF,23,2599,0.98653328203155,0.580343213728549,0.986148518661023,0.000384763370527126,0.580569644947327,0.948107686305111,0.972298088177916
mf_var,Plain MF RF,24,6618,0.997884557268057,0.63870381586917,0.997582351163494,0.000302206104563312,0.638897303847319,0.902756740381703,0.932747652226598
mf_var,Plain MF RF,25,1873,0.997330485851575,0.644004282655246,0.997330485851575,0,0.644004282655246,0.862955032119914,0.900963597430407
mf_var,Plain MF RF,26,305,1,0.59344262295082,1,0,0.59344262295082,0.832786885245902,0.859016393442623
mf_var,Plain MF RF,27,6886,0.990996224223061,0.740474794841735,0.989544002323555,0.00145222189950624,0.741561491047843,0.873348987378926,0.90402113296155
mf_var,Plain MF RF,28,387,0.994832041343669,0.501298701298701,0.994832041343669,0,0.501298701298701,0.763636363636364,0.844155844155844
mf_var,Plain MF RF,29,1264,0.996835443037975,0.792063492063492,0.994462025316456,0.00237341772151899,0.793953858392999,0.929196499602227,0.947494033412888
mf_var,Plain MF RF,30,4587,0.993677785044692,0.44164107064502,0.99345977763244,0.000218007412252017,0.441737985516787,0.793504498573623,0.902128593372833
mf_var,Plain MF RF,31,6792,0.992785630153121,0.702654604775323,0.99263839811543,0.000147232037691402,0.702758825274399,0.925244734500148,0.951201423909819
mf_var,Plain MF RF,32,482,0.973029045643153,0.684434968017058,0.973029045643153,0,0.684434968017058,0.886993603411514,0.918976545842217
mf_var,Plain MF RF,33,3119,0.996152613016993,0.652075957515288,0.996152613016993,0,0.652075957515288,0.873189571934342,0.915030576118442
mf_var,Plain MF RF,34,43,1,0.813953488372093,1,0,0.813953488372093,0.930232558139535,0.953488372093023
mf_var,Plain MF RF,35,255,0.996078431372549,0.866141732283465,0.996078431372549,0,0.866141732283465,0.944881889763779,0.948818897637795
mf_var,Plain MF RF,36,180,0.994444444444444,0.737430167597765,0.994444444444444,0,0.737430167597765,0.93854748603352,0.972067039106145
mf_var,Plain MF RF,37,1541,0.987021414665801,0.73241288625904,0.985074626865672,0.00194678780012979,0.733860342555995,0.831357048748353,0.887351778656127
mf_var,Plain MF RF,38,241,0.995850622406639,0.933333333333333,0.995850622406639,0,0.933333333333333,0.966666666666667,0.970833333333333
mf_var,Plain MF RF,39,173,0.988439306358381,0.637426900584795,0.988439306358381,0,0.637426900584795,0.900584795321637,0.929824561403509
mf_var,Plain MF RF,40,2780,0.995323741007194,0.377303939284424,0.993525179856115,0.00179856115107914,0.377986965966691,0.764301230992035,0.888848660391021
mf_var,Plain MF RF,41,761,0.996057818659658,0.546174142480211,0.996057818659658,0,0.546174142480211,0.846965699208443,0.862796833773087
mf_var,Plain MF RF,42,1241,0.988718775181305,0.778321108394458,0.988718775181305,0,0.778321108394458,0.976365118174409,0.986145069274654
mf_var,Plain MF RF,43,53,1,0.943396226415094,1,0,0.943396226415094,0.943396226415094,0.943396226415094
mf_var,Plain MF RF,44,4505,0.985127635960044,0.337088778729157,0.984017758046615,0.00110987791342952,0.337468982630273,0.727723889014212,0.872997969772163
mf_var,Plain MF RF,45,137,1,0.744525547445256,1,0,0.744525547445256,0.854014598540146,0.861313868613139
mf_var,Plain MF RF,46,1135,0.99647577092511,0.465959328028294,0.993832599118943,0.0026431718061674,0.467198581560284,0.889184397163121,0.937056737588652
mf_var,Plain MF RF,47,2865,0.986038394415358,0.566017699115044,0.98499127399651,0.00104712041884817,0.566619418851878,0.82636428065202,0.885542168674699
mf_var,Plain MF RF,48,20,0.75,0.866666666666667,0.75,0,0.866666666666667,0.866666666666667,0.933333333333333
mf_var,Plain MF RF,49,1285,0.997665369649805,0.445397815912636,0.996887159533074,0.000778210116731518,0.445745511319282,0.838407494145199,0.932864949258392
mf_var,Plain MF RF,50,26,1,0.884615384615385,1,0,0.884615384615385,1,1
mf_var,Plain MF RF,52,182,0.983516483516483,0.865921787709497,0.950549450549451,0.032967032967033,0.895953757225434,0.988439306358381,0.988439306358381
mf_var,Plain MF RF,53,558,0.948028673835126,0.76937618147448,0.937275985663083,0.010752688172043,0.778202676864245,0.923518164435946,0.940726577437859
mf_var,Plain MF RF,54,96,0.947916666666667,0.956043956043956,0.9375,0.0104166666666667,0.966666666666667,0.966666666666667,0.977777777777778
mf_var,Plain MF RF,55,40,1,0.85,1,0,0.85,0.975,0.975
rf_var,Plain RF,1,105,1,0.733333333333333,1,0,0.733333333333333,0.876190476190476,0.876190476190476
rf_var,Plain RF,2,2193,0.999088007295942,0.627567320858056,0.996808025535796,0.00227998176014592,0.62900274473925,0.893870082342177,0.931381518755718
rf_var,Plain RF,3,4352,0.997931985294118,0.521298641492056,0.997242647058824,0.000689338235294118,0.521658986175115,0.862903225806452,0.937327188940092
rf_var,Plain RF,4,686,0.991253644314869,0.441176470588235,0.988338192419825,0.00291545189504373,0.442477876106195,0.84070796460177,0.886430678466077
rf_var,Plain RF,5,1491,0.991951710261569,0.380662609871535,0.989939637826962,0.00201207243460765,0.381436314363144,0.756775067750677,0.836043360433605
rf_var,Plain RF,6,714,0.983193277310924,0.53988603988604,0.976190476190476,0.00700280112044818,0.543758967001435,0.901004304160689,0.925394548063128
rf_var,Plain RF,7,1671,0.998204667863555,0.405275779376499,0.997606223818073,0.000598444045481748,0.405518896220756,0.793641271745651,0.877024595080984
rf_var,Plain RF,9,240,1,0.820833333333333,1,0,0.820833333333333,0.983333333333333,0.983333333333333
rf_var,Plain RF,10,1278,0.99452269170579,0.546813532651456,0.992957746478873,0.00156494522691706,0.547675334909378,0.836879432624114,0.875492513790386
rf_var,Plain RF,11,1164,0.998281786941581,0.594664371772806,0.994845360824742,0.00343642611683849,0.596718480138169,0.850604490500863,0.88860103626943
rf_var,Plain RF,12,2931,0.993858751279427,0.628561620322691,0.992835209825998,0.00102354145342886,0.629209621993127,0.858419243986254,0.901374570446735
rf_var,Plain RF,13,4808,0.997712146422629,0.602459870752554,0.997504159733777,0.000207986688851913,0.602585487906589,0.862176814011676,0.911175979983319
rf_var,Plain RF,14,263,0.988593155893536,0.815384615384615,0.988593155893536,0,0.815384615384615,0.923076923076923,0.946153846153846
rf_var,Plain RF,15,1797,0.971619365609349,0.551546391752577,0.954924874791319,0.0166944908180301,0.561188811188811,0.914335664335664,0.948717948717949
rf_var,Plain RF,16,7401,0.993109039319011,0.594013605442177,0.992973922442913,0.000135116876097825,0.594094434616955,0.892094162471085,0.938903252143149
rf_var,Plain RF,17,15,0.6,0.666666666666667,0.533333333333333,0.0666666666666667,0.75,0.75,0.75
rf_var,Plain RF,18,896,0.998883928571429,0.442458100558659,0.998883928571429,0,0.442458100558659,0.769832402234637,0.843575418994413
rf_var,Plain RF,19,6397,0.864780365796467,0.77060737527115,0.86352977958418,0.00125058621228701,0.771723388848661,0.873280231716148,0.889934829833454
rf_var,Plain RF,20,3251,0.921254998462012,0.595325542570952,0.917871424177176,0.00338357428483544,0.597520107238606,0.932975871313673,0.971514745308311
rf_var,Plain RF,21,4989,0.982762076568451,0.62329186212523,0.979154139106033,0.00360793746241732,0.625588536335722,0.847082906857728,0.935721596724667
rf_var,Plain RF,22,329,0.969604863221885,0.695924764890282,0.969604863221885,0,0.695924764890282,0.921630094043887,0.940438871473354
rf_var,Plain RF,23,2599,0.98653328203155,0.575663026521061,0.986148518661023,0.000384763370527126,0.575887631681623,0.947717518532969,0.974248927038627
rf_var,Plain RF,24,6618,0.997884557268057,0.63885523924894,0.997582351163494,0.000302206104563312,0.639048773099061,0.905028779157831,0.93289912147834
rf_var,Plain RF,25,1873,0.997330485851575,0.640256959314775,0.997330485851575,0,0.640256959314775,0.866167023554604,0.901498929336188
