zoneID,niche,importance_spearman,importance_pearson,top5_overlap_n,top5_union_n,top5_jaccard,selected_overlap_n,selected_union_n,selected_jaccard,zone_name,detailed_category,category2,zone_color,reference_area_km2,reference_pixels,category_label,global_area_rank_largest,global_area_rank_smallest,category_area_rank_largest,category_area_rank_smallest
19,climate,0.981818181818182,0.99307838633911,4,6,0.666666666666667,21,21,1,No vegetation,no_vegetation,no_vegetation,#E0E0E0,535460.455323413,800196,no vegetation,5,49,1,1
7,climate,0.985714285714286,0.99643224779818,5,5,1,21,21,1,Deciduous scrubs in temperate zone,temperate_scrub,scrub,#C77DFF,145723.607727903,221602,scrub,20,34,2,5
18,climate,0.988311688311688,0.998257555791507,5,5,1,21,21,1,Subalpine broadleaf deciduous scrubs,subalpine_scrub,scrub,#9D4EDD,80420.5115528885,113046,scrub,29,25,4,3
44,climate,0.992207792207792,0.997074528842182,5,5,1,21,21,1,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones,subtropical_tropical_scrub,scrub,#F72585,441250.860529288,576554,scrub,7,47,1,6
45,climate,0.994805194805195,0.998366470828048,5,5,1,21,21,1,Subalpine needleleaf evergreen scrubs,subalpine_needleleaf_scrub,scrub,#7209B7,12167.9589990281,16418,scrub,45,9,5,2
46,climate,0.994805194805195,0.997287833861981,5,5,1,21,21,1,Subalpine sclerophyllous broadleaf evergreen scrubs,subalpine_sclerophyll_scrub,scrub,#B5179E,101463.317627609,136995,scrub,27,27,3,4
50,climate,0.996103896103896,0.995736678365053,5,5,1,21,21,1,Evergreen xeromorphic succulent thorny scrubs in subtropical and tropical zones,xeromorphic_succulent_thorny_scrub,scrub,#FF006E,1954.02259297092,2515,scrub,51,3,6,1
4,climate,0.996103896103896,0.995277300444213,5,5,1,21,21,1,"Grass, Carex and forb swamp meadows",swamp_meadow,wetland,#00B4D8,53482.0093491042,92312,wetland,33,21,2,4
6,climate,0.996103896103896,0.997299334913803,5,5,1,21,21,1,Cold-temperate and temperate marshes,marsh,wetland,#0077B6,53583.994126283,92003,wetland,32,22,1,5
43,climate,0.984415584415584,0.980606659903328,4,6,0.666666666666667,21,21,1,High-cold marshes,high_cold_marsh,wetland,#4CC9F0,4041.58735428002,5708,wetland,49,5,4,2
48,climate,0.955844155844156,0.989009625174672,5,5,1,21,21,1,Subtropical and tropical marshes,subtropical_tropical_marsh,wetland,#00BFA6,1797.64026241183,2400,wetland,52,2,5,1
54,climate,0.962337662337662,0.989601901911557,5,5,1,21,21,1,Tropical mangroves,mangrove,wetland,#006D5B,9405.78073086598,11883,wetland,47,7,3,3
17,soil,0.95,0.992335429867497,4,6,0.666666666666667,9,9,1,Alpine tundra,alpine_tundra,alpine_vegetation,#A2D2FF,1166.83977455947,2032,alpine vegetation,53,1,3,1
20,soil,0.883333333333333,0.995131307052725,4,6,0.666666666666667,9,9,1,Alpine sparse vegetation,alpine_sparse,alpine_vegetation,#B8C0FF,290572.043152328,411347,alpine vegetation,11,43,1,3
22,soil,0.983333333333333,0.995174069210062,5,5,1,9,9,1,Alpine cushion vegetation,alpine_cushion,alpine_vegetation,#CDB4DB,29216.0608445185,43164,alpine vegetation,37,17,2,2
1,soil,1,0.99909193274235,5,5,1,9,9,1,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,#FFD23F,9762.48864593947,15353,cropland,46,8,7,1
12,soil,0.983333333333333,0.988669380047791,5,5,1,9,9,1,One year one ripe grain fields and cold-tolerant economic crop fields,cropland,cropland,#F8961E,231554.213781713,375765,cropland,15,39,5,3
21,soil,1,0.996646254422684,5,5,1,9,9,1,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,cropland_orchard_plantation,cropland,#F3722C,460573.91798181,610148,cropland,6,48,2,6
27,soil,0.983333333333333,0.997178087541671,5,5,1,9,9,1,Two years three ripes or one year two ripes grain fields and deciduous orchards,cropland_orchard,cropland,#FFB703,581987.788488805,866811,cropland,3,51,1,7
33,soil,0.983333333333333,0.994557924201214,5,5,1,9,9,1,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards,cropland_orchard,cropland,#FDB833,264431.973201361,391144,cropland,13,41,4,4
47,soil,0.983333333333333,0.997372609514424,4,6,0.666666666666667,9,9,1,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations,cropland_orchard_plantation,cropland,#FF6D00,269180.349462283,359409,cropland,12,42,3,5
53,soil,1,0.994094432317236,5,5,1,9,9,1,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,tropical_cropland_orchard_plantation,cropland,#FF9F1C,53783.411818324,67859,cropland,31,23,6,2
23,soil,0.983333333333333,0.99786444318377,5,5,1,9,9,1,Shrub deserts,shrub_desert,desert,#B5651D,215639.769601697,330737,desert,16,38,2,7
24,soil,0.983333333333333,0.997489216076985,5,5,1,9,9,1,Semi-shrub and dwarf semi-shrub deserts,semi_shrub_desert,desert,#9C6644,547719.084772723,846694,desert,4,50,1,8
25,soil,1,0.983486227314392,5,5,1,9,9,1,Temperate tufted low grass and nano-semi-shrub desert steppes,desert_steppe,desert,#BC6C25,157239.724775428,237969,desert,18,36,3,6
29,soil,0.983333333333333,0.999414726477558,5,5,1,9,9,1,Dwarf semi-arboreous deserts,semi_arboreous_desert,desert,#7F5539,102358.514043218,164699,desert,26,28,5,4
32,soil,1,0.997351879835876,5,5,1,9,9,1,Succulent halophytic dwarf semi-shrub deserts,halophytic_desert,desert,#E63946,41176.9538326962,62847,desert,34,20,6,3
35,soil,0.983333333333333,0.994367176121792,5,5,1,9,9,1,Steppe shrub deserts,steppe_shrub_desert,desert,#D62828,21673.0911747923,32917,desert,38,16,7,2
38,soil,1,0.996785119117002,5,5,1,9,9,1,Annual herb deserts,annual_herb_desert,desert,#F4A261,19641.7789199388,30035,desert,40,14,8,1
42,soil,0.833333333333333,0.979819531640267,5,5,1,9,9,1,Cushion nano-semi-shrub high-cold deserts,high_cold_desert,desert,#8D99AE,108908.531014594,157267,desert,25,29,4,5
2,soil,0.95,0.959719656403609,4,6,0.666666666666667,9,9,1,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,cold_temperate_needleleaf_forest,forest,#005A32,160335.840232647,284343,forest,17,37,3,13
3,soil,1,0.995657965437079,5,5,1,9,9,1,Broadleaf deciduous forests in temperate zone,temperate_deciduous_forest,forest,#33A02C,345904.264996547,553420,forest,10,44,2,14
9,soil,0.933333333333333,0.990987922698396,5,5,1,9,9,1,Needleleaf and deciduous broadleaf mixed forests in temperate zone,mixed_forest,forest,#2CA25F,18681.3387065463,30540,forest,42,12,11,5
10,soil,1,0.994252925074941,5,5,1,9,9,1,Needleleaf forests on mountains in subtropical and tropical zones,mountain_needleleaf_forest,forest,#006D77,109739.960164066,147373,forest,24,30,6,10
14,soil,0.983333333333333,0.997610549507318,5,5,1,9,9,1,Microphyllous deciduous woodlands in temperate zone,temperate_woodland,forest,#8AC926,20908.5541959762,33001,forest,39,15,9,7
