category2,category_label,niche,feature,feature_group,climate_period,n_zones,mean_importance_share,sd_importance_share,median_importance_share,selected_zones,top5_zones,top10_zones,se_importance_share,selection_frequency,top5_frequency,top10_frequency,category_variable_rank,inference_scope,common_factor
alpine_vegetation,alpine vegetation,soil,T_CLAY,Texture,,3,0.0886146338562502,0.0773322259909198,0.123389995234609,2,2,2,0.0446477814928905,0.666666666666667,0.666666666666667,0.666666666666667,4,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,soil,T_CEC_CLAY,Nutrient retention and base status,,3,0.0755615443447624,0.0241550067231746,0.0809297807960085,3,0,3,0.0139458996339021,1,0,1,5,within-category pattern,FALSE
alpine_vegetation,alpine vegetation,soil,T_ESP,Sodicity,,3,0.0731763388175005,0.0661199990946317,0.0909025926760243,2,1,2,0.0381743992761034,0.666666666666667,0.333333333333333,0.666666666666667,6,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,soil,T_REF_BULK_DENSITY,Bulk density,,3,0.0705456443816856,0.0614034595054961,0.0996646967261115,2,2,2,0.0354513038746725,0.666666666666667,0.666666666666667,0.666666666666667,7,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,soil,T_SILT,Texture,,3,0.0669696350055068,0.0580109750609894,0.0991997740838685,2,1,2,0.0334926520674149,0.666666666666667,0.333333333333333,0.666666666666667,8,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,soil,T_TEB,Nutrient retention and base status,,3,0.0603572305500117,0.0635681668160432,0.0543603655572748,2,1,2,0.0367010982231336,0.666666666666667,0.333333333333333,0.666666666666667,9,within-category pattern,TRUE
cropland,cropland,soil,T_CEC_CLAY,Nutrient retention and base status,,7,0.18265937865615,0.0498656524715864,0.200509894570233,7,6,7,0.0188474450576844,1,0.857142857142857,1,1,within-category pattern,TRUE
cropland,cropland,soil,T_PH_H2O,Soil reaction,,7,0.116772173225713,0.0489673960669214,0.11871556410961,7,4,7,0.0185079360490681,1,0.571428571428571,1,2,within-category pattern,TRUE
cropland,cropland,soil,T_TEB,Nutrient retention and base status,,7,0.1154152292235,0.0251487877717621,0.11273447905757,7,5,7,0.00950534831697497,1,0.714285714285714,1,3,within-category pattern,TRUE
cropland,cropland,soil,T_OC,Organic carbon,,7,0.0962551666730692,0.0496661986863285,0.114971243055751,6,5,6,0.0187720586128497,0.857142857142857,0.714285714285714,0.857142857142857,4,within-category pattern,TRUE
cropland,cropland,soil,T_CEC_SOIL,Nutrient retention and base status,,7,0.0936293445354954,0.052603599199944,0.104349000540173,6,4,6,0.0198822916499954,0.857142857142857,0.571428571428571,0.857142857142857,5,within-category pattern,TRUE
cropland,cropland,soil,T_CLAY,Texture,,7,0.088124423041605,0.0199325188140714,0.089908525284767,7,3,7,0.00753378396930699,1,0.428571428571429,1,6,within-category pattern,TRUE
cropland,cropland,soil,T_SILT,Texture,,7,0.0824947773633317,0.0388771863992481,0.0945576836662039,6,3,6,0.0146941952694733,0.857142857142857,0.428571428571429,0.857142857142857,7,within-category pattern,TRUE
cropland,cropland,soil,T_REF_BULK_DENSITY,Bulk density,,7,0.0779061321984047,0.0371474811180887,0.0833347617336315,6,2,6,0.0140404281244186,0.857142857142857,0.285714285714286,0.857142857142857,8,within-category pattern,TRUE
cropland,cropland,soil,T_BS,Nutrient retention and base status,,7,0.0764761971514406,0.0580106608086801,0.0842425848497268,5,3,5,0.0219259688414698,0.714285714285714,0.428571428571429,0.714285714285714,9,within-category pattern,TRUE
desert,desert,soil,T_OC,Organic carbon,,8,0.17872095075219,0.0836259063515213,0.188392320185149,8,6,8,0.0295662227320159,1,0.75,1,1,within-category pattern,TRUE
desert,desert,soil,T_TEB,Nutrient retention and base status,,8,0.0966597975897765,0.0653056879258277,0.121128838998661,6,5,6,0.0230890473912026,0.75,0.625,0.75,2,within-category pattern,TRUE
desert,desert,soil,T_CASO4,Gypsum,,8,0.0807118121831128,0.0886627861172591,0.0665636719606554,4,4,4,0.0313470286512032,0.5,0.5,0.5,3,within-category pattern,TRUE
desert,desert,soil,T_CEC_CLAY,Nutrient retention and base status,,8,0.079894317063994,0.04158543596653,0.0778917719953752,7,3,7,0.0147026718852662,0.875,0.375,0.875,4,within-category pattern,TRUE
desert,desert,soil,T_CACO3,Carbonates,,8,0.0771402158197157,0.0793359381818945,0.074023740258636,5,2,5,0.0280494899401072,0.625,0.25,0.625,5,within-category pattern,TRUE
desert,desert,soil,T_PH_H2O,Soil reaction,,8,0.0710202917980321,0.0653386125185122,0.0840990667975934,5,3,5,0.0231006879925801,0.625,0.375,0.625,6,within-category pattern,TRUE
desert,desert,soil,T_CLAY,Texture,,8,0.0688462268515326,0.0460487265857909,0.0582693963323243,7,2,7,0.016280683416909,0.875,0.25,0.875,7,within-category pattern,TRUE
desert,desert,soil,T_REF_BULK_DENSITY,Bulk density,,8,0.0620140454762359,0.0385533497107322,0.055549590090922,7,2,7,0.0136306675089576,0.875,0.25,0.875,8,within-category pattern,TRUE
desert,desert,soil,T_GRAVEL,Coarse fragments,,8,0.0606147899934049,0.068230756008449,0.0380823355899632,4,3,4,0.0241232151295295,0.5,0.375,0.5,9,within-category pattern,TRUE
desert,desert,soil,T_ESP,Sodicity,,8,0.0591482786730014,0.0643374033352863,0.0489132917008717,4,4,4,0.0227467070911575,0.5,0.5,0.5,10,within-category pattern,TRUE
desert,desert,soil,T_CEC_SOIL,Nutrient retention and base status,,8,0.0493556456774179,0.0549725762086415,0.0334484153837748,4,3,4,0.0194357407082123,0.5,0.375,0.5,12,within-category pattern,TRUE
forest,forest,soil,T_CEC_CLAY,Nutrient retention and base status,,15,0.152180531688636,0.0618587799522522,0.165761735932516,15,12,15,0.0159718683047855,1,0.8,1,1,within-category pattern,TRUE
forest,forest,soil,T_BS,Nutrient retention and base status,,15,0.128327026583635,0.069857688656795,0.135933633267618,13,10,13,0.0180371776514873,0.866666666666667,0.666666666666667,0.866666666666667,2,within-category pattern,TRUE
forest,forest,soil,T_PH_H2O,Soil reaction,,15,0.126834693274979,0.0353620452037269,0.126577282097185,15,12,15,0.00913044081079121,1,0.8,1,3,within-category pattern,TRUE
forest,forest,soil,T_TEB,Nutrient retention and base status,,15,0.118091103387892,0.0426060649911225,0.123856029026351,14,11,14,0.0110008386772032,0.933333333333333,0.733333333333333,0.933333333333333,4,within-category pattern,TRUE
forest,forest,soil,T_SILT,Texture,,15,0.0883951138338451,0.0524801019106836,0.0903609136842168,12,8,12,0.0135503040471564,0.8,0.533333333333333,0.8,5,within-category pattern,TRUE
forest,forest,soil,T_OC,Organic carbon,,15,0.0784207577635745,0.0569051594388774,0.0908051040702816,11,5,11,0.0146928489880033,0.733333333333333,0.333333333333333,0.733333333333333,6,within-category pattern,TRUE
forest,forest,soil,T_CEC_SOIL,Nutrient retention and base status,,15,0.0582165484913185,0.0524997447390276,0.0578088382313262,10,4,10,0.0135553758036263,0.666666666666667,0.266666666666667,0.666666666666667,8,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,soil,T_OC,Organic carbon,,8,0.153681281357022,0.046878195882225,0.141281630761067,8,7,8,0.0165739450990563,1,0.875,1,1,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,soil,T_CEC_CLAY,Nutrient retention and base status,,8,0.144669092996963,0.0586732077294901,0.130806209256233,8,6,8,0.0207441115297447,1,0.75,1,2,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,soil,T_TEB,Nutrient retention and base status,,8,0.116951833012176,0.0366829305612064,0.124581596164867,8,5,8,0.0129693744768122,1,0.625,1,3,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,soil,T_CLAY,Texture,,8,0.076943059620022,0.0415931777953983,0.0745726518631336,7,3,7,0.0147054090351119,0.875,0.375,0.875,4,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,soil,T_PH_H2O,Soil reaction,,8,0.0764764721650483,0.059504407716102,0.0825863223629807,6,3,6,0.0210379851032724,0.75,0.375,0.75,5,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,soil,T_REF_BULK_DENSITY,Bulk density,,8,0.0757701995194431,0.0355734462316382,0.0861128401405679,7,3,7,0.0125771125302832,0.875,0.375,0.875,6,within-category pattern,TRUE
