method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,recall,specificity,precision,f1,tss
optimized_mf,24,845397,666440,491084,11373073,175356,354313,0.957263479413056,0.580891581115145,0.98481559699592,0.736876538022928,0.6496520458224,0.565707178111065
optimized_mf,25,237357,345266,151196,11962399,194070,86161,0.977389467949607,0.636998276857224,0.984035660354993,0.437911639141995,0.519018301714831,0.621033937212216
optimized_mf,26,40896,110637,20000,12262293,90637,20896,0.991000922556118,0.489045383411581,0.992662712409121,0.180771351356237,0.263968904463054,0.481708095820701
optimized_mf,27,859115,702552,604141,11436300,98411,254974,0.971487012969199,0.703213190317944,0.991468273457393,0.859923535909086,0.773712961854224,0.694681463775337
optimized_mf,28,46042,110511,19518,12256791,90993,26524,0.990518101512802,0.423917292906477,0.992630823474074,0.176615902489345,0.249346866556374,0.416548116380551
optimized_mf,29,164338,210151,124767,12144104,85384,39571,0.989917963992717,0.759209677615646,0.993018186861134,0.593701671655143,0.666331988389512,0.75222786447678
optimized_mf,30,576557,486822,240850,11571297,245972,335707,0.953067035151212,0.41773840227419,0.979185376925921,0.494739350316954,0.452989949961397,0.396923779200111
optimized_mf,31,841378,679553,539426,11412321,140127,301952,0.96433070788633,0.641122064042559,0.987870363060712,0.793795333108676,0.709336583973895,0.628992427103271
optimized_mf,32,60484,100631,34042,12266753,66589,26442,0.992493762620195,0.56282653263673,0.994600895685857,0.338285419006072,0.422580144617199,0.557427428322587
optimized_mf,33,389751,372077,232090,11864088,139987,157661,0.975984171473764,0.595482756939687,0.988338376759559,0.623768736041196,0.609297636736901,0.583821133699246
optimized_mf,34,5159,18761,3328,12373234,15433,1831,0.998607048380379,0.645086257026556,0.998754264684005,0.177389264964554,0.278260869565217,0.643840521710561
optimized_mf,35,32864,93320,27098,12294740,66222,5766,0.994191624119945,0.824549659201558,0.99464264998145,0.290377196742392,0.42949977810182,0.819192309183008
optimized_mf,36,22575,162273,14178,12223156,148095,8397,0.987373390589798,0.628039867109635,0.988029100694829,0.0873712817289383,0.153401713840561,0.616068967804463
optimized_mf,37,191906,194681,136525,12143764,58156,55381,0.990839229145221,0.711416005752817,0.995233864834387,0.701275419789296,0.706309317178281,0.706649870587203
optimized_mf,38,30032,65456,27325,12325663,38131,2707,0.996704972298304,0.909862812999467,0.996915914322092,0.417456000977756,0.57232322386059,0.90677872732156
optimized_mf,39,21943,83939,13164,12301108,70775,8779,0.993581158877009,0.599917969284054,0.994279367174746,0.1568281728398,0.248654162180541,0.5941973364588
optimized_mf,40,339661,329690,114384,11838859,215306,225277,0.964451413147159,0.336759298241482,0.982138455878114,0.346944099002093,0.341775839581923,0.318897754119595
optimized_mf,41,91243,164495,46049,12184137,118446,45194,0.9867966518168,0.504685290926427,0.990372265726636,0.279941639563513,0.360126379341357,0.495057556653064
optimized_mf,42,155019,291206,115217,12062818,175989,39802,0.982588830922751,0.743244376495784,0.9856204121856,0.39565462250091,0.516407641884699,0.728864788681384
