method,model_family,model_version,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
rf_var,single RF,corrected,54,11548,24444,10759,12368593,13685,789,0.998832160464412,0.965285636093324,0.931676480775892,0.998894791410757,0.440148911798396,0.597855078906424,0.930571272186648
rf_var,single RF,corrected,55,6383,21914,5451,12370980,16463,932,0.998596478601523,0.926329073125882,0.853987153376155,0.998670992875608,0.248745094460162,0.385270523377037,0.852658146251764
plain_mf,multi-Forest,original,1,15263,43483,11606,12346686,31877,3657,0.997132927313971,0.878912895958191,0.760400969665203,0.997424822251177,0.266908906929145,0.395124774452729,0.757825791916381
plain_mf,multi-Forest,original,2,284043,258085,181881,12033579,76204,102162,0.985608479576847,0.817018170818942,0.640329105100284,0.993707236537599,0.70473293682314,0.670989139096302,0.634036341637883
plain_mf,multi-Forest,original,3,552373,458965,289076,11671564,169889,263297,0.965048242568518,0.754493901571006,0.523334775595476,0.985653027546535,0.629843234233547,0.571670400993535,0.508987803142011
plain_mf,multi-Forest,original,4,91405,105091,42524,12239854,62567,48881,0.991007780809574,0.730070222091885,0.4652261911274,0.99491425305637,0.404639788373886,0.4328230600114,0.46014044418377
plain_mf,multi-Forest,original,5,190463,174270,72899,12101992,101371,117564,0.982335156230207,0.687219723318476,0.382746255178171,0.991693191458781,0.418310667355253,0.399738987149504,0.374439446636952
plain_mf,multi-Forest,original,6,90294,106468,51564,12248628,54904,38730,0.992445109363323,0.783302693308515,0.571067845039538,0.995537541577492,0.48431453582297,0.524125593356441,0.566605386617029
plain_mf,multi-Forest,original,7,220966,253217,88926,12008569,164291,132040,0.976090434059668,0.694472752531114,0.402442004652299,0.986503500409928,0.351184952037185,0.375070384218751,0.388945505062228
plain_mf,multi-Forest,original,9,30500,72616,25326,12316036,47290,5174,0.995766924596166,0.913267816623901,0.830360655737705,0.996174977510097,0.348766112151592,0.491213778657046,0.826535633247802
plain_mf,multi-Forest,original,10,146264,161110,77118,12163570,83992,69146,0.987644009202647,0.760197118729236,0.527252092107422,0.99314214535105,0.478666749425858,0.501786097718089,0.520394237458473
plain_mf,multi-Forest,original,11,147057,187925,89389,12148233,98536,57668,0.987396627966215,0.799903430065365,0.607852737373943,0.991954122756786,0.475663163496076,0.533694347755999,0.599806860130729
plain_mf,multi-Forest,original,12,374213,347381,236595,11908827,110786,137618,0.979957440099611,0.811514886680595,0.632246875442596,0.990782897918594,0.681082154752275,0.655756561168746,0.623029773361189
plain_mf,multi-Forest,original,13,618971,540527,379039,11613367,161488,239932,0.9676112929131,0.799327456512477,0.612369561740372,0.986285351284581,0.701239716054887,0.65379845415861,0.598654913024953
plain_mf,multi-Forest,original,14,32665,88101,26767,12299827,61334,5898,0.994575363572153,0.907238967837702,0.819439767335068,0.995038168340336,0.30382175003689,0.443287017869268,0.814477935675404
plain_mf,multi-Forest,original,15,235591,251526,134135,12040844,117391,101456,0.982342256539667,0.779850049646326,0.569355365867117,0.990344733425534,0.533284829401334,0.550730112067532,0.559700099292651
plain_mf,multi-Forest,original,16,911178,714709,547143,11315082,167566,364035,0.957107595346264,0.792942872767112,0.600478720952437,0.985407024581786,0.765546537122101,0.673039393266568,0.585885745534224
plain_mf,multi-Forest,original,17,1641,7071,1508,12386622,5563,133,0.9995404163331,0.959251473333697,0.918951858622791,0.999551088044602,0.213265450431339,0.346189164370983,0.918502946667393
plain_mf,multi-Forest,original,18,112964,161358,45742,12165246,115616,67222,0.985247654759717,0.697755570054268,0.404925462979356,0.990585677129179,0.283481451183084,0.333491298546963,0.395511140108535
plain_mf,multi-Forest,original,19,691356,582703,533214,11652981,49489,158142,0.983247223254546,0.883514643343059,0.77125822297051,0.995771063715609,0.915069941290846,0.837031879999278,0.767029286686119
