original_zone,predicted_zone,n,method,method_label
9,18,5,mf_var,Plain MF RF
9,20,2,mf_var,Plain MF RF
9,21,1,mf_var,Plain MF RF
9,22,1,mf_var,Plain MF RF
9,24,1,mf_var,Plain MF RF
9,25,4,mf_var,Plain MF RF
9,26,2,mf_var,Plain MF RF
9,27,26,mf_var,Plain MF RF
9,28,1,mf_var,Plain MF RF
9,29,1,mf_var,Plain MF RF
9,30,1,mf_var,Plain MF RF
9,31,1,mf_var,Plain MF RF
9,34,3,mf_var,Plain MF RF
9,35,2,mf_var,Plain MF RF
9,36,4,mf_var,Plain MF RF
9,37,2,mf_var,Plain MF RF
9,38,1,mf_var,Plain MF RF
9,42,2,mf_var,Plain MF RF
9,45,1,mf_var,Plain MF RF
9,46,1,mf_var,Plain MF RF
9,48,4,mf_var,Plain MF RF
9,49,2,mf_var,Plain MF RF
9,52,2,mf_var,Plain MF RF
9,54,4,mf_var,Plain MF RF
9,55,3,mf_var,Plain MF RF
10,1,1547,mf_var,Plain MF RF
10,2,12,mf_var,Plain MF RF
10,3,744,mf_var,Plain MF RF
10,4,9,mf_var,Plain MF RF
10,5,424,mf_var,Plain MF RF
10,6,8,mf_var,Plain MF RF
10,7,116,mf_var,Plain MF RF
10,9,233,mf_var,Plain MF RF
10,10,76925,mf_var,Plain MF RF
10,11,19,mf_var,Plain MF RF
10,12,32,mf_var,Plain MF RF
10,13,80,mf_var,Plain MF RF
10,14,19,mf_var,Plain MF RF
10,15,29,mf_var,Plain MF RF
10,16,2376,mf_var,Plain MF RF
10,17,10,mf_var,Plain MF RF
10,18,6027,mf_var,Plain MF RF
10,19,12,mf_var,Plain MF RF
10,20,1787,mf_var,Plain MF RF
10,21,33,mf_var,Plain MF RF
10,22,18,mf_var,Plain MF RF
10,23,20,mf_var,Plain MF RF
10,24,13,mf_var,Plain MF RF
10,25,2,mf_var,Plain MF RF
10,26,189,mf_var,Plain MF RF
10,27,15,mf_var,Plain MF RF
10,28,852,mf_var,Plain MF RF
10,29,15,mf_var,Plain MF RF
10,30,621,mf_var,Plain MF RF
10,31,39,mf_var,Plain MF RF
10,32,7,mf_var,Plain MF RF
10,33,183,mf_var,Plain MF RF
10,34,4667,mf_var,Plain MF RF
10,35,10,mf_var,Plain MF RF
10,36,1696,mf_var,Plain MF RF
10,37,27,mf_var,Plain MF RF
10,38,15,mf_var,Plain MF RF
10,39,12714,mf_var,Plain MF RF
10,40,764,mf_var,Plain MF RF
10,41,14,mf_var,Plain MF RF
10,42,15,mf_var,Plain MF RF
10,43,215,mf_var,Plain MF RF
10,44,198,mf_var,Plain MF RF
10,45,774,mf_var,Plain MF RF
10,46,25322,mf_var,Plain MF RF
10,47,721,mf_var,Plain MF RF
10,48,15,mf_var,Plain MF RF
10,49,6325,mf_var,Plain MF RF
10,50,278,mf_var,Plain MF RF
10,52,22,mf_var,Plain MF RF
10,53,26,mf_var,Plain MF RF
10,54,15,mf_var,Plain MF RF
10,55,15,mf_var,Plain MF RF
11,1,9,mf_var,Plain MF RF
11,2,1594,mf_var,Plain MF RF
11,3,1809,mf_var,Plain MF RF
11,4,5071,mf_var,Plain MF RF
11,5,7383,mf_var,Plain MF RF
11,6,2587,mf_var,Plain MF RF
11,7,4464,mf_var,Plain MF RF
11,9,22,mf_var,Plain MF RF
11,10,13,mf_var,Plain MF RF
11,11,89229,mf_var,Plain MF RF
11,12,6169,mf_var,Plain MF RF
11,13,12423,mf_var,Plain MF RF
11,14,3330,mf_var,Plain MF RF
11,15,1355,mf_var,Plain MF RF
11,16,569,mf_var,Plain MF RF
11,17,24,mf_var,Plain MF RF
11,18,148,mf_var,Plain MF RF
11,19,5,mf_var,Plain MF RF
11,20,345,mf_var,Plain MF RF
11,21,2,mf_var,Plain MF RF
11,22,93,mf_var,Plain MF RF
11,23,24,mf_var,Plain MF RF
11,24,409,mf_var,Plain MF RF
11,25,1549,mf_var,Plain MF RF
11,26,19,mf_var,Plain MF RF
11,27,4625,mf_var,Plain MF RF
11,28,17,mf_var,Plain MF RF
11,29,6,mf_var,Plain MF RF
11,30,6,mf_var,Plain MF RF
11,31,126,mf_var,Plain MF RF
11,32,27,mf_var,Plain MF RF
11,33,2718,mf_var,Plain MF RF
11,34,32,mf_var,Plain MF RF
11,35,2,mf_var,Plain MF RF
11,36,5,mf_var,Plain MF RF
11,37,48,mf_var,Plain MF RF
11,38,8,mf_var,Plain MF RF
11,39,2,mf_var,Plain MF RF
11,40,4,mf_var,Plain MF RF
11,41,564,mf_var,Plain MF RF
11,42,23,mf_var,Plain MF RF
11,43,5,mf_var,Plain MF RF
11,44,1,mf_var,Plain MF RF
11,45,24,mf_var,Plain MF RF
11,46,123,mf_var,Plain MF RF
11,47,7,mf_var,Plain MF RF
11,48,5,mf_var,Plain MF RF
11,49,2,mf_var,Plain MF RF
11,50,5,mf_var,Plain MF RF
11,52,8,mf_var,Plain MF RF
11,53,6,mf_var,Plain MF RF
11,54,8,mf_var,Plain MF RF
11,55,5,mf_var,Plain MF RF
12,1,403,mf_var,Plain MF RF
12,2,1684,mf_var,Plain MF RF
12,3,22619,mf_var,Plain MF RF
12,4,7620,mf_var,Plain MF RF
12,5,9417,mf_var,Plain MF RF
12,6,7823,mf_var,Plain MF RF
12,7,12080,mf_var,Plain MF RF
12,9,5736,mf_var,Plain MF RF
12,10,15,mf_var,Plain MF RF
12,11,10933,mf_var,Plain MF RF
