method,predicted_zone,model_family,model_version,original_zone,pixels,predicted_total,share_of_prediction
mf_var,14,multi-Forest,corrected,23,6700,90437,0.0740847219611442
mf_var,14,multi-Forest,corrected,27,6476,90437,0.0716078596149806
mf_var,14,multi-Forest,corrected,12,6263,90437,0.0692526289018875
mf_var,14,multi-Forest,corrected,7,4540,90437,0.0502006921945664
mf_var,14,multi-Forest,corrected,19,4122,90437,0.045578690137886
mf_var,14,multi-Forest,corrected,11,3330,90437,0.0368212125568075
mf_var,14,multi-Forest,corrected,5,2436,90437,0.0269358780145295
mf_var,14,multi-Forest,corrected,4,1931,90437,0.0213518803144731
mf_var,14,multi-Forest,corrected,3,1304,90437,0.0144188772294525
mf_var,14,multi-Forest,corrected,24,1269,90437,0.0140318674878645
mf_var,14,multi-Forest,corrected,33,628,90437,0.00694406050620874
mf_var,14,multi-Forest,corrected,37,570,90437,0.00630273007729137
mf_var,14,multi-Forest,corrected,2,310,90437,0.00342780056835145
mf_var,14,multi-Forest,corrected,32,293,90437,0.00323982440815153
mf_var,14,multi-Forest,corrected,25,84,90437,0.00092882337981136
mf_var,14,multi-Forest,corrected,31,83,90437,0.00091776595862313
mf_var,14,multi-Forest,corrected,35,83,90437,0.00091776595862313
mf_var,14,multi-Forest,corrected,6,50,90437,0.000552871059411524
mf_var,14,multi-Forest,corrected,9,45,90437,0.000497583953470372
mf_var,14,multi-Forest,corrected,20,37,90437,0.000409124583964528
mf_var,14,multi-Forest,corrected,21,34,90437,0.000375952320399836
mf_var,14,multi-Forest,corrected,10,19,90437,0.000210091002576379
mf_var,14,multi-Forest,corrected,53,17,90437,0.000187976160199918
mf_var,14,multi-Forest,corrected,44,14,90437,0.000154803896635227
mf_var,14,multi-Forest,corrected,47,13,90437,0.000143746475446996
mf_var,14,multi-Forest,corrected,16,10,90437,0.000110574211882305
mf_var,14,multi-Forest,corrected,30,8,90437,8.84593695058439e-05
mf_var,14,multi-Forest,corrected,40,6,90437,6.63445271293829e-05
mf_var,14,multi-Forest,corrected,46,6,90437,6.63445271293829e-05
mf_var,14,multi-Forest,corrected,49,6,90437,6.63445271293829e-05
mf_var,14,multi-Forest,corrected,52,6,90437,6.63445271293829e-05
mf_var,14,multi-Forest,corrected,54,6,90437,6.63445271293829e-05
mf_var,14,multi-Forest,corrected,42,5,90437,5.52871059411524e-05
mf_var,14,multi-Forest,corrected,17,3,90437,3.31722635646914e-05
mf_var,14,multi-Forest,corrected,29,3,90437,3.31722635646914e-05
mf_var,14,multi-Forest,corrected,1,2,90437,2.2114842376461e-05
mf_var,14,multi-Forest,corrected,26,2,90437,2.2114842376461e-05
mf_var,14,multi-Forest,corrected,41,1,90437,1.10574211882305e-05
mf_var,15,multi-Forest,corrected,27,21858,252855,0.0864448003796642
mf_var,15,multi-Forest,corrected,19,18216,252855,0.0720412884854956
mf_var,15,multi-Forest,corrected,23,17421,252855,0.0688971940440173
mf_var,15,multi-Forest,corrected,13,16815,252855,0.066500563564098
mf_var,15,multi-Forest,corrected,24,11104,252855,0.0439144964505349
mf_var,15,multi-Forest,corrected,12,7332,252855,0.0289968559055585
mf_var,15,multi-Forest,corrected,33,4242,252855,0.0167764133594353
mf_var,15,multi-Forest,corrected,29,3641,252855,0.0143995570583931
mf_var,15,multi-Forest,corrected,7,3524,252855,0.0139368412726662
mf_var,15,multi-Forest,corrected,25,3281,252855,0.0129758161792332
mf_var,15,multi-Forest,corrected,3,2094,252855,0.00828142611378063
mf_var,15,multi-Forest,corrected,5,2045,252855,0.00808763916078385
mf_var,15,multi-Forest,corrected,32,1607,252855,0.00635542109113919
mf_var,15,multi-Forest,corrected,4,1388,252855,0.00548931205631686
mf_var,15,multi-Forest,corrected,11,1355,252855,0.0053588024757272
mf_var,15,multi-Forest,corrected,6,1310,252855,0.0051808348658322
mf_var,15,multi-Forest,corrected,14,611,252855,0.00241640465879654
mf_var,15,multi-Forest,corrected,16,549,252855,0.00217120484071899
mf_var,15,multi-Forest,corrected,31,334,252855,0.00132091514899844
mf_var,15,multi-Forest,corrected,38,225,252855,0.000889838049474995
mf_var,15,multi-Forest,corrected,37,54,252855,0.000213561131873999
mf_var,15,multi-Forest,corrected,20,52,252855,0.00020565146032311
mf_var,15,multi-Forest,corrected,28,52,252855,0.00020565146032311
mf_var,15,multi-Forest,corrected,35,43,252855,0.00017005793834411
mf_var,15,multi-Forest,corrected,42,36,252855,0.000142374087915999
mf_var,15,multi-Forest,corrected,41,33,252855,0.000130509580589666
mf_var,15,multi-Forest,corrected,10,29,252855,0.000114690237487888
mf_var,15,multi-Forest,corrected,53,22,252855,8.70063870597773e-05
mf_var,15,multi-Forest,corrected,2,18,252855,7.11870439579997e-05
mf_var,15,multi-Forest,corrected,21,17,252855,6.72322081825552e-05
mf_var,15,multi-Forest,corrected,44,16,252855,6.32773724071108e-05
mf_var,15,multi-Forest,corrected,47,13,252855,5.14128650807775e-05
mf_var,15,multi-Forest,corrected,30,10,252855,3.95483577544443e-05
mf_var,15,multi-Forest,corrected,46,9,252855,3.55935219789998e-05
mf_var,15,multi-Forest,corrected,40,8,252855,3.16386862035554e-05
mf_var,15,multi-Forest,corrected,52,8,252855,3.16386862035554e-05
mf_var,15,multi-Forest,corrected,49,7,252855,2.7683850428111e-05
mf_var,15,multi-Forest,corrected,45,5,252855,1.97741788772221e-05
mf_var,15,multi-Forest,corrected,9,3,252855,1.18645073263333e-05
mf_var,15,multi-Forest,corrected,26,3,252855,1.18645073263333e-05
mf_var,15,multi-Forest,corrected,34,2,252855,7.90967155088885e-06
mf_var,15,multi-Forest,corrected,1,1,252855,3.95483577544442e-06
mf_var,15,multi-Forest,corrected,17,1,252855,3.95483577544442e-06
mf_var,15,multi-Forest,corrected,50,1,252855,3.95483577544442e-06
mf_var,16,multi-Forest,corrected,20,50524,705726,0.0715915241892746
mf_var,16,multi-Forest,corrected,31,48728,705726,0.0690466271612496
mf_var,16,multi-Forest,corrected,18,23022,705726,0.0326217257122453
mf_var,16,multi-Forest,corrected,46,8998,705726,0.0127499907896266
mf_var,16,multi-Forest,corrected,13,7501,705726,0.0106287709394298
mf_var,16,multi-Forest,corrected,2,4692,705726,0.00664847263668903
mf_var,16,multi-Forest,corrected,19,3800,705726,0.00538452600584363
mf_var,16,multi-Forest,corrected,22,3253,705726,0.00460943765710772
mf_var,16,multi-Forest,corrected,5,3060,705726,0.00433596041523197
mf_var,16,multi-Forest,corrected,25,2892,705726,0.00409790768655257
mf_var,16,multi-Forest,corrected,10,2376,705726,0.00336674573418012
mf_var,16,multi-Forest,corrected,45,1148,705726,0.00162669364597592
mf_var,16,multi-Forest,corrected,24,720,705726,0.00102022598005458
mf_var,16,multi-Forest,corrected,4,701,705726,0.000993303350025364
mf_var,16,multi-Forest,corrected,11,569,705726,0.000806261920348691
mf_var,16,multi-Forest,corrected,33,420,705726,0.000595131821698506
mf_var,16,multi-Forest,corrected,42,390,705726,0.000552622405862899
mf_var,16,multi-Forest,corrected,43,292,705726,0.000413758314133247
mf_var,16,multi-Forest,corrected,7,238,705726,0.000337241365629154
mf_var,16,multi-Forest,corrected,15,157,705726,0.000222465942873013
mf_var,16,multi-Forest,corrected,44,140,705726,0.000198377273899502
mf_var,16,multi-Forest,corrected,39,108,705726,0.000153033897008187
mf_var,16,multi-Forest,corrected,23,85,705726,0.000120443344867555
mf_var,16,multi-Forest,corrected,37,55,705726,7.79339290319472e-05
mf_var,16,multi-Forest,corrected,6,52,705726,7.36829874483865e-05
mf_var,16,multi-Forest,corrected,28,52,705726,7.36829874483865e-05
mf_var,16,multi-Forest,corrected,3,39,705726,5.52622405862899e-05
mf_var,16,multi-Forest,corrected,27,36,705726,5.10112990027291e-05
mf_var,16,multi-Forest,corrected,1,33,705726,4.67603574191683e-05
mf_var,16,multi-Forest,corrected,35,31,705726,4.39263963634612e-05
mf_var,16,multi-Forest,corrected,21,22,705726,3.11735716127789e-05
mf_var,16,multi-Forest,corrected,32,18,705726,2.55056495013646e-05
mf_var,16,multi-Forest,corrected,53,18,705726,2.55056495013646e-05
mf_var,16,multi-Forest,corrected,12,14,705726,1.98377273899502e-05
mf_var,16,multi-Forest,corrected,30,10,705726,1.41698052785359e-05
mf_var,16,multi-Forest,corrected,41,10,705726,1.41698052785359e-05
mf_var,16,multi-Forest,corrected,47,10,705726,1.41698052785359e-05
mf_var,16,multi-Forest,corrected,49,5,705726,7.08490263926793e-06
mf_var,16,multi-Forest,corrected,54,5,705726,7.08490263926793e-06
mf_var,16,multi-Forest,corrected,52,4,705726,5.66792211141434e-06
mf_var,16,multi-Forest,corrected,9,3,705726,4.25094158356076e-06
mf_var,16,multi-Forest,corrected,17,3,705726,4.25094158356076e-06
mf_var,16,multi-Forest,corrected,40,3,705726,4.25094158356076e-06
mf_var,16,multi-Forest,corrected,36,2,705726,2.83396105570717e-06
mf_var,16,multi-Forest,corrected,29,1,705726,1.41698052785359e-06
mf_var,16,multi-Forest,corrected,34,1,705726,1.41698052785359e-06
