original_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
43,34,27,36,44,18,40,23,29,37,35,31,34,31,32,38,29,21,22,6,9,10,12,11,15,10,7,4,9,8,4,4,6,6,11,13,7,6,10,8,8,9,9,4922,1,3,3,0,0,0,0,0,0,0,0,0
44,13433,12836,12856,12085,12541,11924,11972,11568,11530,11431,11397,11370,11302,11225,11238,11181,11135,11202,11208,11064,11428,9503,9486,9671,9529,9569,9157,9362,8036,8166,5603,5660,5464,5718,5546,5871,4487,4491,4477,4593,3129,3176,3139,157284,3110,3138,3231,1666,1877,1113,938,1115,1706,631,623
45,358,232,245,231,241,209,214,238,233,235,217,208,177,191,195,197,108,95,100,96,86,88,70,88,56,75,65,66,50,44,64,45,55,48,60,38,37,48,82,32,21,31,27,28,10985,89,2,0,2,3,0,0,0,0,0
46,4968,4181,4216,4185,4044,4100,4000,4179,4143,4834,1752,1822,1832,1795,1795,1786,1152,1185,728,723,617,576,619,606,673,624,670,588,598,595,558,585,573,625,535,562,575,516,1300,342,317,272,303,288,311,65053,70,37,43,7,0,5,7,6,6
47,5251,5108,5206,4858,5050,4313,4430,4107,4306,4067,3917,4083,3984,4010,3912,3907,4011,3874,3955,4013,3924,3590,3677,3591,3593,3605,3452,3256,2655,2709,2407,2396,2400,2267,2393,2395,2103,1978,2064,2109,1011,982,942,1068,433,522,205028,362,608,179,84,243,13,20,26
48,9,4,7,7,9,6,6,7,6,3,9,9,5,8,3,11,7,3,4,3,12,4,3,0,10,4,3,6,3,6,1,3,1,2,1,4,2,1,2,0,2,1,0,1,1,0,0,1423,2,0,0,0,0,0,0
49,3262,3194,3329,3331,3226,3241,3287,3184,3223,3208,2338,2420,2283,2308,2352,2345,2450,2379,2345,2378,2351,2240,2190,2152,2174,2319,1915,1873,1800,1923,1038,1024,1029,976,950,913,810,791,830,787,493,488,477,529,323,393,320,228,67627,200,189,231,56,14,17
50,12,13,12,16,14,10,13,12,7,21,7,6,9,11,7,9,10,9,11,12,8,6,11,15,10,14,9,12,8,8,12,7,14,8,10,7,8,9,13,6,4,4,8,1,2,7,2,8,1,1830,1,3,5,0,0
51,1,3,0,0,2,0,2,1,1,1,1,1,1,1,1,1,2,1,0,0,1,0,0,1,1,2,0,2,1,0,1,1,0,0,1,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2
52,96,76,74,100,81,74,81,76,84,68,83,78,91,97,76,72,75,64,82,66,57,75,66,80,63,92,78,73,87,71,74,82,81,69,79,64,93,82,82,53,57,57,91,72,62,62,60,60,70,32,25,19764,62,19,47
53,314,300,289,295,321,295,320,325,318,297,303,329,323,311,332,271,285,341,297,335,304,243,240,207,235,206,225,228,247,176,200,218,248,222,199,207,203,194,202,192,193,208,199,181,138,148,120,138,124,108,110,188,51843,47,147
54,20,12,20,27,21,20,22,21,20,33,21,27,25,16,22,20,31,27,25,25,27,21,13,14,11,10,16,17,12,4,22,13,15,15,12,16,11,13,14,11,18,16,10,16,4,12,3,9,5,9,5,2,3,10691,3
55,13,12,9,16,16,8,17,18,17,17,18,15,12,14,17,8,13,14,12,21,16,14,16,20,20,17,21,18,12,9,8,19,15,18,16,15,10,15,13,12,15,13,14,10,8,8,2,9,11,9,9,17,9,0,5658
