source_zone,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
52,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,202260,158231.443894093,0.0163193631430258,0.0186129939087954
53,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,321616,253720.454679916,0.0259496108800918,0.0298455045424151
53,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,417738,329084.277845589,0.0337052215991362,0.0387106602093576
53,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,431828,340058.640975809,0.0348420742970757,0.0400015904383227
54,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,6,4.38173695016956,4.84110446248168e-07,5.15430063433139e-07
54,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,8346,6610.58378565643,0.000673397630731202,0.000777612544687129
54,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,16421,13006.2400497731,0.00132492960630686,0.00152994285374017
55,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,10540,8289.47062400661,0.000850420683909282,0.000975102434981526
55,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,80969,64059.9744785826,0.00653298978704466,0.00753546757473503
55,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,105664,83519.6344556258,0.00852550769872774,0.00982453556088298
