source_zone,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
17,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,174,119.274963177735,1.40392029411969e-05,1.40304866622142e-05
18,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,618440,437377.46146596,0.0498988773962862,0.0514493442375405
18,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,1444942,1030725.26530273,0.11658525273712,0.121245705736983
18,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,1690493,1208760.32514991,0.136397553434901,0.142188227671533
19,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,799243,522597.405576373,0.0644869808984541,0.0614738896856417
19,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,1196074,785323.297474153,0.0965053196476386,0.0923787168503944
19,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,1200352,788108.927197433,0.0968504903958135,0.0927063945091172
20,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,87365,63174.8650154121,0.0070490515227452,0.0074313508666954
20,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,374764,271842.39427667,0.0302378612129581,0.0319772145428352
20,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,452804,328191.593316069,0.0365345244171593,0.0386056524352924
21,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,1782405,1332707.37714144,0.143813479990828,0.15676829890741
21,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,2130135,1601715.20115018,0.17187010090314,0.188412078844375
21,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,2315767,1745404.37957947,0.186847832629464,0.205314445005264
22,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,92,64.8529675976429,7.42302684247191e-06,7.62874850380665e-06
22,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,16317,11789.3998497363,0.00131653835857189,0.00138680417868377
22,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,32984,23650.1410331298,0.00266131649317493,0.0027820003417679
23,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,102088,64445.7392280558,0.00823697787276383,0.00758084564091117
