method,method_label,scenario,period,ssp,normal_assigned_zone,category,pixel_count,pixel_share,area_km2,area_share
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,16,novel,16279,0.110850386693986,11158.0632559772,0.114166435388055
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,17,stable_top1,0,0,0,0
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,17,changed_former_in_top3,1,0,0.638751752429962,0
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,17,changed_former_rank4_5,2087,0,1195.60804552555,0
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,17,changed_former_below_top5,6765,0,3921.7462853181,0
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,17,novel,1315,0,803.186954564912,0
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,18,stable_top1,55102,0.335392687365711,38624.2861764482,0.333431889580872
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,18,changed_former_in_top3,71360,0.335392687365711,50824.8584781503,0.333431889580872
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,18,changed_former_rank4_5,21469,0.335392687365711,15222.7969840836,0.333431889580872
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,18,changed_former_below_top5,8837,0.335392687365711,6060.51217905087,0.333431889580872
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,18,novel,7523,0.335392687365711,5106.15485583882,0.333431889580872
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,19,stable_top1,288159,0.49435748401087,190123.37375909,0.490867229124125
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,19,changed_former_in_top3,279268,0.49435748401087,186718.148203027,0.490867229124125
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,19,changed_former_rank4_5,5550,0.49435748401087,3754.64454139454,0.490867229124125
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,19,changed_former_below_top5,867,0.49435748401087,598.656637615839,0.490867229124125
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,19,novel,9052,0.49435748401087,6126.55925862135,0.490867229124125
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,20,stable_top1,49002,0.118236656693369,35080.1163838642,0.11971716251574
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,20,changed_former_in_top3,185714,0.118236656693369,134086.993895743,0.11971716251574
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,20,changed_former_rank4_5,99793,0.118236656693369,70411.6803798168,0.11971716251574
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,20,changed_former_below_top5,75122,0.118236656693369,50245.8802678173,0.11971716251574
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,20,novel,4809,0.118236656693369,3200.2859518705,0.11971716251574
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,21,stable_top1,454540,0.88038985539247,339385.685821067,0.875108896998708
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,21,changed_former_in_top3,26693,0.88038985539247,20784.1797237888,0.875108896998708
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,21,changed_former_rank4_5,24645,0.88038985539247,19436.5178778827,0.875108896998708
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,21,changed_former_below_top5,9349,0.88038985539247,7409.61812904844,0.875108896998708
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,21,novel,1067,0.88038985539247,805.087897802179,0.875108896998708
