method,zone,original_pixels,predicted_pixels,predicted_to_original,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
optimized_rf,5,190463,126709,0.665268319831148,61335,12137989,65374,129128,0.984306541014857,0.658337001380541,0.322031050650258,0.994642952110824,0.484061905626278,0.386761757027733,0.316674002761082
optimized_rf,6,90294,83881,0.928976454692449,52924,12272575,30957,37370,0.99448701313057,0.791806823579001,0.586129753914989,0.997483893243013,0.63094145277238,0.607710635854744,0.583613647158002
optimized_rf,7,220966,272604,1.23369206122209,91358,11991614,181246,129608,0.974918640942676,0.699279435294414,0.413448222803508,0.985110647785319,0.335130812460566,0.370192677836984,0.398558870588827
optimized_rf,9,30500,43063,1.41190163934426,24111,12344374,18952,6389,0.997955352931371,0.894495834665086,0.790524590163934,0.998467079166237,0.559900610733112,0.655519758574283,0.788991669330172
optimized_rf,10,146264,168394,1.15130175572937,96737,12175905,71657,49527,0.990222228390168,0.827767772514178,0.661386260460537,0.994149284567819,0.574468211456465,0.614870748558753,0.655535545028356
optimized_rf,11,147057,190092,1.2926416287562,84226,12140903,105866,62831,0.986388626078823,0.782049749785077,0.572743902024385,0.991355597545769,0.443080192748774,0.499636659162566,0.564099499570154
optimized_rf,12,374213,342905,0.916336418029304,226057,11902765,116848,148156,0.978618063542283,0.797182499152667,0.604086442747847,0.990278555557488,0.659240897624707,0.63045970119283,0.594364998305335
optimized_rf,13,618971,613697,0.991479406951214,397260,11558418,216437,221711,0.964647881937345,0.81171292017991,0.641807128282262,0.981618712077558,0.647322701593783,0.644553115680784,0.623425840359821
optimized_rf,14,32665,80340,2.45951324047145,24352,12305173,55988,8313,0.994811852288389,0.870489037918133,0.745507423848156,0.99547065198811,0.303111774956435,0.430989779213309,0.740978075836266
optimized_rf,15,235591,196979,0.836105793515032,110630,12071886,86349,124961,0.982950381907895,0.731241450595048,0.469585001124831,0.992897900065264,0.561633473619015,0.511501028735234,0.462482901190095
optimized_rf,16,911178,785286,0.861835996918275,587150,11284512,198136,324028,0.957869022850571,0.813565183088444,0.644385619494764,0.982744746682124,0.747689376863971,0.692204491224099,0.627130366176888
optimized_rf,17,1641,8722,5.31505179768434,1481,12384944,7241,160,0.999402847837302,0.950957078331452,0.902498476538696,0.999415680124207,0.169800504471452,0.285824568175239,0.901914156662903
optimized_rf,18,112964,137813,1.21997273467653,52247,12195296,85566,60717,0.988197107172555,0.727771377003256,0.462510180234411,0.993032573772102,0.379115177813414,0.416680955590026,0.455542754006513
optimized_rf,19,691356,589258,0.852322103229017,520503,11633715,68755,170853,0.980667148304325,0.873498680080358,0.752872615555517,0.994124744605199,0.883319360959037,0.812896001449305,0.746997360160716
optimized_rf,20,379965,441523,1.16200965878436,234953,11807291,206570,145012,0.971632488627806,0.800580008149009,0.618354322108615,0.982805694189403,0.532142153409902,0.572018093995287,0.601160016298019
optimized_rf,21,599210,513370,0.856744713873266,373558,11654804,139812,225652,0.970512414810406,0.805781808273172,0.623417499707949,0.988146116838395,0.727658414009389,0.671516654982114,0.611563616546344
optimized_rf,22,41980,78827,1.87772748928061,24302,12297321,54525,17678,0.994174276772968,0.787240195917543,0.578894711767508,0.995585680067579,0.308295381024268,0.402327679687435,0.574480391835087
optimized_rf,23,326806,399845,1.22349344871269,193462,11860637,206383,133344,0.972589013271608,0.78743752636444,0.591978115456877,0.982896937272003,0.483842488964474,0.532475700164178,0.574875052728879
optimized_rf,24,845397,755816,0.894036766158385,552957,11345570,202859,292440,0.960036634369403,0.81825687092594,0.654079680907313,0.982434060944566,0.731602665198937,0.690672633809493,0.63651374185188
optimized_rf,25,237357,308580,1.30006698770207,143274,11991163,165306,94083,0.979071111697066,0.795012099773279,0.603622391587356,0.986401807959203,0.464300991639121,0.52487374916886,0.590024199546559
optimized_rf,26,40896,44374,1.08504499217527,17038,12325594,27336,23858,0.995869394971335,0.707202422920224,0.416617762128326,0.997787083712123,0.383963582277911,0.399624721472968,0.414404845840449
