method,original_zone,assigned_zone,pixels,original_pixels,percent_of_original
multiclass_rf,28,48,2,46042,0.00434385995395509
multiclass_rf,28,11,1,46042,0.00217192997697754
multiclass_rf,28,25,1,46042,0.00217192997697754
multiclass_rf,28,43,1,46042,0.00217192997697754
multiclass_rf,29,24,6511,164217,3.96487574368062
multiclass_rf,29,23,4818,164217,2.93392279727434
multiclass_rf,29,35,2115,164217,1.2879299950675
multiclass_rf,29,32,1334,164217,0.812339769938557
multiclass_rf,29,38,1250,164217,0.761187940347224
multiclass_rf,29,25,862,164217,0.524915203663445
multiclass_rf,29,19,751,164217,0.457321714560612
multiclass_rf,29,15,715,164217,0.435399501878612
multiclass_rf,29,33,373,164217,0.227138481399612
multiclass_rf,29,45,196,164217,0.119354269046445
multiclass_rf,29,14,85,164217,0.0517607799436112
multiclass_rf,29,7,52,164217,0.0316654183184445
multiclass_rf,29,27,46,164217,0.0280117162047778
multiclass_rf,29,22,35,164217,0.0213132623297223
multiclass_rf,29,6,23,164217,0.0140058581023889
multiclass_rf,29,20,23,164217,0.0140058581023889
multiclass_rf,29,40,17,164217,0.0103521559887222
multiclass_rf,29,31,15,164217,0.00913425528416668
multiclass_rf,29,18,1,164217,0.000608950352277779
multiclass_rf,29,47,1,164217,0.000608950352277779
multiclass_rf,30,26,71560,576235,12.4185445174278
multiclass_rf,30,21,53064,576235,9.20874296077121
multiclass_rf,30,47,49474,576235,8.58573325119092
multiclass_rf,30,40,47182,576235,8.18797886279035
multiclass_rf,30,44,37471,576235,6.50272892136021
multiclass_rf,30,36,31439,576235,5.45593377701806
multiclass_rf,30,49,27924,576235,4.84593959061841
multiclass_rf,30,28,15516,576235,2.69265143561221
multiclass_rf,30,39,10068,576235,1.74720383177002
multiclass_rf,30,41,5391,576235,0.935555806224891
multiclass_rf,30,3,5103,576235,0.885576197211207
multiclass_rf,30,53,4589,576235,0.796376478346508
multiclass_rf,30,5,3169,576235,0.549949239459596
multiclass_rf,30,10,2914,576235,0.505696460645396
multiclass_rf,30,50,2807,576235,0.48712764757434
multiclass_rf,30,48,2342,576235,0.40643140385433
multiclass_rf,30,45,2127,576235,0.369120237403143
multiclass_rf,30,34,2057,576235,0.356972415767872
multiclass_rf,30,55,1409,576235,0.244518295487084
multiclass_rf,30,54,1247,576235,0.216404765416887
multiclass_rf,30,7,1157,576235,0.200786137600111
multiclass_rf,30,46,1093,576235,0.189679557819292
multiclass_rf,30,37,784,576235,0.136055602315028
multiclass_rf,30,33,591,576235,0.102562322663497
multiclass_rf,30,6,477,576235,0.0827787274289136
multiclass_rf,30,52,386,576235,0.0669865593030621
multiclass_rf,30,1,252,576235,0.0437321578869732
multiclass_rf,30,27,227,576235,0.0393936501600909
