ori,pred,n,method,ori_category,pred_category
7,25,3393,multiclass_rf,scrub,desert
7,26,1306,multiclass_rf,scrub,forest
7,27,3661,multiclass_rf,scrub,cropland
7,28,4637,multiclass_rf,scrub,forest
7,29,433,multiclass_rf,scrub,desert
7,30,38,multiclass_rf,scrub,forest
7,31,340,multiclass_rf,scrub,grassland_meadow_steppe
7,32,1814,multiclass_rf,scrub,desert
7,33,11173,multiclass_rf,scrub,cropland
7,34,522,multiclass_rf,scrub,forest
7,35,761,multiclass_rf,scrub,desert
7,36,3444,multiclass_rf,scrub,forest
7,37,2123,multiclass_rf,scrub,forest
7,38,26,multiclass_rf,scrub,desert
7,39,1619,multiclass_rf,scrub,forest
7,40,1000,multiclass_rf,scrub,grassland_meadow_steppe
7,41,28002,multiclass_rf,scrub,grassland_meadow_steppe
7,42,245,multiclass_rf,scrub,desert
7,43,70,multiclass_rf,scrub,wetland
7,44,554,multiclass_rf,scrub,scrub
7,45,178,multiclass_rf,scrub,scrub
7,46,268,multiclass_rf,scrub,scrub
7,47,620,multiclass_rf,scrub,cropland
7,49,510,multiclass_rf,scrub,forest
7,50,103,multiclass_rf,scrub,scrub
7,55,15,multiclass_rf,scrub,forest
9,1,2,multiclass_rf,forest,cropland
9,2,95,multiclass_rf,forest,forest
9,3,490,multiclass_rf,forest,forest
9,4,22,multiclass_rf,forest,wetland
9,5,49,multiclass_rf,forest,grassland_meadow_steppe
9,6,12,multiclass_rf,forest,wetland
9,7,61,multiclass_rf,forest,scrub
9,9,29528,multiclass_rf,forest,forest
9,11,58,multiclass_rf,forest,grassland_meadow_steppe
9,12,95,multiclass_rf,forest,cropland
9,14,18,multiclass_rf,forest,forest
9,17,1,multiclass_rf,forest,alpine_vegetation
9,27,3,multiclass_rf,forest,cropland
10,1,1976,multiclass_rf,forest,cropland
10,3,538,multiclass_rf,forest,forest
10,4,1,multiclass_rf,forest,wetland
10,5,72,multiclass_rf,forest,grassland_meadow_steppe
10,7,32,multiclass_rf,forest,scrub
10,9,253,multiclass_rf,forest,forest
10,10,72624,multiclass_rf,forest,forest
10,12,10,multiclass_rf,forest,cropland
10,13,7,multiclass_rf,forest,grassland_meadow_steppe
10,15,9,multiclass_rf,forest,grassland_meadow_steppe
10,16,787,multiclass_rf,forest,grassland_meadow_steppe
10,18,5160,multiclass_rf,forest,scrub
10,19,9,multiclass_rf,forest,no_vegetation
10,20,1440,multiclass_rf,forest,alpine_vegetation
10,25,1,multiclass_rf,forest,desert
10,26,675,multiclass_rf,forest,forest
10,28,824,multiclass_rf,forest,forest
10,30,262,multiclass_rf,forest,forest
10,31,28,multiclass_rf,forest,grassland_meadow_steppe
10,33,38,multiclass_rf,forest,cropland
10,34,7849,multiclass_rf,forest,forest
10,36,2483,multiclass_rf,forest,forest
10,37,23,multiclass_rf,forest,forest
10,39,23170,multiclass_rf,forest,forest
10,40,225,multiclass_rf,forest,grassland_meadow_steppe
10,41,9,multiclass_rf,forest,grassland_meadow_steppe
10,43,346,multiclass_rf,forest,wetland
10,44,118,multiclass_rf,forest,scrub
10,45,2865,multiclass_rf,forest,scrub
10,46,18441,multiclass_rf,forest,scrub
10,47,177,multiclass_rf,forest,cropland
10,49,4831,multiclass_rf,forest,forest
10,50,382,multiclass_rf,forest,scrub
10,52,28,multiclass_rf,forest,forest
10,53,20,multiclass_rf,forest,cropland
11,1,8,multiclass_rf,grassland_meadow_steppe,cropland
