method,method_label,scenario,period,ssp,k,rank_label,change_code,change_class,area_km2,total_area_km2,area_share,pixel_count,total_pixels,pixel_share,comparison,topk_rule,novel_definition,change_label
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,3,Top-3,3,Novel ecosystem,173998.759846369,8501128.011414,0.020467726119728,261179,12393866,0.0210732470401084,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,5,Top-5,1,Reference ecotype retained,7681057.7128428,8501128.01143067,0.90353394308553,11179851,12393866,0.902047109433005,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,5,Top-5,2,Different current ecotype assigned,646071.538741497,8501128.01143067,0.0759983307947822,952836,12393866,0.0768796435268866,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,5,Top-5,3,Novel ecosystem,173998.759846369,8501128.01143067,0.0204677261196878,261179,12393866,0.0210732470401084,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,1,Top-1,1,Reference ecotype retained,3042856.30674411,8501128.01138813,0.357935594272653,4393506,12393866,0.354490358375667,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,1,Top-1,2,Different current ecotype assigned,4986421.67225857,8501128.01138813,0.586560003046508,7292757,12393866,0.588416640941575,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,1,Top-1,3,Novel ecosystem,471850.032385451,8501128.01138813,0.0555044026808395,707603,12393866,0.0570930006827571,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,3,Top-3,1,Reference ecotype retained,5460944.1532569,8501128.01140405,0.642378769726933,7946521,12393866,0.641165637905074,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,3,Top-3,2,Different current ecotype assigned,2568333.8257617,8501128.01140405,0.302116827592331,3739742,12393866,0.30174136141217,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,3,Top-3,3,Novel ecosystem,471850.032385451,8501128.01140405,0.0555044026807356,707603,12393866,0.0570930006827571,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
