method,scenario,Species,PopulationID,source_zone,new_area_km2,old_area_km2,relative_error
mf_var,2011-2040SSP245,robiPse,robiPse-Zone33,33,327858.999313396,327858.999313377,5.77000778886506e-14
mf_var,2011-2040SSP245,robiPse,robiPse-Zone37,37,77528.0966750771,77528.0966750646,1.61233097641459e-13
mf_var,2011-2040SSP245,robiPse,robiPse-Zone41,41,79610.9316416284,79610.9316416197,1.08758802118474e-13
mf_var,2011-2040SSP245,robiPse,robiPse-Zone7,7,154347.65893979,154347.658939832,2.71338174578765e-13
mf_var,2011-2040SSP245,saliMat,saliMat-Zone27,27,628351.853190772,628351.853190629,2.27883223579335e-13
mf_var,2011-2040SSP245,saliMat,saliMat-Zone3,3,283631.433829458,283631.433829478,7.2443678139029e-14
mf_var,2011-2040SSP245,saliMat,saliMat-Zone37,37,77528.0966750771,77528.0966750646,1.61233097641459e-13
mf_var,2011-2040SSP585,chamFor,chamFor-Zone10,10,133060.507099395,133060.507099376,1.41078454109403e-13
mf_var,2011-2040SSP585,chamFor,chamFor-Zone21,21,692111.759853764,692111.759853143,8.96522355680278e-13
mf_var,2011-2040SSP585,chamFor,chamFor-Zone26,26,24727.6292836183,24727.6292836188,1.94201068379099e-14
mf_var,2011-2040SSP585,chamFor,chamFor-Zone30,30,230640.822896456,230640.822896536,3.45625681611245e-13
mf_var,2011-2040SSP585,chamFor,chamFor-Zone34,34,13793.9014934143,13793.9014934137,4.39124109788656e-14
mf_var,2011-2040SSP585,chamFor,chamFor-Zone49,49,129709.720068583,129709.7200686,1.30138448035953e-13
mf_var,2011-2040SSP585,chamFor,chamFor-Zone53,53,140410.013068373,140410.013068353,1.44472387581563e-13
mf_var,2011-2040SSP585,cyclLon,cyclLon-Zone10,10,133060.507099395,133060.507099376,1.41078454109403e-13
mf_var,2011-2040SSP585,cyclLon,cyclLon-Zone21,21,692111.759853764,692111.759853143,8.96522355680278e-13
mf_var,2011-2040SSP585,cyclLon,cyclLon-Zone26,26,24727.6292836183,24727.6292836188,1.94201068379099e-14
mf_var,2011-2040SSP585,cyclLon,cyclLon-Zone34,34,13793.9014934143,13793.9014934137,4.39124109788656e-14
mf_var,2011-2040SSP585,cyclLon,cyclLon-Zone49,49,129709.720068583,129709.7200686,1.30138448035953e-13
mf_var,2011-2040SSP585,cyclLon,cyclLon-Zone53,53,140410.013068373,140410.013068353,1.44472387581563e-13
mf_var,2011-2040SSP585,lariGme,lariGme-Zone12,12,245719.299830637,245719.2998307,2.58325065511218e-13
mf_var,2011-2040SSP585,lariGme,lariGme-Zone2,2,52123.1014923388,52123.1014923376,2.2334688169707e-14
mf_var,2011-2040SSP585,lariGme,lariGme-Zone3,3,283092.671954753,283092.671954762,3.35149923287712e-14
mf_var,2011-2040SSP585,lariGme,lariGme-Zone4,4,33088.2979242776,33088.2979242786,3.05654316425086e-14
mf_var,2011-2040SSP585,lariGme,lariGme-Zone5,5,126244.18682849,126244.186828487,2.37452084911932e-14
mf_var,2011-2040SSP585,lariGme,lariGme-Zone6,6,40684.3745469823,40684.3745469818,1.32340946480033e-14
mf_var,2011-2040SSP585,lariGme,lariGme-Zone7,7,159210.972768288,159210.972768346,3.61944803818131e-13
mf_var,2011-2040SSP585,lariGme,lariGme-Zone9,9,4888.79115160122,4888.79115160122,1.11622035824751e-15
mf_var,2011-2040SSP585,lariOlg,lariOlg-Zone12,12,245719.299830637,245719.2998307,2.58325065511218e-13
mf_var,2011-2040SSP585,lariOlg,lariOlg-Zone2,2,52123.1014923388,52123.1014923376,2.2334688169707e-14
mf_var,2011-2040SSP585,lariOlg,lariOlg-Zone27,27,627103.253056806,627103.253056506,4.77836842532739e-13
mf_var,2011-2040SSP585,lariOlg,lariOlg-Zone3,3,283092.671954753,283092.671954762,3.35149923287712e-14
mf_var,2011-2040SSP585,lariOlg,lariOlg-Zone6,6,40684.3745469823,40684.3745469818,1.32340946480033e-14
mf_var,2011-2040SSP585,lariOlg,lariOlg-Zone7,7,159210.972768288,159210.972768346,3.61944803818131e-13
mf_var,2011-2040SSP585,lariOlg,lariOlg-Zone9,9,4888.79115160122,4888.79115160122,1.11622035824751e-15
mf_var,2011-2040SSP585,phylPub,phylPub-Zone21,21,692111.759853764,692111.759853143,8.96522355680278e-13
mf_var,2011-2040SSP585,phylPub,phylPub-Zone26,26,24727.6292836183,24727.6292836188,1.94201068379099e-14
mf_var,2011-2040SSP585,phylPub,phylPub-Zone28,28,64889.8665803372,64889.8665803375,4.03660059596999e-15
mf_var,2011-2040SSP585,phylPub,phylPub-Zone30,30,230640.822896456,230640.822896536,3.45625681611245e-13
mf_var,2011-2040SSP585,phylPub,phylPub-Zone40,40,255330.660812847,255330.660813044,7.70993615034305e-13
mf_var,2011-2040SSP585,phylPub,phylPub-Zone44,44,233336.373547504,233336.373547657,6.56948047511796e-13
mf_var,2011-2040SSP585,phylPub,phylPub-Zone47,47,293534.596520154,293534.596520181,9.35971986841004e-14
mf_var,2011-2040SSP585,phylPub,phylPub-Zone49,49,129709.720068583,129709.7200686,1.30138448035953e-13
mf_var,2011-2040SSP585,pinuSyl,pinuSyl-Zone2,2,52123.1014923388,52123.1014923376,2.2334688169707e-14
mf_var,2011-2040SSP585,pinuSyl,pinuSyl-Zone27,27,627103.253056806,627103.253056506,4.77836842532739e-13
mf_var,2011-2040SSP585,pinuSyl,pinuSyl-Zone3,3,283092.671954753,283092.671954762,3.35149923287712e-14
mf_var,2011-2040SSP585,pinuSyl,pinuSyl-Zone5,5,126244.18682849,126244.186828487,2.37452084911932e-14
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone10,10,133060.507099395,133060.507099376,1.41078454109403e-13
