method,zone,metric,value,method_label,metric_label,zone_factor
mf_var,10,sensitivity,0.52593256030192,Plain MF RF,Sensitivity,10
mf_var,11,sensitivity,0.606764723882576,Plain MF RF,Sensitivity,11
mf_var,12,sensitivity,0.625921600799545,Plain MF RF,Sensitivity,12
mf_var,13,sensitivity,0.612636133195255,Plain MF RF,Sensitivity,13
mf_var,14,sensitivity,0.804898209092301,Plain MF RF,Sensitivity,14
mf_var,15,sensitivity,0.566490230951097,Plain MF RF,Sensitivity,15
mf_var,16,sensitivity,0.594266981863039,Plain MF RF,Sensitivity,16
mf_var,17,sensitivity,0.919561243144424,Plain MF RF,Sensitivity,17
mf_var,18,sensitivity,0.422169894833752,Plain MF RF,Sensitivity,18
mf_var,19,sensitivity,0.770305023750427,Plain MF RF,Sensitivity,19
mf_var,20,sensitivity,0.592923032384562,Plain MF RF,Sensitivity,20
mf_var,21,sensitivity,0.63712888636705,Plain MF RF,Sensitivity,21
mf_var,22,sensitivity,0.730347784659362,Plain MF RF,Sensitivity,22
mf_var,23,sensitivity,0.576568361657987,Plain MF RF,Sensitivity,23
mf_var,24,sensitivity,0.638658523746831,Plain MF RF,Sensitivity,24
mf_var,25,sensitivity,0.647387690272459,Plain MF RF,Sensitivity,25
mf_var,26,sensitivity,0.59289417057903,Plain MF RF,Sensitivity,26
mf_var,27,sensitivity,0.734869022191441,Plain MF RF,Sensitivity,27
mf_var,28,sensitivity,0.496459754137527,Plain MF RF,Sensitivity,28
mf_var,29,sensitivity,0.791253392398593,Plain MF RF,Sensitivity,29
mf_var,30,sensitivity,0.42979792110754,Plain MF RF,Sensitivity,30
mf_var,31,sensitivity,0.704915032244722,Plain MF RF,Sensitivity,31
mf_var,32,sensitivity,0.667796442034257,Plain MF RF,Sensitivity,32
mf_var,33,sensitivity,0.663405610248595,Plain MF RF,Sensitivity,33
mf_var,34,sensitivity,0.77553789494088,Plain MF RF,Sensitivity,34
mf_var,35,sensitivity,0.851357108081792,Plain MF RF,Sensitivity,35
mf_var,36,sensitivity,0.729080841638981,Plain MF RF,Sensitivity,36
mf_var,37,sensitivity,0.732087584546601,Plain MF RF,Sensitivity,37
mf_var,38,sensitivity,0.92707778369739,Plain MF RF,Sensitivity,38
mf_var,39,sensitivity,0.625165200747391,Plain MF RF,Sensitivity,39
mf_var,40,sensitivity,0.390050668166201,Plain MF RF,Sensitivity,40
mf_var,41,sensitivity,0.525355369726993,Plain MF RF,Sensitivity,41
mf_var,42,sensitivity,0.775214651107284,Plain MF RF,Sensitivity,42
mf_var,43,sensitivity,0.874033731553057,Plain MF RF,Sensitivity,43
mf_var,44,sensitivity,0.344514483628316,Plain MF RF,Sensitivity,44
mf_var,45,sensitivity,0.708137762877172,Plain MF RF,Sensitivity,45
mf_var,46,sensitivity,0.485390014800487,Plain MF RF,Sensitivity,46
mf_var,47,sensitivity,0.568756400815919,Plain MF RF,Sensitivity,47
mf_var,48,sensitivity,0.908866995073892,Plain MF RF,Sensitivity,48
mf_var,49,sensitivity,0.445880585472226,Plain MF RF,Sensitivity,49
mf_var,50,sensitivity,0.853403141361257,Plain MF RF,Sensitivity,50
mf_var,52,sensitivity,0.864819124180241,Plain MF RF,Sensitivity,52
mf_var,53,sensitivity,0.77206965529005,Plain MF RF,Sensitivity,53
mf_var,54,sensitivity,0.930464149636301,Plain MF RF,Sensitivity,54
mf_var,55,sensitivity,0.846780510731631,Plain MF RF,Sensitivity,55
rf_var,1,sensitivity,0.765183777763218,Plain RF,Sensitivity,1
rf_var,2,sensitivity,0.645036138894463,Plain RF,Sensitivity,2
rf_var,3,sensitivity,0.520936034165319,Plain RF,Sensitivity,3
rf_var,4,sensitivity,0.460204583994311,Plain RF,Sensitivity,4
rf_var,5,sensitivity,0.387492583861432,Plain RF,Sensitivity,5
rf_var,6,sensitivity,0.560258710434802,Plain RF,Sensitivity,6
rf_var,7,sensitivity,0.416113791262004,Plain RF,Sensitivity,7
rf_var,9,sensitivity,0.825770491803279,Plain RF,Sensitivity,9
rf_var,10,sensitivity,0.527156374774381,Plain RF,Sensitivity,10
rf_var,11,sensitivity,0.603364681722053,Plain RF,Sensitivity,11
rf_var,12,sensitivity,0.628179673073891,Plain RF,Sensitivity,12
rf_var,13,sensitivity,0.606828106647969,Plain RF,Sensitivity,13
rf_var,14,sensitivity,0.806245216592683,Plain RF,Sensitivity,14
rf_var,15,sensitivity,0.570263719751603,Plain RF,Sensitivity,15
rf_var,16,sensitivity,0.596024047990623,Plain RF,Sensitivity,16
rf_var,17,sensitivity,0.920170627666057,Plain RF,Sensitivity,17
rf_var,18,sensitivity,0.422559399454694,Plain RF,Sensitivity,18
rf_var,19,sensitivity,0.769453074826862,Plain RF,Sensitivity,19
rf_var,20,sensitivity,0.594594238943061,Plain RF,Sensitivity,20
rf_var,21,sensitivity,0.638040086113383,Plain RF,Sensitivity,21
