niche,method,zone,metric,value,metric_label,niche_label,method_label,zone_factor
soil,rf_var,12,balanced_accuracy,0.799964751498061,Balanced accuracy,Soil,Plain RF,12
soil,rf_var,13,balanced_accuracy,0.839151266255989,Balanced accuracy,Soil,Plain RF,13
soil,rf_var,14,balanced_accuracy,0.86225,Balanced accuracy,Soil,Plain RF,14
soil,rf_var,15,balanced_accuracy,0.829915781764921,Balanced accuracy,Soil,Plain RF,15
soil,rf_var,16,balanced_accuracy,0.877569099929128,Balanced accuracy,Soil,Plain RF,16
soil,rf_var,17,balanced_accuracy,0.890781563126253,Balanced accuracy,Soil,Plain RF,17
soil,rf_var,18,balanced_accuracy,0.810710301227222,Balanced accuracy,Soil,Plain RF,18
soil,rf_var,19,balanced_accuracy,0.884850959575337,Balanced accuracy,Soil,Plain RF,19
soil,rf_var,20,balanced_accuracy,0.916070756492284,Balanced accuracy,Soil,Plain RF,20
soil,rf_var,21,balanced_accuracy,0.873523280055594,Balanced accuracy,Soil,Plain RF,21
soil,rf_var,22,balanced_accuracy,0.850236966824645,Balanced accuracy,Soil,Plain RF,22
soil,rf_var,23,balanced_accuracy,0.894966794826983,Balanced accuracy,Soil,Plain RF,23
soil,rf_var,24,balanced_accuracy,0.874493927125506,Balanced accuracy,Soil,Plain RF,24
soil,rf_var,25,balanced_accuracy,0.822285919025439,Balanced accuracy,Soil,Plain RF,25
soil,rf_var,26,balanced_accuracy,0.836126629422719,Balanced accuracy,Soil,Plain RF,26
soil,rf_var,27,balanced_accuracy,0.829913043478261,Balanced accuracy,Soil,Plain RF,27
soil,rf_var,28,balanced_accuracy,0.75927622537792,Balanced accuracy,Soil,Plain RF,28
soil,rf_var,29,balanced_accuracy,0.892951875710496,Balanced accuracy,Soil,Plain RF,29
soil,rf_var,30,balanced_accuracy,0.845552466990966,Balanced accuracy,Soil,Plain RF,30
soil,rf_var,31,balanced_accuracy,0.886433185991159,Balanced accuracy,Soil,Plain RF,31
soil,rf_var,32,balanced_accuracy,0.842022471910113,Balanced accuracy,Soil,Plain RF,32
soil,rf_var,33,balanced_accuracy,0.83800889497092,Balanced accuracy,Soil,Plain RF,33
soil,rf_var,34,balanced_accuracy,0.873551106427819,Balanced accuracy,Soil,Plain RF,34
soil,rf_var,35,balanced_accuracy,0.919186911254338,Balanced accuracy,Soil,Plain RF,35
soil,rf_var,36,balanced_accuracy,0.816731952993844,Balanced accuracy,Soil,Plain RF,36
soil,rf_var,37,balanced_accuracy,0.868567197334321,Balanced accuracy,Soil,Plain RF,37
soil,rf_var,38,balanced_accuracy,0.948432760364004,Balanced accuracy,Soil,Plain RF,38
soil,rf_var,39,balanced_accuracy,0.835204941044357,Balanced accuracy,Soil,Plain RF,39
soil,rf_var,40,balanced_accuracy,0.833802816901408,Balanced accuracy,Soil,Plain RF,40
soil,rf_var,41,balanced_accuracy,0.851948573724387,Balanced accuracy,Soil,Plain RF,41
soil,rf_var,42,balanced_accuracy,0.902340892465252,Balanced accuracy,Soil,Plain RF,42
soil,rf_var,43,balanced_accuracy,0.901296111665005,Balanced accuracy,Soil,Plain RF,43
soil,rf_var,44,balanced_accuracy,0.829674220963173,Balanced accuracy,Soil,Plain RF,44
soil,rf_var,45,balanced_accuracy,0.837762669962917,Balanced accuracy,Soil,Plain RF,45
soil,rf_var,46,balanced_accuracy,0.800534963698892,Balanced accuracy,Soil,Plain RF,46
soil,rf_var,47,balanced_accuracy,0.819469669451508,Balanced accuracy,Soil,Plain RF,47
soil,rf_var,48,balanced_accuracy,0.898678414096916,Balanced accuracy,Soil,Plain RF,48
soil,rf_var,49,balanced_accuracy,0.841503870254331,Balanced accuracy,Soil,Plain RF,49
soil,rf_var,50,balanced_accuracy,0.876996805111821,Balanced accuracy,Soil,Plain RF,50
soil,rf_var,52,balanced_accuracy,0.934261838440111,Balanced accuracy,Soil,Plain RF,52
soil,rf_var,53,balanced_accuracy,0.934132996632997,Balanced accuracy,Soil,Plain RF,53
soil,rf_var,54,balanced_accuracy,0.940754716981132,Balanced accuracy,Soil,Plain RF,54
soil,rf_var,55,balanced_accuracy,0.923566878980892,Balanced accuracy,Soil,Plain RF,55
climate,mf_var,1,f1,0.984516699845167,F1,Climate,Plain MF RF,1
climate,mf_var,2,f1,0.957261369664959,F1,Climate,Plain MF RF,2
climate,mf_var,3,f1,0.926589473621754,F1,Climate,Plain MF RF,3
climate,mf_var,4,f1,0.964945010038555,F1,Climate,Plain MF RF,4
climate,mf_var,5,f1,0.930926349690652,F1,Climate,Plain MF RF,5
climate,mf_var,6,f1,0.973518834683425,F1,Climate,Plain MF RF,6
climate,mf_var,7,f1,0.923388134907499,F1,Climate,Plain MF RF,7
climate,mf_var,9,f1,0.990206157675451,F1,Climate,Plain MF RF,9
climate,mf_var,10,f1,0.969532988226876,F1,Climate,Plain MF RF,10
climate,mf_var,11,f1,0.962108546615352,F1,Climate,Plain MF RF,11
climate,mf_var,12,f1,0.955986307044895,F1,Climate,Plain MF RF,12
climate,mf_var,13,f1,0.941942490800004,F1,Climate,Plain MF RF,13
climate,mf_var,14,f1,0.985996084926969,F1,Climate,Plain MF RF,14
climate,mf_var,15,f1,0.943333264387311,F1,Climate,Plain MF RF,15
climate,mf_var,16,f1,0.943732832358425,F1,Climate,Plain MF RF,16
climate,mf_var,17,f1,0.999172870140612,F1,Climate,Plain MF RF,17
climate,mf_var,18,f1,0.950516208216013,F1,Climate,Plain MF RF,18
climate,mf_var,19,f1,0.955117282839404,F1,Climate,Plain MF RF,19
climate,mf_var,20,f1,0.941693480638463,F1,Climate,Plain MF RF,20
climate,mf_var,21,f1,0.944365590647731,F1,Climate,Plain MF RF,21
climate,mf_var,22,f1,0.972537475306968,F1,Climate,Plain MF RF,22
climate,mf_var,23,f1,0.944046604008852,F1,Climate,Plain MF RF,23
climate,mf_var,24,f1,0.947498580335564,F1,Climate,Plain MF RF,24
climate,mf_var,25,f1,0.957370022123894,F1,Climate,Plain MF RF,25
climate,mf_var,26,f1,0.968439532378406,F1,Climate,Plain MF RF,26
climate,mf_var,27,f1,0.95938968032693,F1,Climate,Plain MF RF,27
climate,mf_var,28,f1,0.956963096119277,F1,Climate,Plain MF RF,28
climate,mf_var,29,f1,0.981662310088233,F1,Climate,Plain MF RF,29
climate,mf_var,30,f1,0.918795996303595,F1,Climate,Plain MF RF,30
climate,mf_var,31,f1,0.953194372008614,F1,Climate,Plain MF RF,31
climate,mf_var,32,f1,0.974628583385645,F1,Climate,Plain MF RF,32
climate,mf_var,33,f1,0.96241624263187,F1,Climate,Plain MF RF,33
climate,mf_var,34,f1,0.990866141732283,F1,Climate,Plain MF RF,34
climate,mf_var,35,f1,0.988387357366455,F1,Climate,Plain MF RF,35
climate,mf_var,36,f1,0.971994342291372,F1,Climate,Plain MF RF,36
climate,mf_var,37,f1,0.968598804667489,F1,Climate,Plain MF RF,37
climate,mf_var,38,f1,0.99514348785872,F1,Climate,Plain MF RF,38
climate,mf_var,39,f1,0.987041672802238,F1,Climate,Plain MF RF,39
climate,mf_var,40,f1,0.929393818497571,F1,Climate,Plain MF RF,40
climate,mf_var,41,f1,0.967240362447054,F1,Climate,Plain MF RF,41
climate,mf_var,42,f1,0.977644744003014,F1,Climate,Plain MF RF,42
climate,mf_var,43,f1,0.99438368312149,F1,Climate,Plain MF RF,43
climate,mf_var,44,f1,0.92004992004992,F1,Climate,Plain MF RF,44
climate,mf_var,45,f1,0.984259165227988,F1,Climate,Plain MF RF,45
climate,mf_var,46,f1,0.96813483520274,F1,Climate,Plain MF RF,46
climate,mf_var,47,f1,0.954438413209314,F1,Climate,Plain MF RF,47
climate,mf_var,48,f1,0.998054474708171,F1,Climate,Plain MF RF,48
climate,mf_var,49,f1,0.941023390303093,F1,Climate,Plain MF RF,49
climate,mf_var,50,f1,0.996057818659658,F1,Climate,Plain MF RF,50
climate,mf_var,52,f1,0.994585472189016,F1,Climate,Plain MF RF,52
climate,mf_var,53,f1,0.987805805552034,F1,Climate,Plain MF RF,53
climate,mf_var,54,f1,0.996829057365235,F1,Climate,Plain MF RF,54
climate,mf_var,55,f1,0.994751312171957,F1,Climate,Plain MF RF,55
climate,rf_var,1,f1,0.985176991150442,F1,Climate,Plain RF,1
climate,rf_var,2,f1,0.956881771847774,F1,Climate,Plain RF,2
climate,rf_var,3,f1,0.926287862825805,F1,Climate,Plain RF,3
climate,rf_var,4,f1,0.964865201087633,F1,Climate,Plain RF,4
climate,rf_var,5,f1,0.930697098672274,F1,Climate,Plain RF,5
climate,rf_var,6,f1,0.973748751021891,F1,Climate,Plain RF,6
climate,rf_var,7,f1,0.923523617706297,F1,Climate,Plain RF,7
climate,rf_var,9,f1,0.990150449182812,F1,Climate,Plain RF,9
climate,rf_var,10,f1,0.969635310690249,F1,Climate,Plain RF,10
climate,rf_var,11,f1,0.96198896019387,F1,Climate,Plain RF,11
climate,rf_var,12,f1,0.956013392156521,F1,Climate,Plain RF,12
climate,rf_var,13,f1,0.941752306950239,F1,Climate,Plain RF,13
climate,rf_var,14,f1,0.985700667302192,F1,Climate,Plain RF,14
climate,rf_var,15,f1,0.943047964324853,F1,Climate,Plain RF,15
climate,rf_var,16,f1,0.94363979568781,F1,Climate,Plain RF,16
climate,rf_var,17,f1,0.999172870140612,F1,Climate,Plain RF,17
climate,rf_var,18,f1,0.950588235294118,F1,Climate,Plain RF,18
climate,rf_var,19,f1,0.955207511391202,F1,Climate,Plain RF,19
