scenario,zoneID,area_km2,scenario_label
2071-2100SSP585,32,38273.5760787282,2071-2100 SSP585
2071-2100SSP585,33,190427.240647703,2071-2100 SSP585
2071-2100SSP585,34,10119.6343901197,2071-2100 SSP585
2071-2100SSP585,35,11.8765228097339,2071-2100 SSP585
2071-2100SSP585,36,18569.4367177842,2071-2100 SSP585
2071-2100SSP585,37,26186.2740255723,2071-2100 SSP585
2071-2100SSP585,38,0,2071-2100 SSP585
2071-2100SSP585,39,46770.0834577988,2071-2100 SSP585
2071-2100SSP585,40,234206.539220684,2071-2100 SSP585
2071-2100SSP585,41,12249.2475061079,2071-2100 SSP585
2071-2100SSP585,42,9553.24266901764,2071-2100 SSP585
2071-2100SSP585,43,1.35769596518803,2071-2100 SSP585
2071-2100SSP585,44,164052.80204147,2071-2100 SSP585
2071-2100SSP585,45,42767.1899278299,2071-2100 SSP585
2071-2100SSP585,46,307132.611031716,2071-2100 SSP585
2071-2100SSP585,47,33824.5921557794,2071-2100 SSP585
2071-2100SSP585,48,499.910821290569,2071-2100 SSP585
2071-2100SSP585,49,149552.646190557,2071-2100 SSP585
2071-2100SSP585,50,24060.821923098,2071-2100 SSP585
2071-2100SSP585,52,55407.0922174767,2071-2100 SSP585
2071-2100SSP585,53,255408.366954266,2071-2100 SSP585
2071-2100SSP585,54,6.09073272506762,2071-2100 SSP585
2071-2100SSP585,55,8615.43112377032,2071-2100 SSP585
2071-2100SSP585,99,909403.968639294,2071-2100 SSP585
normal,1,29364.8407776123,Predicted reference
normal,2,143659.468609671,Predicted reference
normal,3,285428.367653091,Predicted reference
normal,4,59964.6750406594,Predicted reference
normal,5,106671.426355798,Predicted reference
normal,6,60239.6197023828,Predicted reference
normal,7,168880.664535503,Predicted reference
normal,9,45209.082366186,Predicted reference
normal,10,118901.276657646,Predicted reference
normal,11,111338.855250923,Predicted reference
normal,12,213372.680175916,Predicted reference
normal,13,338535.30959641,Predicted reference
normal,14,57800.1015892896,Predicted reference
normal,15,164882.302017434,Predicted reference
normal,16,503564.207353736,Predicted reference
normal,17,5940.17111927843,Predicted reference
normal,18,116922.464943238,Predicted reference
normal,19,386966.684471332,Predicted reference
normal,20,293806.225048065,Predicted reference
normal,21,388739.311013019,Predicted reference
normal,22,67936.0341679041,Predicted reference
normal,23,211920.047322782,Predicted reference
normal,24,449141.154359003,Predicted reference
normal,25,200280.065005521,Predicted reference
normal,26,82135.6445600273,Predicted reference
normal,27,488626.388810115,Predicted reference
normal,28,76289.3427166423,Predicted reference
normal,29,125665.027370597,Predicted reference
normal,30,351150.132687035,Predicted reference
normal,31,524812.859136224,Predicted reference
normal,32,73594.3508926899,Predicted reference
normal,33,267899.667111374,Predicted reference
normal,34,17434.5163628943,Predicted reference
normal,35,48133.0964743718,Predicted reference
normal,36,101251.20903339,Predicted reference
normal,37,137338.605276886,Predicted reference
normal,38,35504.4926499834,Predicted reference
normal,39,52664.1393994281,Predicted reference
normal,40,256176.678426314,Predicted reference
normal,41,100442.418195516,Predicted reference
normal,42,176239.054839001,Predicted reference
normal,43,16783.3114665696,Predicted reference
normal,44,275169.24743266,Predicted reference
normal,45,45423.1558171278,Predicted reference
normal,46,129553.1104103,Predicted reference
normal,47,266275.522189365,Predicted reference
normal,48,7672.9727891142,Predicted reference
normal,49,151601.336740616,Predicted reference
normal,50,13051.606977689,Predicted reference
normal,52,37456.7833352837,Predicted reference
normal,53,76651.0033234176,Predicted reference
normal,54,19295.7856753856,Predicted reference
normal,55,17371.5161680524,Predicted reference
normal,99,0,Predicted reference
