Species,method,scenario,period,ssp,populations_projected,future_area_km2,species_raster,method_label
phylPub,mf_var,2041-2070SSP585,2041-2070,SSP585,8,1958541.34733089,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/phylPub_species_niche.tif,Plain MF RF
phylPub,mf_var,2071-2100SSP585,2071-2100,SSP585,8,2004346.41654793,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/phylPub_species_niche.tif,Plain MF RF
phylPub,rf_var,2011-2040SSP245,2011-2040,SSP245,8,1909409.61631062,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/phylPub_species_niche.tif,Plain RF
phylPub,rf_var,2041-2070SSP245,2041-2070,SSP245,8,1939468.98633389,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/phylPub_species_niche.tif,Plain RF
phylPub,rf_var,2071-2100SSP245,2071-2100,SSP245,8,1961630.11532715,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP245/species niche/phylPub_species_niche.tif,Plain RF
phylPub,rf_var,2011-2040SSP585,2011-2040,SSP585,8,1922154.15846677,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP585/species niche/phylPub_species_niche.tif,Plain RF
phylPub,rf_var,2041-2070SSP585,2041-2070,SSP585,8,1954611.48167634,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP585/species niche/phylPub_species_niche.tif,Plain RF
phylPub,rf_var,2071-2100SSP585,2071-2100,SSP585,8,2002110.71297668,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP585/species niche/phylPub_species_niche.tif,Plain RF
pinuSyl,mf_var,2011-2040SSP245,2011-2040,SSP245,4,1093366.05237188,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP245/species niche/pinuSyl_species_niche.tif,Plain MF RF
pinuSyl,mf_var,2041-2070SSP245,2041-2070,SSP245,4,1095231.70557526,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP245/species niche/pinuSyl_species_niche.tif,Plain MF RF
pinuSyl,mf_var,2071-2100SSP245,2071-2100,SSP245,4,1093623.5186677,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP245/species niche/pinuSyl_species_niche.tif,Plain MF RF
pinuSyl,mf_var,2011-2040SSP585,2011-2040,SSP585,4,1088563.21333163,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP585/species niche/pinuSyl_species_niche.tif,Plain MF RF
pinuSyl,mf_var,2041-2070SSP585,2041-2070,SSP585,4,1083128.87014946,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/pinuSyl_species_niche.tif,Plain MF RF
pinuSyl,mf_var,2071-2100SSP585,2071-2100,SSP585,4,1101625.70114896,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/pinuSyl_species_niche.tif,Plain MF RF
pinuSyl,rf_var,2011-2040SSP245,2011-2040,SSP245,4,1094797.97117589,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/pinuSyl_species_niche.tif,Plain RF
pinuSyl,rf_var,2041-2070SSP245,2041-2070,SSP245,4,1102169.84269635,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/pinuSyl_species_niche.tif,Plain RF
pinuSyl,rf_var,2071-2100SSP245,2071-2100,SSP245,4,1095842.9502169,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP245/species niche/pinuSyl_species_niche.tif,Plain RF
pinuSyl,rf_var,2011-2040SSP585,2011-2040,SSP585,4,1094082.15374661,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP585/species niche/pinuSyl_species_niche.tif,Plain RF
pinuSyl,rf_var,2041-2070SSP585,2041-2070,SSP585,4,1088840.27663766,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP585/species niche/pinuSyl_species_niche.tif,Plain RF
pinuSyl,rf_var,2071-2100SSP585,2071-2100,SSP585,4,1111611.68519456,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP585/species niche/pinuSyl_species_niche.tif,Plain RF
pinuYun,mf_var,2011-2040SSP245,2011-2040,SSP245,15,2732634.51079976,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP245/species niche/pinuYun_species_niche.tif,Plain MF RF
pinuYun,mf_var,2041-2070SSP245,2041-2070,SSP245,15,2906726.53556219,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP245/species niche/pinuYun_species_niche.tif,Plain MF RF
pinuYun,mf_var,2071-2100SSP245,2071-2100,SSP245,15,2980603.67344836,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP245/species niche/pinuYun_species_niche.tif,Plain MF RF
pinuYun,mf_var,2011-2040SSP585,2011-2040,SSP585,15,2760059.04941662,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP585/species niche/pinuYun_species_niche.tif,Plain MF RF
pinuYun,mf_var,2041-2070SSP585,2041-2070,SSP585,15,2995798.20283301,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/pinuYun_species_niche.tif,Plain MF RF
pinuYun,mf_var,2071-2100SSP585,2071-2100,SSP585,15,3183094.71154216,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/pinuYun_species_niche.tif,Plain MF RF
pinuYun,rf_var,2011-2040SSP245,2011-2040,SSP245,15,2721054.53766084,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/pinuYun_species_niche.tif,Plain RF
pinuYun,rf_var,2041-2070SSP245,2041-2070,SSP245,15,2896728.73566185,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/pinuYun_species_niche.tif,Plain RF
pinuYun,rf_var,2071-2100SSP245,2071-2100,SSP245,15,2987178.8319095,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP245/species niche/pinuYun_species_niche.tif,Plain RF
pinuYun,rf_var,2011-2040SSP585,2011-2040,SSP585,15,2749794.62142773,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP585/species niche/pinuYun_species_niche.tif,Plain RF
pinuYun,rf_var,2041-2070SSP585,2041-2070,SSP585,15,2995103.35531597,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP585/species niche/pinuYun_species_niche.tif,Plain RF
pinuYun,rf_var,2071-2100SSP585,2071-2100,SSP585,15,3200042.83627638,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP585/species niche/pinuYun_species_niche.tif,Plain RF
querVar,mf_var,2011-2040SSP245,2011-2040,SSP245,17,3769337.94326784,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP245/species niche/querVar_species_niche.tif,Plain MF RF
querVar,mf_var,2041-2070SSP245,2041-2070,SSP245,17,3832666.92685903,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP245/species niche/querVar_species_niche.tif,Plain MF RF
querVar,mf_var,2071-2100SSP245,2071-2100,SSP245,17,3789980.02120746,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP245/species niche/querVar_species_niche.tif,Plain MF RF
querVar,mf_var,2011-2040SSP585,2011-2040,SSP585,17,3790822.98288184,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP585/species niche/querVar_species_niche.tif,Plain MF RF
querVar,mf_var,2041-2070SSP585,2041-2070,SSP585,17,3787172.0714191,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/querVar_species_niche.tif,Plain MF RF
querVar,mf_var,2071-2100SSP585,2071-2100,SSP585,17,3616883.99659006,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/querVar_species_niche.tif,Plain MF RF
querVar,rf_var,2011-2040SSP245,2011-2040,SSP245,17,3769946.00231487,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/querVar_species_niche.tif,Plain RF
querVar,rf_var,2041-2070SSP245,2041-2070,SSP245,17,3841725.05621711,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/querVar_species_niche.tif,Plain RF
querVar,rf_var,2071-2100SSP245,2071-2100,SSP245,17,3793422.54524943,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP245/species niche/querVar_species_niche.tif,Plain RF
querVar,rf_var,2011-2040SSP585,2011-2040,SSP585,17,3795509.31553662,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP585/species niche/querVar_species_niche.tif,Plain RF
querVar,rf_var,2041-2070SSP585,2041-2070,SSP585,17,3797120.86880077,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP585/species niche/querVar_species_niche.tif,Plain RF
querVar,rf_var,2071-2100SSP585,2071-2100,SSP585,17,3648349.81203131,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP585/species niche/querVar_species_niche.tif,Plain RF
robiPse,mf_var,2011-2040SSP245,2011-2040,SSP245,7,1792828.70432251,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP245/species niche/robiPse_species_niche.tif,Plain MF RF
robiPse,mf_var,2041-2070SSP245,2041-2070,SSP245,7,1832305.89900843,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP245/species niche/robiPse_species_niche.tif,Plain MF RF
robiPse,mf_var,2071-2100SSP245,2071-2100,SSP245,7,1824598.16602391,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP245/species niche/robiPse_species_niche.tif,Plain MF RF
robiPse,mf_var,2011-2040SSP585,2011-2040,SSP585,7,1797757.29756333,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP585/species niche/robiPse_species_niche.tif,Plain MF RF
robiPse,mf_var,2041-2070SSP585,2041-2070,SSP585,7,1815773.90545048,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/robiPse_species_niche.tif,Plain MF RF
robiPse,mf_var,2071-2100SSP585,2071-2100,SSP585,7,1749838.16534908,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/robiPse_species_niche.tif,Plain MF RF
robiPse,rf_var,2011-2040SSP245,2011-2040,SSP245,7,1808756.30664012,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/robiPse_species_niche.tif,Plain RF
robiPse,rf_var,2041-2070SSP245,2041-2070,SSP245,7,1862744.51654603,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/robiPse_species_niche.tif,Plain RF
robiPse,rf_var,2071-2100SSP245,2071-2100,SSP245,7,1839717.07634018,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP245/species niche/robiPse_species_niche.tif,Plain RF
robiPse,rf_var,2011-2040SSP585,2011-2040,SSP585,7,1817610.47043666,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP585/species niche/robiPse_species_niche.tif,Plain RF
robiPse,rf_var,2041-2070SSP585,2041-2070,SSP585,7,1840615.49557015,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP585/species niche/robiPse_species_niche.tif,Plain RF
robiPse,rf_var,2071-2100SSP585,2071-2100,SSP585,7,1742602.56775884,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP585/species niche/robiPse_species_niche.tif,Plain RF
saliMat,mf_var,2011-2040SSP245,2011-2040,SSP245,3,989511.383693531,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP245/species niche/saliMat_species_niche.tif,Plain MF RF
saliMat,mf_var,2041-2070SSP245,2041-2070,SSP245,3,977195.2073836,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP245/species niche/saliMat_species_niche.tif,Plain MF RF
saliMat,mf_var,2071-2100SSP245,2071-2100,SSP245,3,1005716.39419872,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP245/species niche/saliMat_species_niche.tif,Plain MF RF
saliMat,mf_var,2011-2040SSP585,2011-2040,SSP585,3,984683.204894376,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP585/species niche/saliMat_species_niche.tif,Plain MF RF
saliMat,mf_var,2041-2070SSP585,2041-2070,SSP585,3,980661.533080178,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/saliMat_species_niche.tif,Plain MF RF
saliMat,mf_var,2071-2100SSP585,2071-2100,SSP585,3,1081118.48656057,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/saliMat_species_niche.tif,Plain MF RF
saliMat,rf_var,2011-2040SSP245,2011-2040,SSP245,3,998359.477279758,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/saliMat_species_niche.tif,Plain RF
saliMat,rf_var,2041-2070SSP245,2041-2070,SSP245,3,996048.095628447,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/saliMat_species_niche.tif,Plain RF
saliMat,rf_var,2071-2100SSP245,2071-2100,SSP245,3,1010909.0339234,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP245/species niche/saliMat_species_niche.tif,Plain RF
saliMat,rf_var,2011-2040SSP585,2011-2040,SSP585,3,995946.949909358,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP585/species niche/saliMat_species_niche.tif,Plain RF
saliMat,rf_var,2041-2070SSP585,2041-2070,SSP585,3,996759.854703455,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP585/species niche/saliMat_species_niche.tif,Plain RF
saliMat,rf_var,2071-2100SSP585,2071-2100,SSP585,3,1083482.17846552,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP585/species niche/saliMat_species_niche.tif,Plain RF
