Species,PopulationID,source_zone,method,ssp,zone_name,reference_abundance,start_period,start_suitable_area_km2,start_weighted_area_km2,start_mean_dual_suitability,start_max_dual_suitability,end_period,end_suitable_area_km2,end_weighted_area_km2,end_mean_dual_suitability,end_max_dual_suitability,suitable_area_change_km2,suitable_area_percent_change,weighted_area_change_km2,mean_dual_suitability_change,within_species_gain_rank,within_species_loss_rank,within_species_absolute_change_rank
cyclLon,cyclLon-Zone21,21,mf_var,SSP585,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,73,2011-2040,1551059.6807626,1201537.26610723,0.117092041448097,0.999445676803589,2071-2100,1865238.78048863,1269536.75920169,0.12469948064926,0.979230105876923,314179.09972603,20.2557711751981,67999.4930944601,0.007607439201163,1,,2
cyclLon,cyclLon-Zone26,26,mf_var,SSP585,Bamboo forests and scrubs in subtropical and tropical zones,17,2011-2040,323176.569208065,429231.634427959,0.0419370686600809,0.998861074447632,2071-2100,55835.4501804734,386336.353645155,0.0378611602225249,0.996465742588043,-267341.119027592,-82.72292749524,-42895.280782804,-0.004075908437556,,2,3
cyclLon,cyclLon-Zone53,53,mf_var,SSP585,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,29,2011-2040,291314.62307248,256300.311135909,0.0241669378735901,1,2071-2100,386256.863445307,330834.624388543,0.0314045200344573,0.999976992607117,94942.240372827,32.5909627781387,74534.313252634,0.00723758216086721,2,,4
cyclLon,cyclLon-Zone10,10,mf_var,SSP585,Needleleaf forests on mountains in subtropical and tropical zones,25,2011-2040,448317.796062005,413127.198861254,0.0415219852591457,1,2071-2100,437210.105469489,426043.058256222,0.0430045770692589,1,-11107.690592516,-2.47763766910108,12915.859394968,0.0014825918101132,,3,5
cyclLon,cyclLon-Zone34,34,mf_var,SSP585,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",26,2011-2040,146990.155270339,165530.162773479,0.0167673023409591,1,2071-2100,137979.084754503,178322.018784269,0.0189887968327398,1,-9011.07051583598,-6.13039050082173,12791.85601079,0.0022214944917807,,4,6
cyclLon,cyclLon-Zone21,21,rf_var,SSP245,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,73,2011-2040,1538441.37702342,1201072.91162484,0.11702210819736,1,2071-2100,1834085.30396971,1275836.44913597,0.12487127008775,0.994349718093872,295643.92694629,19.2171070904439,74763.5375111301,0.00784916189038999,1,,1
cyclLon,cyclLon-Zone26,26,rf_var,SSP245,Bamboo forests and scrubs in subtropical and tropical zones,17,2011-2040,365235.026474446,436497.265255926,0.0426261899708837,0.999963879585266,2071-2100,150482.742702866,409745.780597959,0.0401069742062583,0.999742567539215,-214752.28377158,-58.7983813722766,-26751.484657967,-0.0025192157646254,,1,2
cyclLon,cyclLon-Zone49,49,rf_var,SSP245,Broadleaf evergreen forests in subtropical zone,319,2011-2040,886826.706732069,814131.084774843,0.0788076411253535,1,2071-2100,701884.990467525,725527.855247929,0.0704914753458847,1,-184941.716264544,-20.8543241718609,-88603.229526914,-0.00831616577946881,,2,3
cyclLon,cyclLon-Zone53,53,rf_var,SSP245,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,29,2011-2040,288423.220577771,253160.239867401,0.0238615968196854,1,2071-2100,353714.725716719,301307.712129378,0.0284899904221039,1,65291.505138948,22.6373954940783,48147.472261977,0.0046283936024185,2,,4
cyclLon,cyclLon-Zone34,34,rf_var,SSP245,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",26,2011-2040,150825.928441719,167670.861314277,0.0169704789803343,1,2071-2100,144878.735903613,177266.712314341,0.0184972216647831,1,-5947.192538106,-3.94308365912302,9595.85100006402,0.0015267426844488,,3,5
cyclLon,cyclLon-Zone10,10,rf_var,SSP245,Needleleaf forests on mountains in subtropical and tropical zones,25,2011-2040,449973.316552287,415369.522489333,0.0417432238871689,1,2071-2100,452791.24635084,430523.804846467,0.0434303931521971,1,2817.929798553,0.626243755995153,15154.282357134,0.0016871692650282,3,,6
cyclLon,cyclLon-Zone49,49,rf_var,SSP585,Broadleaf evergreen forests in subtropical zone,319,2011-2040,882513.150461309,809007.785107667,0.0783304464704122,1,2071-2100,522296.351391875,635029.000194987,0.0619097878486586,1,-360216.799069434,-40.8171593682361,-173978.78491268,-0.0164206586217536,,1,1
cyclLon,cyclLon-Zone21,21,rf_var,SSP585,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,73,2011-2040,1560595.49867235,1203105.24246789,0.11725418651389,0.999948859214783,2071-2100,1876779.92352405,1269755.83754408,0.124735690133307,0.986698865890503,316184.4248517,20.2604983239211,66650.5950761901,0.007481503619417,1,,2
cyclLon,cyclLon-Zone26,26,rf_var,SSP585,Bamboo forests and scrubs in subtropical and tropical zones,17,2011-2040,333240.029583155,428204.560194555,0.0418282313324302,0.999933302402496,2071-2100,61822.5089041159,391855.086203965,0.0383899277107952,0.996955513954163,-271417.520679039,-81.448054430481,-36349.47399059,-0.003438303621635,,2,3
cyclLon,cyclLon-Zone53,53,rf_var,SSP585,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,29,2011-2040,289728.339900859,255758.149262855,0.0241158908385496,1,2071-2100,378040.693688183,331815.122473123,0.0314938399266507,1,88312.353787324,30.4810892222498,76056.973210268,0.0073779490881011,2,,4
cyclLon,cyclLon-Zone10,10,rf_var,SSP585,Needleleaf forests on mountains in subtropical and tropical zones,25,2011-2040,447749.922452866,412851.956740509,0.0415012834673699,1,2071-2100,433133.443279137,424395.940853799,0.0428221719620255,1,-14616.479173729,-3.26442919155784,11543.98411329,0.0013208884946556,,3,5
cyclLon,cyclLon-Zone34,34,rf_var,SSP585,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",26,2011-2040,150874.244438921,168152.39973668,0.0170526738636384,1,2071-2100,141305.169013205,181717.220003242,0.0194128470675657,1,-9569.075425716,-6.34241812530825,13564.820266562,0.0023601732039273,,4,6
lariGme,lariGme-Zone5,5,mf_var,SSP245,Grass and forb meadows,313,2011-2040,713499.390147536,691398.108071845,0.0833885958849166,0.99999326467514,2071-2100,424123.413550007,632595.260488615,0.0757575291355498,0.998734176158905,-289375.976597529,-40.5572843639982,-58802.84758323,-0.0076310667493668,,1,1
lariGme,lariGme-Zone7,7,mf_var,SSP245,Deciduous scrubs in temperate zone,47,2011-2040,908222.556495777,934497.083030635,0.105980623092223,0.996783018112183,2071-2100,650896.814262179,855620.282062806,0.0976323970408807,0.980042815208435,-257325.742233598,-28.3328948827748,-78876.8009678291,-0.00834822605134231,,2,2
lariGme,lariGme-Zone4,4,mf_var,SSP245,"Grass, Carex and forb swamp meadows",439,2011-2040,280328.436655596,369188.681860905,0.0464671224785324,0.999756097793579,2071-2100,62088.3518461884,265786.560685196,0.0334348500486871,0.981009244918823,-218240.084809408,-77.8515684719961,-103402.121175709,-0.0130322724298453,,3,3
lariGme,lariGme-Zone2,2,mf_var,SSP245,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,53291,2011-2040,441868.742190835,407986.683885608,0.0506599824562428,0.999566197395325,2071-2100,244686.249947008,321334.970776616,0.0394826830858126,0.984200537204742,-197182.492243827,-44.6246754785537,-86651.713108992,-0.0111772993704302,,4,4
lariGme,lariGme-Zone3,3,mf_var,SSP245,Broadleaf deciduous forests in temperate zone,354,2011-2040,993635.22619721,859962.785620512,0.100694845089152,0.998881220817566,2071-2100,811931.633286415,759682.638879593,0.0892004556411383,0.995563089847565,-181703.592910795,-18.2867503204573,-100280.146740919,-0.0114943894480137,,5,5
lariGme,lariGme-Zone6,6,mf_var,SSP245,Cold-temperate and temperate marshes,446,2011-2040,183731.362561371,285745.977986672,0.0363282797215363,0.982295453548431,2071-2100,16282.1812473039,231185.070731099,0.0288581166410638,0.618782579898834,-167449.181314067,-91.1380501291034,-54560.907255573,-0.0074701630804725,,6,6
lariGme,lariGme-Zone9,9,mf_var,SSP245,Needleleaf and deciduous broadleaf mixed forests in temperate zone,10,2011-2040,55320.4279589489,100334.915791326,0.0127079467213817,0.999932825565338,2071-2100,12198.8772972635,78822.7735701386,0.0103027752528711,0.989929735660553,-43121.5506616854,-77.9486931910292,-21512.1422211874,-0.0024051714685106,,7,7
