method,method_label,niche,zone,probability_threshold,sampling,n_test,presence,absence,n_variables,variables,TP,TN,FP,FN,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tss,auc
rf_var,Plain RF,soil,15,0.5,all presence + equal modeled-zone absence,5462,2731,2731,9,"T_CLAY,T_REF_BULK_DENSITY,T_GRAVEL,T_TEB,T_SAND,T_SILT,T_OC,T_CEC_CLAY,T_ESP",2436,2097,634,295,0.829915781764921,0.829915781764921,0.891980959355547,0.767850604174295,0.793485342019544,0.839855197379762,0.659831563529843,0.873658368105271
rf_var,Plain RF,soil,16,0.5,all presence + equal modeled-zone absence,5644,2822,2822,9,"T_CEC_CLAY,T_REF_BULK_DENSITY,T_SILT,T_PH_H2O,T_CEC_SOIL,T_CLAY,T_BS,T_TEB,T_OC",2611,2342,480,211,0.877569099929128,0.877569099929128,0.925230333097094,0.829907866761162,0.844710449692656,0.883138846609166,0.755138199858257,0.893723809232009
rf_var,Plain RF,soil,17,0.5,all presence + equal modeled-zone absence,998,499,499,9,"T_SAND,T_SILT,T_TEB,T_CASO4,T_CEC_CLAY,T_REF_BULK_DENSITY,T_OC,T_BS,T_GRAVEL",461,428,71,38,0.890781563126252,0.890781563126253,0.923847695390782,0.857715430861724,0.866541353383459,0.894277400581959,0.781563126252505,0.895050622286657
rf_var,Plain RF,soil,18,0.5,all presence + equal modeled-zone absence,5378,2689,2689,9,"T_PH_H2O,T_TEB,T_SILT,T_CEC_CLAY,T_BS,T_GRAVEL,T_CEC_SOIL,T_CLAY,T_OC",2181,2179,510,508,0.810710301227222,0.810710301227222,0.811082186686501,0.810338415767944,0.810479375696767,0.810780669144981,0.621420602454444,0.839464833451602
rf_var,Plain RF,soil,19,0.5,all presence + equal modeled-zone absence,4898,2449,2449,9,"T_SAND,T_GRAVEL,T_PH_H2O,T_ECE,T_REF_BULK_DENSITY,T_SILT,T_TEB,T_CACO3,T_OC",2162,2172,277,287,0.884850959575337,0.884850959575337,0.882809309922417,0.886892609228256,0.886428864288643,0.884615384615385,0.769701919150674,0.906614828162127
rf_var,Plain RF,soil,20,0.5,all presence + equal modeled-zone absence,5314,2657,2657,9,"T_ESP,T_CEC_CLAY,T_REF_BULK_DENSITY,T_OC,T_BS,T_CLAY,T_CEC_SOIL,T_ECE,T_GRAVEL",2545,2323,334,112,0.916070756492284,0.916070756492284,0.957847196085811,0.874294316898758,0.883987495658215,0.919436416184971,0.832141512984569,0.932996881289707
rf_var,Plain RF,soil,21,0.5,all presence + equal modeled-zone absence,5756,2878,2878,9,"T_CACO3,T_PH_H2O,T_TEB,T_SILT,T_REF_BULK_DENSITY,T_CLAY,T_CEC_SOIL,T_OC,T_CEC_CLAY",2776,2252,626,102,0.873523280055594,0.873523280055594,0.96455872133426,0.782487838776928,0.815990593768372,0.884076433121019,0.747046560111188,0.905167753164236
rf_var,Plain RF,soil,22,0.5,all presence + equal modeled-zone absence,4220,2110,2110,9,"T_CEC_CLAY,T_CEC_SOIL,T_PH_H2O,T_CLAY,T_ESP,T_TEB,T_SILT,T_OC,T_GRAVEL",1858,1730,380,252,0.850236966824645,0.850236966824645,0.880568720379147,0.819905213270142,0.830205540661305,0.854645814167433,0.700473933649289,0.884856135306934
rf_var,Plain RF,soil,23,0.5,all presence + equal modeled-zone absence,5722,2861,2861,9,"T_CEC_SOIL,T_CLAY,T_CACO3,T_PH_H2O,T_CASO4,T_GRAVEL,T_ESP,T_CEC_CLAY,T_OC",2676,2445,416,185,0.894966794826984,0.894966794826983,0.935337294652219,0.854596295001748,0.865459249676585,0.899042499580044,0.789933589653967,0.922164872947561
rf_var,Plain RF,soil,24,0.5,all presence + equal modeled-zone absence,5928,2964,2964,9,"T_CEC_CLAY,T_SAND,T_CLAY,T_CASO4,T_PH_H2O,T_TEB,T_SILT,T_REF_BULK_DENSITY,T_OC",2717,2467,497,247,0.874493927125506,0.874493927125506,0.916666666666667,0.832321187584346,0.845364032358432,0.879572677241826,0.748987854251012,0.898738642386096
