method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
mf_var,44,566191,358427,195061,11664269,163366,371130,0.956874011302079,0.665351127447254,0.344514483628316,0.986187771266191,0.544214024055107,0.421927758274228,0.330702254894508
mf_var,45,16405,62305,11617,12326733,50688,4788,0.995523900367812,0.85202128202349,0.708137762877172,0.995904801169807,0.186453735655244,0.295184855799771,0.704042564046979
mf_var,46,136482,176085,66247,12147506,109838,70235,0.98547074971038,0.738214509830786,0.485390014800487,0.991039004861086,0.376221711105432,0.42388991800158,0.476429019661572
mf_var,47,354447,353496,201594,11887477,151902,152853,0.975410740799492,0.778069652433849,0.568756400815919,0.987382904051779,0.570286509606898,0.569520427492044,0.556139304867698
mf_var,48,1624,10489,1476,12383189,9013,148,0.999260841648092,0.95406984142482,0.908866995073892,0.999272687775748,0.140718848317285,0.243705110212169,0.908139682849639
mf_var,49,157753,198244,70339,12108168,127905,87414,0.982626914400767,0.717713738432293,0.445880585472226,0.989546891392361,0.354810233853231,0.395166251400995,0.435427476864587
mf_var,50,2292,16985,1956,12376505,15029,336,0.998760269831124,0.926095148586318,0.853403141361257,0.998787155811379,0.11516043567854,0.202936141515796,0.852190297172636
mf_var,52,23635,48315,20440,12342316,27875,3195,0.997493106648423,0.931282861621227,0.864819124180241,0.997746599062213,0.423057021628894,0.5681723419041,0.862565723242454
mf_var,53,64489,96946,49790,12282181,47156,14699,0.995009208617258,0.88412247826241,0.77206965529005,0.99617530123477,0.513584882305613,0.616842692105182,0.76824495652482
mf_var,54,11548,24548,10745,12368475,13803,803,0.998821510000221,0.964674705649085,0.930464149636301,0.998885261661869,0.437713866710119,0.595356826241135,0.929349411298169
mf_var,55,6383,21900,5405,12370948,16495,978,0.99859018514541,0.922724460173054,0.846780510731631,0.998668409614478,0.246803652968037,0.382208393734752,0.845448920346109
