method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
rf_var,30,576557,460852,248563,11604980,212289,327994,0.956407085269714,0.706575893971894,0.431116090863523,0.982035697080265,0.539355367883833,0.47919962136438,0.413151787943787
rf_var,31,841378,735731,593488,11410205,142243,247890,0.968521988286749,0.846531689461393,0.705376180503888,0.987687198418898,0.80666439228468,0.752627751157339,0.693063378922786
rf_var,32,60484,112344,40497,12261495,71847,19987,0.992590342965925,0.831861771644986,0.669548971628861,0.994174571661112,0.360473189489425,0.468639340847548,0.663723543289972
rf_var,33,389751,394493,259060,11868642,135433,130691,0.978527695967331,0.82669926565169,0.664680783371948,0.988717747931432,0.656690993249563,0.660661732828048,0.653398531303379
rf_var,34,5159,23119,3952,12369500,19167,1207,0.998356116989217,0.882246395200826,0.766039930219035,0.998452860182617,0.170941649725334,0.279510573590777,0.764492790401652
rf_var,35,32864,73005,27983,12315940,45022,4881,0.995973559738534,0.923918274330581,0.8514788218111,0.996357726850062,0.383302513526471,0.52863444445494,0.847836548661163
rf_var,36,22575,136264,16388,12251375,119876,6187,0.989828564641782,0.858122942307986,0.7259357696567,0.990310114959271,0.120266541419597,0.206347307651144,0.716245884615971
rf_var,37,191906,195561,140235,12146594,55326,51671,0.991366911234674,0.86310709138909,0.730748387231249,0.99546579554693,0.71709083099391,0.723855192829325,0.726214182778179
rf_var,38,30032,54623,27834,12337005,26789,2198,0.997661174200767,0.962322335722473,0.926811401172083,0.997833270272863,0.509565567618036,0.657586675329278,0.924644671444946
rf_var,39,21943,70566,13633,12314950,56933,8310,0.994735846703028,0.808344861244047,0.621291528049948,0.995398194438147,0.193195023098943,0.294738890270136,0.616689722488094
rf_var,40,339661,332488,131396,11853073,201092,208265,0.966970893410961,0.685081081823696,0.386844530281663,0.983317633365729,0.395190202353168,0.390972834892263,0.370162163647392
rf_var,41,91243,147355,47693,12202921,99662,43550,0.988444891835661,0.75730110551732,0.522703111471565,0.991899099563076,0.323660547657019,0.399777030821717,0.51460221103464
rf_var,42,155019,254706,119305,12103406,135401,35714,0.986193528939328,0.879276042983334,0.769615337474761,0.988936748491908,0.468402785957143,0.582366221245958,0.758552085966669
rf_var,43,5692,23728,4937,12369343,18791,755,0.998422924446414,0.932920420126296,0.867357695010541,0.998483145242052,0.208066419420094,0.335622025832767,0.865840840252593
rf_var,44,566191,359007,194643,11663271,164364,371548,0.956759760868032,0.66493980473261,0.343776216859682,0.986103392605538,0.542170486926439,0.420759664417779,0.329879609465219
rf_var,45,16405,61171,11565,12327815,49606,4840,0.995607006262634,0.850480107986485,0.704967997561719,0.995992218411251,0.189060175573393,0.298159224502423,0.70096021597297
rf_var,46,136482,175042,66031,12148333,109011,70451,0.98552004844993,0.737456931568229,0.483807388520098,0.991106474616361,0.377229464928417,0.42392239442226,0.474913863136458
rf_var,47,354447,355647,202162,11885894,153485,152285,0.975328845184691,0.778805157981786,0.570358897098861,0.987251418864711,0.568434430769836,0.569395037840061,0.557610315963572
rf_var,48,1624,10260,1486,12383428,8774,138,0.999280932296451,0.957158302319888,0.915024630541872,0.999291974097904,0.144834307992203,0.250084146751935,0.914316604639776
rf_var,49,157753,197278,70044,12108839,127234,87709,0.982657252086644,0.716806151369541,0.444010573491471,0.989601729247611,0.355052261275966,0.394579628257814,0.433612302739081
rf_var,50,2292,16935,1970,12376569,14965,322,0.998766563287237,0.929151832216238,0.859511343804538,0.998792320627939,0.116327133156185,0.204920164352213,0.858303664432476
rf_var,52,23635,48158,20484,12342517,27674,3151,0.997512874555444,0.93222180892262,0.866680770044426,0.997762847800814,0.425349889945596,0.570640591701141,0.86444361784524
rf_var,53,64489,96773,49866,12282430,46907,14623,0.995035431351061,0.884721823907677,0.773248150847431,0.996195496967923,0.515288355223048,0.618446999293076,0.769443647815354
rf_var,54,11548,24444,10759,12368593,13685,789,0.998832160464412,0.965285636093324,0.931676480775892,0.998894791410757,0.440148911798396,0.597855078906424,0.930571272186648
rf_var,55,6383,21914,5451,12370980,16463,932,0.998596478601523,0.926329073125882,0.853987153376155,0.998670992875608,0.248745094460162,0.385270523377037,0.852658146251764
mf_var,1,15263,44468,11684,12345779,32784,3579,0.997066039171439,0.881431458888612,0.765511367358973,0.997351550418251,0.262750742106684,0.391220639199076,0.762862917777224
mf_var,2,284043,260021,182550,12032312,77471,101493,0.98556022974665,0.818143496339784,0.64268438229423,0.993602610385339,0.702058679875856,0.671060757557934,0.636286992679569
mf_var,3,552373,457325,287525,11671653,169800,264848,0.964930280609071,0.753093716930048,0.520526890344025,0.98566054351607,0.628710435685782,0.569526729774646,0.506187433860095
mf_var,4,91405,102987,41596,12241030,61391,49809,0.991027790772599,0.72504170882654,0.455073573655708,0.995009843997373,0.403895637313447,0.427959998353842,0.450083417653081
mf_var,5,190463,175179,73754,12101938,101425,116709,0.982399785183365,0.689462041247344,0.387235316045636,0.991688766449052,0.421020784454758,0.403421926365133,0.378924082494688
mf_var,6,90294,106331,50883,12248084,55448,39411,0.992346269828219,0.779509571150275,0.563525815668815,0.995493326631735,0.478534011718126,0.5175638906548,0.55901914230055
