zoneID,method,scenario,period,ssp,normal_assigned_area_km2,future_assigned_area_km2,area_change_km2,percent_change,change_direction,rank_gain,rank_loss,rank_absolute_change,zone_name,baseline_definition
99,mf_var,2041-2070SSP245,2041-2070,SSP245,0,318098.419526513,318098.419526513,,gain,2,,2,Novel zone,normal-period assigned map on the same common-valid cells
30,mf_var,2041-2070SSP245,2041-2070,SSP245,350328.455343436,161423.023683785,-188905.431659651,-53.9223773514093,loss,,1,3,Needleleaf forests in subtropical zone,normal-period assigned map on the same common-valid cells
20,mf_var,2041-2070SSP245,2041-2070,SSP245,293024.95687915,108023.695489465,-185001.261389685,-63.1349845965454,loss,,2,4,Alpine sparse vegetation,normal-period assigned map on the same common-valid cells
27,mf_var,2041-2070SSP245,2041-2070,SSP245,485826.009657892,670476.114148617,184650.104490725,38.0074555128804,gain,3,,5,Two years three ripes or one year two ripes grain fields and deciduous orchards,normal-period assigned map on the same common-valid cells
23,mf_var,2041-2070SSP245,2041-2070,SSP245,212618.618755636,372740.989924941,160122.371169304,75.3096657792393,gain,4,,6,Shrub deserts,normal-period assigned map on the same common-valid cells
42,mf_var,2041-2070SSP245,2041-2070,SSP245,179063.794590025,51666.8852876518,-127396.909302373,-71.1461016416268,loss,,3,7,Cushion nano-semi-shrub high-cold deserts,normal-period assigned map on the same common-valid cells
2,mf_var,2041-2070SSP245,2041-2070,SSP245,143114.077019831,22371.1264894172,-120742.950530414,-84.3683256355577,loss,,4,8,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,normal-period assigned map on the same common-valid cells
53,mf_var,2041-2070SSP245,2041-2070,SSP245,76787.4420151293,187703.813036579,110916.37102145,144.445977246639,gain,5,,9,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,normal-period assigned map on the same common-valid cells
37,mf_var,2041-2070SSP245,2041-2070,SSP245,137754.539140937,41265.4186432753,-96489.1204976612,-70.044240356351,loss,,5,10,Needleleaf forests in temperate zone,normal-period assigned map on the same common-valid cells
13,mf_var,2041-2070SSP245,2041-2070,SSP245,344890.410320981,252388.342624888,-92502.0676960932,-26.8207131679897,loss,,6,11,Temperate tufted grass steppes,normal-period assigned map on the same common-valid cells
47,mf_var,2041-2070SSP245,2041-2070,SSP245,264618.071817924,174898.021112775,-89720.0507051492,-33.9054888008113,loss,,7,12,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations,normal-period assigned map on the same common-valid cells
15,mf_var,2041-2070SSP245,2041-2070,SSP245,162518.920774714,239437.453541686,76918.5327669717,47.3289709286202,gain,6,,13,Grass and forb halophytic meadows,normal-period assigned map on the same common-valid cells
33,mf_var,2041-2070SSP245,2041-2070,SSP245,267374.67941342,343699.08557093,76324.4061575102,28.5458616817997,gain,7,,14,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards,normal-period assigned map on the same common-valid cells
12,mf_var,2041-2070SSP245,2041-2070,SSP245,212435.092758768,281448.525281313,69013.432522545,32.4868323902179,gain,8,,15,One year one ripe grain fields and cold-tolerant economic crop fields,normal-period assigned map on the same common-valid cells
26,mf_var,2041-2070SSP245,2041-2070,SSP245,82250.9422070041,13817.9201640729,-68433.0220429312,-83.2002895124328,loss,,8,16,Bamboo forests and scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
22,mf_var,2041-2070SSP245,2041-2070,SSP245,68865.4099821475,5329.66718372761,-63535.7427984199,-92.2607486325729,loss,,9,17,Alpine cushion vegetation,normal-period assigned map on the same common-valid cells
46,mf_var,2041-2070SSP245,2041-2070,SSP245,130331.838517489,192696.886541342,62365.048023853,47.8509692898136,gain,9,,18,Subalpine sclerophyllous broadleaf evergreen scrubs,normal-period assigned map on the same common-valid cells
11,mf_var,2041-2070SSP245,2041-2070,SSP245,112618.233713769,51192.3713969403,-61425.8623168283,-54.5434431807453,loss,,10,19,Temperate grass and forb meadow steppes,normal-period assigned map on the same common-valid cells
6,mf_var,2041-2070SSP245,2041-2070,SSP245,60927.1604043911,2936.0522837626,-57991.1081206285,-95.1810452608079,loss,,11,20,Cold-temperate and temperate marshes,normal-period assigned map on the same common-valid cells
