source_zone,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
49,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,926943,710480.614431934,0.0747904648961026,0.083574863650931
50,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,19375,15026.041429612,0.00156327331600971,0.00176753501528981
50,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,70510,54872.2173010376,0.00568910459415972,0.00645469839148977
50,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,105708,82230.5381726272,0.00852905784200023,0.00967289729814068
52,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,43095,33280.8903068944,0.00347712328017747,0.00391487932686833
52,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,79365,61536.8014674742,0.00640357092774765,0.00723866307917578
52,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,107649,83876.1778033889,0.00868566757136151,0.00986647627125517
53,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,173913,137679.815701944,0.0140321833397263,0.016195476120028
53,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,266695,210725.632423148,0.0215183059103592,0.0247879613317838
53,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,300188,237065.684903649,0.0242206911063909,0.0278863798528526
54,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,2034,1604.06931923912,0.000164113441278129,0.0001886889971646
54,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,18632,14693.4274706837,0.00150332430574931,0.00172840915358272
54,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,37999,30018.4386986045,0.00306595214116402,0.00353111241923976
55,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,16764,13338.1608787757,0.00135260458681738,0.00156898718157025
55,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,53406,42458.830859182,0.00430906708205495,0.00499449376626732
55,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,82304,65246.8815048088,0.00664070436133487,0.00767508516720445
1,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,45726,32414.4008317941,0.00368940571085729,0.00381295291499237
