method,zone,sensitivity,specificity,precision,balanced_accuracy,f1,tss
mf_var,25,0.647712277772859,0.987878836814568,0.510842748558623,0.817795557293714,0.571192757758549,0.635591114587428
mf_var,26,0.593082699410513,0.99315438186452,0.223110685793682,0.793118540637517,0.324244450387804,0.586237081275033
mf_var,27,0.735659431101924,0.992124158828263,0.874247728107692,0.863891794965093,0.798988416968849,0.727783589930186
mf_var,28,0.496459754137527,0.993398023633146,0.219263494134236,0.744928888885337,0.304183217890626,0.489857777770673
mf_var,29,0.791836411577364,0.99410488183433,0.643686297416503,0.892970646705847,0.710116593397592,0.785941293411694
mf_var,30,0.429984294602029,0.982056664280686,0.539257273069565,0.706020479441358,0.478461027475032,0.412040958882715
mf_var,31,0.704944318912552,0.987653701188701,0.806394857138195,0.846299010050626,0.752264590699371,0.692598020101253
mf_var,32,0.667818524519692,0.994244199087238,0.363009697394555,0.831031361803465,0.470349172338704,0.66206272360693
mf_var,33,0.663401292123588,0.988752541391959,0.65731631049894,0.826076916757774,0.660344783552548,0.652153833515548
mf_var,34,0.781903459058042,0.998473062492385,0.174807759524642,0.890188260775214,0.285734690233887,0.780376521550427
mf_var,35,0.851357108081792,0.996369634182547,0.384416690710743,0.923863371132169,0.529669559949644,0.847726742264339
mf_var,36,0.729080841638981,0.990387512047893,0.121747170648717,0.859734176843437,0.208652109149685,0.719468353686874
mf_var,37,0.732432658087813,0.995458965288936,0.717284764489143,0.863945811688374,0.724779572182849,0.727891623376749
mf_var,38,0.927108654390463,0.9978834746983,0.515888750949619,0.962496064544381,0.662904761904762,0.924992129088763
mf_var,39,0.625165200747391,0.995396756429957,0.194363762592272,0.810280978588674,0.296534878191133,0.620561957177348
mf_var,40,0.390350579878866,0.983195797266728,0.395729690483233,0.686773188572797,0.393021730679636,0.373546377145594
mf_var,41,0.525408119634693,0.991950002234776,0.32644650617839,0.758679060934735,0.402692289916937,0.517358121869469
mf_var,42,0.775520214798369,0.988677252470337,0.464796741363104,0.882098733634353,0.581237347290718,0.764197467268706
mf_var,43,0.874033731553057,0.998467493726871,0.207898035938153,0.936250612639964,0.335898993990953,0.872501225279928
mf_var,44,0.344887100111229,0.98618930478992,0.544602118831013,0.665538202450574,0.422323826929386,0.331076404901149
mf_var,45,0.709165292788667,0.995928853208014,0.18754945498587,0.85254707299834,0.296646318101709,0.705094145996681
mf_var,46,0.486127316088791,0.991053554714009,0.376973152605643,0.7385904354014,0.424648006948518,0.4771808708028
mf_var,47,0.569674100455072,0.987384499685122,0.570641864152439,0.778529300070097,0.570157571642762,0.557058600140194
mf_var,48,0.913151364764268,0.999296839463115,0.144710971293748,0.956224102113691,0.249830278343517,0.912448204227383
mf_var,49,0.446512129927684,0.989555217205922,0.355314279362802,0.718033673566803,0.395726890094308,0.436067347133606
mf_var,50,0.862312444836717,0.998813131594802,0.117442000240414,0.930562788215759,0.206728734659331,0.861125576431519
mf_var,52,0.875428522454577,0.997772728067658,0.42615461637949,0.936600625261118,0.573252518449926,0.873201250522235
mf_var,53,0.780713321402782,0.996194017229679,0.514903661983497,0.888453669316231,0.620541646650737,0.776907338632461
mf_var,54,0.943364699674611,0.998911910095237,0.443649447867985,0.971138304884924,0.603488045007032,0.942276609769848
mf_var,55,0.847021943573668,0.998696387595671,0.251033585729549,0.922859165584669,0.387286343928047,0.845718331169339
multiclass_rf,1,0.915688859591299,0.995580278579028,0.202743924688025,0.955634569085164,0.33198303160662,0.911269138170327
multiclass_rf,2,0.618998070635209,0.994864114529328,0.738639089864515,0.806931092582268,0.67354693113083,0.613862185164537
multiclass_rf,3,0.386515265480711,0.993089244018969,0.723000301738898,0.68980225474984,0.503734533927331,0.37960450949968
multiclass_rf,4,0.643122880565402,0.993192734238043,0.412060442844386,0.818157807401723,0.502292811286631,0.636315614803445
multiclass_rf,5,0.461283145109962,0.991799960095891,0.467442405893202,0.726541552602927,0.464342351548911,0.453083105205853
multiclass_rf,6,0.76520381419729,0.992759096612807,0.435454799319642,0.878981455405048,0.55504815373601,0.757962910810097
multiclass_rf,7,0.416677233533802,0.989036659715585,0.408471400919859,0.702856946624693,0.412533515069451,0.405713893249387
multiclass_rf,9,0.970230663074193,0.992449379393167,0.240589251376984,0.98134002123368,0.385568598775185,0.96268004246736
multiclass_rf,10,0.498404397685862,0.994684022472878,0.527671818122371,0.74654421007937,0.512620701338303,0.49308842015874
multiclass_rf,11,0.724325796785617,0.990480458769918,0.477464535823308,0.857403127777768,0.575541125541125,0.714806255555535
multiclass_rf,12,0.649621855596189,0.991409539635821,0.701981394434519,0.820515697616005,0.674787451178727,0.64103139523201
multiclass_rf,13,0.532342740729363,0.993668505895158,0.815615416247603,0.76300562331226,0.644214278935943,0.52601124662452
