Species,method,scenario,area_metric,area_value,period,ssp,method_label,area_metric_label
lariGme,rf_var,2071-2100SSP245,suitable_area_km2,1700391.48481695,2071-2100,SSP245,Plain RF,Area with dual suitability >= 0.4
lariGme,rf_var,2071-2100SSP585,suitable_area_km2,1386669.86030207,2071-2100,SSP585,Plain RF,Area with dual suitability >= 0.4
lariOlg,mf_var,2011-2040SSP245,suitable_area_km2,2446380.54789209,2011-2040,SSP245,Plain MF RF,Area with dual suitability >= 0.4
lariOlg,mf_var,2011-2040SSP585,suitable_area_km2,2434888.69421832,2011-2040,SSP585,Plain MF RF,Area with dual suitability >= 0.4
lariOlg,mf_var,2041-2070SSP245,suitable_area_km2,2350814.61669731,2041-2070,SSP245,Plain MF RF,Area with dual suitability >= 0.4
lariOlg,mf_var,2041-2070SSP585,suitable_area_km2,2273356.95973223,2041-2070,SSP585,Plain MF RF,Area with dual suitability >= 0.4
lariOlg,mf_var,2071-2100SSP245,suitable_area_km2,2277068.55826384,2071-2100,SSP245,Plain MF RF,Area with dual suitability >= 0.4
lariOlg,mf_var,2071-2100SSP585,suitable_area_km2,2070761.93031702,2071-2100,SSP585,Plain MF RF,Area with dual suitability >= 0.4
lariOlg,rf_var,2011-2040SSP245,suitable_area_km2,2460552.79085346,2011-2040,SSP245,Plain RF,Area with dual suitability >= 0.4
lariOlg,rf_var,2011-2040SSP585,suitable_area_km2,2448698.7721465,2011-2040,SSP585,Plain RF,Area with dual suitability >= 0.4
lariOlg,rf_var,2041-2070SSP245,suitable_area_km2,2339808.12528129,2041-2070,SSP245,Plain RF,Area with dual suitability >= 0.4
lariOlg,rf_var,2041-2070SSP585,suitable_area_km2,2256425.76539736,2041-2070,SSP585,Plain RF,Area with dual suitability >= 0.4
lariOlg,rf_var,2071-2100SSP245,suitable_area_km2,2253511.31105036,2071-2100,SSP245,Plain RF,Area with dual suitability >= 0.4
lariOlg,rf_var,2071-2100SSP585,suitable_area_km2,2076915.05786378,2071-2100,SSP585,Plain RF,Area with dual suitability >= 0.4
phylPub,mf_var,2011-2040SSP245,suitable_area_km2,2506508.15528307,2011-2040,SSP245,Plain MF RF,Area with dual suitability >= 0.4
phylPub,mf_var,2011-2040SSP585,suitable_area_km2,2517654.30833348,2011-2040,SSP585,Plain MF RF,Area with dual suitability >= 0.4
phylPub,mf_var,2041-2070SSP245,suitable_area_km2,2553693.67598862,2041-2070,SSP245,Plain MF RF,Area with dual suitability >= 0.4
phylPub,mf_var,2041-2070SSP585,suitable_area_km2,2571334.90392977,2041-2070,SSP585,Plain MF RF,Area with dual suitability >= 0.4
phylPub,mf_var,2071-2100SSP245,suitable_area_km2,2586477.07684084,2071-2100,SSP245,Plain MF RF,Area with dual suitability >= 0.4
phylPub,mf_var,2071-2100SSP585,suitable_area_km2,2616112.8381107,2071-2100,SSP585,Plain MF RF,Area with dual suitability >= 0.4
phylPub,rf_var,2011-2040SSP245,suitable_area_km2,2506865.76447525,2011-2040,SSP245,Plain RF,Area with dual suitability >= 0.4
phylPub,rf_var,2011-2040SSP585,suitable_area_km2,2517310.3256016,2011-2040,SSP585,Plain RF,Area with dual suitability >= 0.4
phylPub,rf_var,2041-2070SSP245,suitable_area_km2,2549811.2612459,2041-2070,SSP245,Plain RF,Area with dual suitability >= 0.4
phylPub,rf_var,2041-2070SSP585,suitable_area_km2,2568852.44758817,2041-2070,SSP585,Plain RF,Area with dual suitability >= 0.4
phylPub,rf_var,2071-2100SSP245,suitable_area_km2,2581968.41475028,2071-2100,SSP245,Plain RF,Area with dual suitability >= 0.4
phylPub,rf_var,2071-2100SSP585,suitable_area_km2,2620685.33373337,2071-2100,SSP585,Plain RF,Area with dual suitability >= 0.4
pinuSyl,mf_var,2011-2040SSP245,suitable_area_km2,2178779.89803193,2011-2040,SSP245,Plain MF RF,Area with dual suitability >= 0.4
pinuSyl,mf_var,2011-2040SSP585,suitable_area_km2,2171408.42546355,2011-2040,SSP585,Plain MF RF,Area with dual suitability >= 0.4
pinuSyl,mf_var,2041-2070SSP245,suitable_area_km2,2105758.94380295,2041-2070,SSP245,Plain MF RF,Area with dual suitability >= 0.4
pinuSyl,mf_var,2041-2070SSP585,suitable_area_km2,2029467.61619864,2041-2070,SSP585,Plain MF RF,Area with dual suitability >= 0.4
pinuSyl,mf_var,2071-2100SSP245,suitable_area_km2,2022278.27195988,2071-2100,SSP245,Plain MF RF,Area with dual suitability >= 0.4
pinuSyl,mf_var,2071-2100SSP585,suitable_area_km2,1756021.08359596,2071-2100,SSP585,Plain MF RF,Area with dual suitability >= 0.4
pinuSyl,rf_var,2011-2040SSP245,suitable_area_km2,2192205.91999094,2011-2040,SSP245,Plain RF,Area with dual suitability >= 0.4
