zone,method,rank_cutoff,true_positive,false_positive,false_negative,f1,multiclass_f1,method_label,rank_label,common_reference_area_km2,common_valid_pixels,zone_name,category_label,zone_color,reference_area_km2
18,rf_var,3,87507,35183,25455,0.742679883896593,0.356095204390592,Plain RF,Top-3,80363.7376257943,12374320,Subalpine broadleaf deciduous scrubs,scrub,#9D4EDD,80420.5115528885
19,rf_var,3,607503,9513,82727,0.929439447510262,0.843738850947347,Plain RF,Top-3,460385.16593109,12374320,No vegetation,no vegetation,#E0E0E0,535460.455323413
20,rf_var,3,353500,60001,25153,0.892503225382943,0.563919883533526,Plain RF,Top-3,267812.092475597,12374320,Alpine sparse vegetation,alpine vegetation,#B8C0FF,290572.043152328
21,rf_var,3,511146,30943,86972,0.896584567539052,0.675891947697597,Plain RF,Top-3,451458.462632792,12374320,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,cropland,#F3722C,460573.91798181
22,rf_var,3,38202,24989,3748,0.726681313664508,0.358425050232518,Plain RF,Top-3,28460.0813534031,12374320,Alpine cushion vegetation,alpine vegetation,#CDB4DB,29216.0608445185
23,rf_var,3,308114,25566,18626,0.933085006511008,0.595137096664588,Plain RF,Top-3,212996.351713572,12374320,Shrub deserts,desert,#B5651D,215639.769601697
24,rf_var,3,764570,46940,80506,0.923067078920141,0.643343676268322,Plain RF,Top-3,546662.583146442,12374320,Semi-shrub and dwarf semi-shrub deserts,desert,#9C6644,547719.084772723
25,rf_var,3,208302,50483,28899,0.839951127652797,0.594951956932733,Plain RF,Top-3,156714.339600441,12374320,Temperate tufted low grass and nano-semi-shrub desert steppes,desert,#BC6C25,157239.724775428
26,rf_var,3,33982,29568,6901,0.650790458954545,0.262761629814317,Plain RF,Top-3,30887.739198993,12374320,Bamboo forests and scrubs in subtropical and tropical zones,forest,#00A878,30951.3022898633
27,rf_var,3,749423,33224,107778,0.914015201408911,0.792258009996692,Plain RF,Top-3,575613.263321673,12374320,Two years three ripes or one year two ripes grain fields and deciduous orchards,cropland,#FFB703,581987.788488805
28,rf_var,3,35543,48334,10499,0.547156305082398,0.311259066689158,Plain RF,Top-3,33890.5942871482,12374320,Broadleaf deciduous forests in subtropical zone,forest,#52B788,34056.2147908729
29,rf_var,3,153097,8907,11120,0.938609102418299,0.702359298289806,Plain RF,Top-3,102064.567599118,12374320,Dwarf semi-arboreous deserts,desert,#7F5539,102358.514043218
30,rf_var,3,452912,71981,123323,0.822632791101489,0.43029748830948,Plain RF,Top-3,437819.744699434,12374320,Needleleaf forests in subtropical zone,forest,#1B9AAA,440947.400872453
31,rf_var,3,774563,35338,66746,0.938176246510135,0.71194192048782,Plain RF,Top-3,597917.48976362,12374320,Grass and Carex spp. high-cold steppes,grassland meadow steppe,#48CAE4,602782.267595032
32,rf_var,3,54571,20495,5911,0.805190781125505,0.445490045171701,Plain RF,Top-3,39610.5639908236,12374320,Succulent halophytic dwarf semi-shrub deserts,desert,#E63946,41176.9538326962
33,rf_var,3,342234,51809,47512,0.873280946785423,0.674650666365181,Plain RF,Top-3,263481.759567336,12374320,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards,cropland,#FDB833,264431.973201361
34,rf_var,3,4704,10316,413,0.467199682177087,0.254831563669697,Plain RF,Top-3,3869.70482527417,12374320,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",forest,#2A9D8F,3904.5141748997
35,rf_var,3,31141,6208,1723,0.8870437098543,0.393257652213704,Plain RF,Top-3,21638.1070863135,12374320,Steppe shrub deserts,desert,#D62828,21673.0911747923
36,rf_var,3,20785,73424,1790,0.355956295382929,0.196178100323608,Plain RF,Top-3,16787.246396107,12374320,Broadleaf evergreen and deciduous mixed forests in subtropical zone,forest,#40916C,16932.3871491317
37,rf_var,3,160103,13190,31531,0.877452202769321,0.73621139888669,Plain RF,Top-3,134142.804615336,12374320,Needleleaf forests in temperate zone,forest,#0B3D2E,135761.296395213
38,rf_var,3,28716,4546,1315,0.907398922471679,0.546616076291763,Plain RF,Top-3,19639.1015916532,12374320,Annual herb deserts,desert,#F4A261,19641.7789199388
39,rf_var,3,19869,35532,2074,0.513782581712867,0.296032070686411,Plain RF,Top-3,16360.997186318,12374320,Sclerophyllous broadleaf evergreen forests in subtropical zone,forest,#118AB2,16428.3011178075
40,rf_var,3,261225,67111,78070,0.78254305147604,0.415430420790872,Plain RF,Top-3,260618.413694786,12374320,Subtropical and tropical grasslands,grassland meadow steppe,#AACC00,262130.658259238
41,rf_var,3,76318,29652,14893,0.774090809966478,0.410928250671158,Plain RF,Top-3,62469.8211273457,12374320,Temperate grasslands,grassland meadow steppe,#70E000,62655.3585233834
42,rf_var,3,149128,28706,5808,0.89628271779307,0.552386010480936,Plain RF,Top-3,107296.041839996,12374320,Cushion nano-semi-shrub high-cold deserts,desert,#8D99AE,108908.531014594
43,rf_var,3,5329,8420,363,0.548222828043825,0.248891633764916,Plain RF,Top-3,4030.50754712128,12374320,High-cold marshes,wetland,#4CC9F0,4041.58735428002
44,rf_var,3,415993,56131,149508,0.801817612335863,0.397392198555603,Plain RF,Top-3,432640.857362042,12374320,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones,scrub,#F72585,441250.860529288
45,rf_var,3,13948,11977,2429,0.659448725828566,0.200401533126483,Plain RF,Top-3,12137.1520883011,12374320,Subalpine needleleaf evergreen scrubs,scrub,#7209B7,12167.9589990281
46,rf_var,3,120653,42184,15622,0.806741287544465,0.436132480850964,Plain RF,Top-3,100920.940977744,12374320,Subalpine sclerophyllous broadleaf evergreen scrubs,scrub,#B5179E,101463.317627609
47,rf_var,3,293591,46457,60199,0.846281120376803,0.597885103062618,Plain RF,Top-3,264994.204863356,12374320,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations,cropland,#FF6D00,269180.349462283
48,rf_var,3,1574,1220,38,0.71448025419882,0.186868099941894,Plain RF,Top-3,1217.15664610023,12374320,Subtropical and tropical marshes,wetland,#00BFA6,1797.64026241183
49,rf_var,3,129158,60679,28345,0.743697817700236,0.429559658967206,Plain RF,Top-3,120632.172105742,12374320,Broadleaf evergreen forests in subtropical zone,forest,#006400,121050.734801791
50,rf_var,3,2109,8146,157,0.336874051593323,0.189400668273908,Plain RF,Top-3,1755.4696772639,12374320,Evergreen xeromorphic succulent thorny scrubs in subtropical and tropical zones,scrub,#FF006E,1954.02259297092
52,rf_var,3,22636,7243,700,0.850737573992296,0.572904676499719,Plain RF,Top-3,18097.9709420309,12374320,Tropical rain forests,forest,#00C853,18691.6856141285
53,rf_var,3,59255,10476,4447,0.888161099578066,0.577851204434023,Plain RF,Top-3,50493.2242293532,12374320,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,cropland,#FF9F1C,53783.411818324
54,rf_var,3,10930,2030,441,0.898442316386503,0.584466322862947,Plain RF,Top-3,9001.15278772923,12374320,Tropical mangroves,wetland,#006D5B,9405.78073086598
55,rf_var,3,6104,5553,276,0.676830958585131,0.311470890453873,Plain RF,Top-3,5102.30512347929,12374320,Tropical monsoon forests,forest,#00A676,5167.1571874639
1,rf_var,5,13691,13389,1479,0.648094674556213,0.33198303160662,Plain RF,Top-5,9656.10592542594,12374320,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,#FFD23F,9762.48864593947
2,rf_var,5,264627,8440,18886,0.950903733515398,0.67354693113083,Plain RF,Top-5,159834.83273335,12374320,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,forest,#005A32,160335.840232647
3,rf_var,5,511950,64076,39785,0.907905132381772,0.503734533927331,Plain RF,Top-5,344829.064526946,12374320,Broadleaf deciduous forests in temperate zone,forest,#33A02C,345904.264996547
4,rf_var,5,82330,11090,8791,0.892267842918376,0.502292811286631,Plain RF,Top-5,52764.6707092521,12374320,"Grass, Carex and forb swamp meadows",wetland,#00B4D8,53482.0093491042
5,rf_var,5,160079,27665,30032,0.847303859946276,0.464342351548911,Plain RF,Top-5,116925.872776899,12374320,Grass and forb meadows,grassland meadow steppe,#B8DE29,118048.393013657
6,rf_var,5,82740,6443,6925,0.925254965110038,0.55504815373601,Plain RF,Top-5,52067.6396461832,12374320,Cold-temperate and temperate marshes,wetland,#0077B6,53583.994126283
7,rf_var,5,193096,54180,27720,0.825034394948002,0.412533515069451,Plain RF,Top-5,145211.466589798,12374320,Deciduous scrubs in temperate zone,scrub,#C77DFF,145723.607727903
9,rf_var,5,30070,3985,364,0.932562142380871,0.385568598775185,Plain RF,Top-5,18615.0721910364,12374320,Needleleaf and deciduous broadleaf mixed forests in temperate zone,forest,#2CA25F,18681.3387065463
10,rf_var,5,127689,30324,18024,0.840817052211533,0.512620701338303,Plain RF,Top-5,108490.394320759,12374320,Needleleaf forests on mountains in subtropical and tropical zones,forest,#006D77,109739.960164066
11,rf_var,5,130850,24299,15990,0.866587855849054,0.575541125541126,Plain RF,Top-5,88398.5760734968,12374320,Temperate grass and forb meadow steppes,grassland meadow steppe,#D9ED92,88744.7461983382
12,rf_var,5,329161,15458,44638,0.916349534672015,0.674787451178727,Plain RF,Top-5,230329.665891326,12374320,One year one ripe grain fields and cold-tolerant economic crop fields,cropland,#F8961E,231554.213781713
