original_zone,predicted_zone,n,method,original_category,predicted_category
5,55,9,rf_var,grassland_meadow_steppe,forest
6,1,208,rf_var,wetland,cropland
6,2,12019,rf_var,wetland,forest
6,3,4740,rf_var,wetland,forest
6,4,2848,rf_var,wetland,wetland
6,5,1344,rf_var,wetland,grassland_meadow_steppe
6,6,50588,rf_var,wetland,wetland
6,7,446,rf_var,wetland,scrub
6,9,336,rf_var,wetland,forest
6,10,108,rf_var,wetland,forest
6,11,2801,rf_var,wetland,grassland_meadow_steppe
6,12,5021,rf_var,wetland,cropland
6,13,176,rf_var,wetland,grassland_meadow_steppe
6,14,50,rf_var,wetland,forest
6,15,1254,rf_var,wetland,grassland_meadow_steppe
6,16,54,rf_var,wetland,grassland_meadow_steppe
6,17,17,rf_var,wetland,alpine_vegetation
6,18,95,rf_var,wetland,scrub
6,19,25,rf_var,wetland,no_vegetation
6,20,11,rf_var,wetland,alpine_vegetation
6,21,1633,rf_var,wetland,cropland
6,22,106,rf_var,wetland,alpine_vegetation
6,23,323,rf_var,wetland,desert
6,24,1057,rf_var,wetland,desert
6,25,741,rf_var,wetland,desert
6,26,47,rf_var,wetland,forest
6,27,2358,rf_var,wetland,cropland
6,28,66,rf_var,wetland,forest
6,29,70,rf_var,wetland,desert
6,30,313,rf_var,wetland,forest
6,31,205,rf_var,wetland,grassland_meadow_steppe
6,32,11,rf_var,wetland,desert
6,33,139,rf_var,wetland,cropland
6,34,12,rf_var,wetland,forest
6,35,13,rf_var,wetland,desert
6,36,14,rf_var,wetland,forest
6,37,273,rf_var,wetland,forest
6,38,15,rf_var,wetland,desert
6,39,25,rf_var,wetland,forest
6,40,14,rf_var,wetland,grassland_meadow_steppe
6,41,15,rf_var,wetland,grassland_meadow_steppe
6,42,116,rf_var,wetland,desert
6,43,72,rf_var,wetland,wetland
6,44,13,rf_var,wetland,scrub
6,45,9,rf_var,wetland,scrub
6,46,11,rf_var,wetland,scrub
6,47,248,rf_var,wetland,cropland
6,48,28,rf_var,wetland,wetland
6,49,149,rf_var,wetland,forest
6,50,18,rf_var,wetland,scrub
6,52,10,rf_var,wetland,forest
6,53,12,rf_var,wetland,cropland
6,54,5,rf_var,wetland,wetland
6,55,12,rf_var,wetland,forest
7,1,1008,rf_var,scrub,cropland
7,2,3328,rf_var,scrub,forest
7,3,21428,rf_var,scrub,forest
7,4,2094,rf_var,scrub,wetland
7,5,2440,rf_var,scrub,grassland_meadow_steppe
7,6,1353,rf_var,scrub,wetland
7,7,91947,rf_var,scrub,scrub
7,9,2617,rf_var,scrub,forest
7,10,992,rf_var,scrub,forest
7,11,4353,rf_var,scrub,grassland_meadow_steppe
7,12,6523,rf_var,scrub,cropland
7,13,7936,rf_var,scrub,grassland_meadow_steppe
7,14,4512,rf_var,scrub,forest
7,15,3434,rf_var,scrub,grassland_meadow_steppe
7,16,233,rf_var,scrub,grassland_meadow_steppe
7,17,1,rf_var,scrub,alpine_vegetation
7,18,1051,rf_var,scrub,scrub
7,19,433,rf_var,scrub,no_vegetation
7,20,219,rf_var,scrub,alpine_vegetation
7,21,742,rf_var,scrub,cropland
7,22,20,rf_var,scrub,alpine_vegetation
7,23,1977,rf_var,scrub,desert
7,24,2728,rf_var,scrub,desert
7,25,3617,rf_var,scrub,desert
7,26,731,rf_var,scrub,forest
7,27,5630,rf_var,scrub,cropland
7,28,2091,rf_var,scrub,forest
7,29,143,rf_var,scrub,desert
7,30,153,rf_var,scrub,forest
7,31,533,rf_var,scrub,grassland_meadow_steppe
7,32,1051,rf_var,scrub,desert
7,33,15244,rf_var,scrub,cropland
7,34,532,rf_var,scrub,forest
7,35,368,rf_var,scrub,desert
7,36,2892,rf_var,scrub,forest
7,37,2214,rf_var,scrub,forest
7,38,10,rf_var,scrub,desert
7,39,1129,rf_var,scrub,forest
7,40,994,rf_var,scrub,grassland_meadow_steppe
7,41,18470,rf_var,scrub,grassland_meadow_steppe
7,42,166,rf_var,scrub,desert
7,43,4,rf_var,scrub,wetland
7,44,1039,rf_var,scrub,scrub
7,45,113,rf_var,scrub,scrub
7,46,437,rf_var,scrub,scrub
7,47,648,rf_var,scrub,cropland
7,48,1,rf_var,scrub,wetland
7,49,1267,rf_var,scrub,forest
7,50,104,rf_var,scrub,scrub
7,52,2,rf_var,scrub,forest
7,53,2,rf_var,scrub,cropland
7,54,4,rf_var,scrub,wetland
7,55,8,rf_var,scrub,forest
9,1,1,rf_var,forest,cropland
9,2,657,rf_var,forest,forest
9,3,3768,rf_var,forest,forest
9,4,7,rf_var,forest,wetland
9,5,20,rf_var,forest,grassland_meadow_steppe
9,6,13,rf_var,forest,wetland
9,7,176,rf_var,forest,scrub
9,9,25186,rf_var,forest,forest
9,10,9,rf_var,forest,forest
9,11,229,rf_var,forest,grassland_meadow_steppe
9,12,264,rf_var,forest,cropland
9,13,39,rf_var,forest,grassland_meadow_steppe
9,14,48,rf_var,forest,forest
9,15,4,rf_var,forest,grassland_meadow_steppe
9,16,3,rf_var,forest,grassland_meadow_steppe
9,17,1,rf_var,forest,alpine_vegetation
9,18,2,rf_var,forest,scrub
9,19,1,rf_var,forest,no_vegetation
9,20,1,rf_var,forest,alpine_vegetation
9,23,2,rf_var,forest,desert
9,25,1,rf_var,forest,desert
9,26,3,rf_var,forest,forest
9,27,26,rf_var,forest,cropland
9,28,2,rf_var,forest,forest
9,29,3,rf_var,forest,desert
9,31,1,rf_var,forest,grassland_meadow_steppe
9,32,3,rf_var,forest,desert
9,34,1,rf_var,forest,forest
9,35,2,rf_var,forest,desert
9,36,4,rf_var,forest,forest
9,38,1,rf_var,forest,desert
9,40,1,rf_var,forest,grassland_meadow_steppe
9,42,2,rf_var,forest,desert
9,43,5,rf_var,forest,wetland
9,46,2,rf_var,forest,scrub
9,47,1,rf_var,forest,cropland
9,48,4,rf_var,forest,wetland
9,50,2,rf_var,forest,scrub
9,52,1,rf_var,forest,forest
9,53,2,rf_var,forest,cropland
9,54,1,rf_var,forest,wetland
9,55,1,rf_var,forest,forest
10,1,1571,rf_var,forest,cropland
10,2,5,rf_var,forest,forest
10,3,767,rf_var,forest,forest
10,4,8,rf_var,forest,wetland
10,5,443,rf_var,forest,grassland_meadow_steppe
10,6,11,rf_var,forest,wetland
10,7,118,rf_var,forest,scrub
10,9,226,rf_var,forest,forest
10,10,77104,rf_var,forest,forest
10,11,19,rf_var,forest,grassland_meadow_steppe
10,12,32,rf_var,forest,cropland
10,13,72,rf_var,forest,grassland_meadow_steppe
10,14,21,rf_var,forest,forest
10,15,36,rf_var,forest,grassland_meadow_steppe
10,16,2372,rf_var,forest,grassland_meadow_steppe
10,17,7,rf_var,forest,alpine_vegetation
10,18,6119,rf_var,forest,scrub
10,19,14,rf_var,forest,no_vegetation
10,20,1824,rf_var,forest,alpine_vegetation
10,21,28,rf_var,forest,cropland
10,22,8,rf_var,forest,alpine_vegetation
10,23,15,rf_var,forest,desert
10,24,19,rf_var,forest,desert
10,25,6,rf_var,forest,desert
10,26,209,rf_var,forest,forest
10,27,13,rf_var,forest,cropland
10,28,872,rf_var,forest,forest
10,29,17,rf_var,forest,desert
10,30,622,rf_var,forest,forest
10,31,44,rf_var,forest,grassland_meadow_steppe
10,32,7,rf_var,forest,desert
10,33,199,rf_var,forest,cropland
10,34,4670,rf_var,forest,forest
10,35,14,rf_var,forest,desert
10,36,1642,rf_var,forest,forest
10,37,30,rf_var,forest,forest
10,38,10,rf_var,forest,desert
10,39,12542,rf_var,forest,forest
10,40,766,rf_var,forest,grassland_meadow_steppe
10,41,9,rf_var,forest,grassland_meadow_steppe
10,42,17,rf_var,forest,desert
10,43,204,rf_var,forest,wetland
10,44,191,rf_var,forest,scrub
10,45,783,rf_var,forest,scrub
10,46,25128,rf_var,forest,scrub
10,47,753,rf_var,forest,cropland
10,48,11,rf_var,forest,wetland
10,49,6284,rf_var,forest,forest
10,50,304,rf_var,forest,scrub
10,52,27,rf_var,forest,forest
10,53,23,rf_var,forest,cropland
10,54,19,rf_var,forest,wetland
10,55,9,rf_var,forest,forest
11,1,8,rf_var,grassland_meadow_steppe,cropland
11,2,1625,rf_var,grassland_meadow_steppe,forest
11,3,1832,rf_var,grassland_meadow_steppe,forest
11,4,5212,rf_var,grassland_meadow_steppe,wetland
11,5,7255,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
11,6,2567,rf_var,grassland_meadow_steppe,wetland
11,7,4665,rf_var,grassland_meadow_steppe,scrub
11,9,27,rf_var,grassland_meadow_steppe,forest
11,10,35,rf_var,grassland_meadow_steppe,forest
11,11,88729,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
11,12,6396,rf_var,grassland_meadow_steppe,cropland
11,13,12161,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
11,14,3395,rf_var,grassland_meadow_steppe,forest
11,15,1423,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
11,16,528,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
11,17,25,rf_var,grassland_meadow_steppe,alpine_vegetation
11,18,155,rf_var,grassland_meadow_steppe,scrub
11,19,4,rf_var,grassland_meadow_steppe,no_vegetation
11,20,348,rf_var,grassland_meadow_steppe,alpine_vegetation
11,21,3,rf_var,grassland_meadow_steppe,cropland
11,22,101,rf_var,grassland_meadow_steppe,alpine_vegetation
11,23,28,rf_var,grassland_meadow_steppe,desert
11,24,408,rf_var,grassland_meadow_steppe,desert
11,25,1553,rf_var,grassland_meadow_steppe,desert
11,26,3,rf_var,grassland_meadow_steppe,forest
11,27,4785,rf_var,grassland_meadow_steppe,cropland
11,28,22,rf_var,grassland_meadow_steppe,forest
11,29,2,rf_var,grassland_meadow_steppe,desert
11,30,5,rf_var,grassland_meadow_steppe,forest
11,31,110,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
11,32,39,rf_var,grassland_meadow_steppe,desert
11,33,2712,rf_var,grassland_meadow_steppe,cropland
11,34,26,rf_var,grassland_meadow_steppe,forest
11,35,4,rf_var,grassland_meadow_steppe,desert
11,36,2,rf_var,grassland_meadow_steppe,forest
11,37,78,rf_var,grassland_meadow_steppe,forest
11,38,2,rf_var,grassland_meadow_steppe,desert
11,39,34,rf_var,grassland_meadow_steppe,forest
11,40,5,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
11,41,579,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
11,42,21,rf_var,grassland_meadow_steppe,desert
11,43,7,rf_var,grassland_meadow_steppe,wetland
11,44,9,rf_var,grassland_meadow_steppe,scrub
11,45,23,rf_var,grassland_meadow_steppe,scrub
11,46,57,rf_var,grassland_meadow_steppe,scrub
11,47,7,rf_var,grassland_meadow_steppe,cropland
11,48,4,rf_var,grassland_meadow_steppe,wetland
11,49,2,rf_var,grassland_meadow_steppe,forest
11,50,12,rf_var,grassland_meadow_steppe,scrub
11,52,5,rf_var,grassland_meadow_steppe,forest
11,53,5,rf_var,grassland_meadow_steppe,cropland
11,54,4,rf_var,grassland_meadow_steppe,wetland
11,55,10,rf_var,grassland_meadow_steppe,forest
12,1,386,rf_var,cropland,cropland
12,2,1718,rf_var,cropland,forest
12,3,22705,rf_var,cropland,forest
12,4,7654,rf_var,cropland,wetland
12,5,9544,rf_var,cropland,grassland_meadow_steppe
12,6,7523,rf_var,cropland,wetland
12,7,12532,rf_var,cropland,scrub
12,9,5663,rf_var,cropland,forest
12,10,9,rf_var,cropland,forest
12,11,10734,rf_var,cropland,grassland_meadow_steppe
12,12,235073,rf_var,cropland,cropland
12,13,20475,rf_var,cropland,grassland_meadow_steppe
12,14,6265,rf_var,cropland,forest
12,15,7168,rf_var,cropland,grassland_meadow_steppe
12,16,7,rf_var,cropland,grassland_meadow_steppe
12,17,11,rf_var,cropland,alpine_vegetation
12,18,22,rf_var,cropland,scrub
12,19,148,rf_var,cropland,no_vegetation
12,20,5,rf_var,cropland,alpine_vegetation
12,21,9,rf_var,cropland,cropland
12,22,1351,rf_var,cropland,alpine_vegetation
12,23,819,rf_var,cropland,desert
12,24,3049,rf_var,cropland,desert
12,25,2577,rf_var,cropland,desert
12,26,296,rf_var,cropland,forest
12,27,10712,rf_var,cropland,cropland
12,28,15,rf_var,cropland,forest
12,29,88,rf_var,cropland,desert
12,30,2,rf_var,cropland,forest
12,31,8,rf_var,cropland,grassland_meadow_steppe
12,32,38,rf_var,cropland,desert
12,33,4875,rf_var,cropland,cropland
12,34,30,rf_var,cropland,forest
12,35,13,rf_var,cropland,desert
12,36,4,rf_var,cropland,forest
12,37,30,rf_var,cropland,forest
12,38,25,rf_var,cropland,desert
12,39,11,rf_var,cropland,forest
12,40,3,rf_var,cropland,grassland_meadow_steppe
12,41,2486,rf_var,cropland,grassland_meadow_steppe
12,42,7,rf_var,cropland,desert
12,43,6,rf_var,cropland,wetland
12,44,7,rf_var,cropland,scrub
12,45,35,rf_var,cropland,scrub
12,46,16,rf_var,cropland,scrub
12,47,2,rf_var,cropland,cropland
12,48,6,rf_var,cropland,wetland
12,49,7,rf_var,cropland,forest
12,50,10,rf_var,cropland,scrub
12,52,6,rf_var,cropland,forest
12,53,12,rf_var,cropland,cropland
12,54,9,rf_var,cropland,wetland
12,55,7,rf_var,cropland,forest
13,1,2648,rf_var,grassland_meadow_steppe,cropland
13,2,2036,rf_var,grassland_meadow_steppe,forest
13,3,1775,rf_var,grassland_meadow_steppe,forest
13,4,10855,rf_var,grassland_meadow_steppe,wetland
13,5,9436,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
13,6,695,rf_var,grassland_meadow_steppe,wetland
13,7,13234,rf_var,grassland_meadow_steppe,scrub
13,9,61,rf_var,grassland_meadow_steppe,forest
13,10,26,rf_var,grassland_meadow_steppe,forest
13,11,26794,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
13,12,32909,rf_var,grassland_meadow_steppe,cropland
13,13,375609,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
13,14,16796,rf_var,grassland_meadow_steppe,forest
13,15,19017,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
13,16,7330,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
13,17,58,rf_var,grassland_meadow_steppe,alpine_vegetation
13,18,6401,rf_var,grassland_meadow_steppe,scrub
13,19,223,rf_var,grassland_meadow_steppe,no_vegetation
13,20,2080,rf_var,grassland_meadow_steppe,alpine_vegetation
13,21,11,rf_var,grassland_meadow_steppe,cropland
13,22,2085,rf_var,grassland_meadow_steppe,alpine_vegetation
13,23,185,rf_var,grassland_meadow_steppe,desert
13,24,8347,rf_var,grassland_meadow_steppe,desert
13,25,34735,rf_var,grassland_meadow_steppe,desert
13,26,15,rf_var,grassland_meadow_steppe,forest
13,27,2631,rf_var,grassland_meadow_steppe,cropland
13,28,98,rf_var,grassland_meadow_steppe,forest
13,29,92,rf_var,grassland_meadow_steppe,desert
13,30,44,rf_var,grassland_meadow_steppe,forest
13,31,3869,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
13,32,4303,rf_var,grassland_meadow_steppe,desert
13,33,31061,rf_var,grassland_meadow_steppe,cropland
13,34,6,rf_var,grassland_meadow_steppe,forest
13,35,1167,rf_var,grassland_meadow_steppe,desert
