niche_type,method,zoneID,metric,value,method_label
climate,rf_var,15,Test TSS,0.884063867998653,Plain RF
climate,rf_var,15,Test accuracy,0.942031933999326,Plain RF
climate,rf_var,15,Test balanced accuracy,0.942031933999327,Plain RF
climate,rf_var,15,Test precision,0.926803495224548,Plain RF
climate,rf_var,15,Test recall,0.959872039510607,Plain RF
climate,rf_var,15,Test specificity,0.924191828488046,Plain RF
climate,rf_var,15,Train accuracy,1,Plain RF
climate,rf_var,16,OOB accuracy,0.939038509942109,Plain RF
climate,rf_var,16,Test AUC,0.9798130157864,Plain RF
climate,rf_var,16,Test F1,0.94363979568781,Plain RF
climate,rf_var,16,Test TSS,0.884906174499083,Plain RF
climate,rf_var,16,Test accuracy,0.942453087249541,Plain RF
climate,rf_var,16,Test balanced accuracy,0.942453087249541,Plain RF
climate,rf_var,16,Test precision,0.924573623952363,Plain RF
climate,rf_var,16,Test recall,0.963508873912333,Plain RF
climate,rf_var,16,Test specificity,0.92139730058675,Plain RF
climate,rf_var,16,Train accuracy,1,Plain RF
climate,rf_var,17,OOB accuracy,0.999342105263158,Plain RF
climate,rf_var,17,Test AUC,0.999986294460769,Plain RF
climate,rf_var,17,Test F1,0.999172870140612,Plain RF
climate,rf_var,17,Test TSS,0.998344370860927,Plain RF
climate,rf_var,17,Test accuracy,0.999172185430464,Plain RF
climate,rf_var,17,Test balanced accuracy,0.999172185430464,Plain RF
climate,rf_var,17,Test precision,0.998347107438017,Plain RF
climate,rf_var,17,Test recall,1,Plain RF
climate,rf_var,17,Test specificity,0.998344370860927,Plain RF
climate,rf_var,17,Train accuracy,1,Plain RF
climate,rf_var,18,OOB accuracy,0.945100988397078,Plain RF
climate,rf_var,18,Test AUC,0.980124185119872,Plain RF
climate,rf_var,18,Test F1,0.950588235294118,Plain RF
climate,rf_var,18,Test TSS,0.89877273399379,Plain RF
climate,rf_var,18,Test accuracy,0.949386366996895,Plain RF
climate,rf_var,18,Test balanced accuracy,0.949386366996895,Plain RF
climate,rf_var,18,Test precision,0.928539199097575,Plain RF
climate,rf_var,18,Test recall,0.973709892059737,Plain RF
climate,rf_var,18,Test specificity,0.925062841934053,Plain RF
climate,rf_var,18,Train accuracy,1,Plain RF
climate,rf_var,19,OOB accuracy,0.950435052827843,Plain RF
climate,rf_var,19,Test AUC,0.990729815811518,Plain RF
climate,rf_var,19,Test F1,0.955207511391202,Plain RF
climate,rf_var,19,Test TSS,0.91040358368919,Plain RF
climate,rf_var,19,Test accuracy,0.955201791844595,Plain RF
climate,rf_var,19,Test balanced accuracy,0.955201791844595,Plain RF
climate,rf_var,19,Test precision,0.955085572218432,Plain RF
climate,rf_var,19,Test recall,0.955329481704764,Plain RF
climate,rf_var,19,Test specificity,0.955074101984426,Plain RF
climate,rf_var,19,Train accuracy,0.999948207996685,Plain RF
climate,rf_var,20,OOB accuracy,0.937967307791471,Plain RF
climate,rf_var,20,Test AUC,0.976002446879581,Plain RF
climate,rf_var,20,Test F1,0.941603815439219,Plain RF
climate,rf_var,20,Test TSS,0.880427288728111,Plain RF
climate,rf_var,20,Test accuracy,0.940213644364055,Plain RF
climate,rf_var,20,Test balanced accuracy,0.940213644364055,Plain RF
climate,rf_var,20,Test precision,0.920206876795268,Plain RF
climate,rf_var,20,Test recall,0.964019498900956,Plain RF
climate,rf_var,20,Test specificity,0.916407789827154,Plain RF
climate,rf_var,20,Train accuracy,1,Plain RF
climate,rf_var,21,OOB accuracy,0.940252409606475,Plain RF
climate,rf_var,21,Test AUC,0.98329489515959,Plain RF
climate,rf_var,21,Test F1,0.944329233121839,Plain RF
climate,rf_var,21,Test TSS,0.886410413610387,Plain RF
climate,rf_var,21,Test accuracy,0.943205206805194,Plain RF
climate,rf_var,21,Test balanced accuracy,0.943205206805194,Plain RF
climate,rf_var,21,Test precision,0.926002704394905,Plain RF
climate,rf_var,21,Test recall,0.963395809156795,Plain RF
climate,rf_var,21,Test specificity,0.923014604453592,Plain RF
climate,rf_var,21,Train accuracy,1,Plain RF
climate,rf_var,22,OOB accuracy,0.97336660386006,Plain RF
climate,rf_var,22,Test AUC,0.995455613714809,Plain RF
climate,rf_var,22,Test F1,0.972539602618227,Plain RF
climate,rf_var,22,Test TSS,0.94452703231359,Plain RF
climate,rf_var,22,Test accuracy,0.972263516156795,Plain RF
climate,rf_var,22,Test balanced accuracy,0.972263516156795,Plain RF
climate,rf_var,22,Test precision,0.962954440865163,Plain RF
climate,rf_var,22,Test recall,0.982317502542837,Plain RF
climate,rf_var,22,Test specificity,0.962209529770753,Plain RF
climate,rf_var,22,Train accuracy,1,Plain RF
climate,rf_var,23,OOB accuracy,0.935138468438166,Plain RF
climate,rf_var,23,Test AUC,0.979518359541987,Plain RF
climate,rf_var,23,Test F1,0.94351026122622,Plain RF
climate,rf_var,23,Test TSS,0.884610349723585,Plain RF
climate,rf_var,23,Test accuracy,0.942305174861792,Plain RF
climate,rf_var,23,Test balanced accuracy,0.942305174861792,Plain RF
climate,rf_var,23,Test precision,0.924206134590126,Plain RF
climate,rf_var,23,Test recall,0.963638011419135,Plain RF
climate,rf_var,23,Test specificity,0.92097233830445,Plain RF
climate,rf_var,23,Train accuracy,1,Plain RF
climate,rf_var,24,OOB accuracy,0.940819160013884,Plain RF
climate,rf_var,24,Test AUC,0.981451692550376,Plain RF
climate,rf_var,24,Test F1,0.947592990179741,Plain RF
climate,rf_var,24,Test TSS,0.893584204852176,Plain RF
climate,rf_var,24,Test accuracy,0.946792102426088,Plain RF
climate,rf_var,24,Test balanced accuracy,0.946792102426088,Plain RF
climate,rf_var,24,Test precision,0.933541283282809,Plain RF
climate,rf_var,24,Test recall,0.962074175499894,Plain RF
climate,rf_var,24,Test specificity,0.931510029352282,Plain RF
climate,rf_var,24,Train accuracy,1,Plain RF
climate,rf_var,25,OOB accuracy,0.952189361479778,Plain RF
climate,rf_var,25,Test AUC,0.987940732440293,Plain RF
climate,rf_var,25,Test F1,0.957335158567192,Plain RF
climate,rf_var,25,Test TSS,0.913371236049695,Plain RF
climate,rf_var,25,Test accuracy,0.956685618024847,Plain RF
climate,rf_var,25,Test balanced accuracy,0.956685618024847,Plain RF
climate,rf_var,25,Test precision,0.943191106751676,Plain RF
climate,rf_var,25,Test recall,0.971909875763319,Plain RF
climate,rf_var,25,Test specificity,0.941461360286376,Plain RF
climate,rf_var,25,Train accuracy,1,Plain RF
climate,rf_var,26,OOB accuracy,0.964298668324784,Plain RF
climate,rf_var,26,Test AUC,0.991809015063549,Plain RF
climate,rf_var,26,Test F1,0.968374875373878,Plain RF
climate,rf_var,26,Test TSS,0.935565125538312,Plain RF
climate,rf_var,26,Test accuracy,0.967782562769156,Plain RF
climate,rf_var,26,Test balanced accuracy,0.967782562769156,Plain RF
climate,rf_var,26,Test precision,0.950892857142857,Plain RF
climate,rf_var,26,Test recall,0.986511741285447,Plain RF
climate,rf_var,26,Test specificity,0.949053384252864,Plain RF
climate,rf_var,26,Train accuracy,1,Plain RF
climate,rf_var,27,OOB accuracy,0.962881982404081,Plain RF
climate,rf_var,27,Test AUC,0.990642318454477,Plain RF
climate,rf_var,27,Test F1,0.959181100677704,Plain RF
climate,rf_var,27,Test TSS,0.917645199952213,Plain RF
climate,rf_var,27,Test accuracy,0.958822599976107,Plain RF
climate,rf_var,27,Test balanced accuracy,0.958822599976107,Plain RF
climate,rf_var,27,Test precision,0.950902308318658,Plain RF
climate,rf_var,27,Test recall,0.967605313560988,Plain RF
climate,rf_var,27,Test specificity,0.950039886391226,Plain RF
climate,rf_var,27,Train accuracy,1,Plain RF
climate,rf_var,28,OOB accuracy,0.953904045155221,Plain RF
climate,rf_var,28,Test AUC,0.988414757244387,Plain RF
climate,rf_var,28,Test F1,0.956846443794695,Plain RF
climate,rf_var,28,Test TSS,0.911959177806526,Plain RF
climate,rf_var,28,Test accuracy,0.955979588903263,Plain RF
climate,rf_var,28,Test balanced accuracy,0.955979588903263,Plain RF
climate,rf_var,28,Test precision,0.938367995577973,Plain RF
climate,rf_var,28,Test recall,0.976067270375162,Plain RF
climate,rf_var,28,Test specificity,0.935891907431364,Plain RF
climate,rf_var,28,Train accuracy,1,Plain RF
climate,rf_var,29,OOB accuracy,0.976424995963184,Plain RF
climate,rf_var,29,Test AUC,0.996107169941644,Plain RF
climate,rf_var,29,Test F1,0.981453664203169,Plain RF
climate,rf_var,29,Test TSS,0.962511639204891,Plain RF
climate,rf_var,29,Test accuracy,0.981255819602445,Plain RF
climate,rf_var,29,Test balanced accuracy,0.981255819602445,Plain RF
climate,rf_var,29,Test precision,0.971202631996195,Plain RF
climate,rf_var,29,Test recall,0.991923403910773,Plain RF
climate,rf_var,29,Test specificity,0.970588235294118,Plain RF
climate,rf_var,29,Train accuracy,1,Plain RF
climate,rf_var,30,OOB accuracy,0.910255766041907,Plain RF
climate,rf_var,30,Test AUC,0.961790694990093,Plain RF
climate,rf_var,30,Test F1,0.918929903680196,Plain RF
climate,rf_var,30,Test TSS,0.832342155107399,Plain RF
climate,rf_var,30,Test accuracy,0.916171077553699,Plain RF
climate,rf_var,30,Test balanced accuracy,0.916171077553699,Plain RF
climate,rf_var,30,Test precision,0.889651306321117,Plain RF
climate,rf_var,30,Test recall,0.950201210139379,Plain RF
climate,rf_var,30,Test specificity,0.882140944968019,Plain RF
climate,rf_var,30,Train accuracy,1,Plain RF
climate,rf_var,31,OOB accuracy,0.950109616638028,Plain RF
climate,rf_var,31,Test AUC,0.986604263317746,Plain RF
climate,rf_var,31,Test F1,0.953194306266225,Plain RF
climate,rf_var,31,Test TSS,0.904418150452111,Plain RF
climate,rf_var,31,Test accuracy,0.952209075226055,Plain RF
climate,rf_var,31,Test balanced accuracy,0.952209075226055,Plain RF
climate,rf_var,31,Test precision,0.933940705768781,Plain RF
climate,rf_var,31,Test recall,0.973258459640119,Plain RF
climate,rf_var,31,Test specificity,0.931159690811992,Plain RF
climate,rf_var,31,Train accuracy,1,Plain RF
climate,rf_var,32,OOB accuracy,0.96955325253235,Plain RF
climate,rf_var,32,Test AUC,0.99438122346187,Plain RF
climate,rf_var,32,Test F1,0.974000836995187,Plain RF
climate,rf_var,32,Test TSS,0.947195070123247,Plain RF
climate,rf_var,32,Test accuracy,0.973597535061623,Plain RF
climate,rf_var,32,Test balanced accuracy,0.973597535061623,Plain RF
climate,rf_var,32,Test precision,0.959346661170651,Plain RF
climate,rf_var,32,Test recall,0.989109647258818,Plain RF
climate,rf_var,32,Test specificity,0.958085422864428,Plain RF
climate,rf_var,32,Train accuracy,0.999941448562562,Plain RF
climate,rf_var,33,OOB accuracy,0.958556776175353,Plain RF
climate,rf_var,33,Test AUC,0.987850408055474,Plain RF
climate,rf_var,33,Test F1,0.96226533928444,Plain RF
climate,rf_var,33,Test TSS,0.923302752293578,Plain RF
climate,rf_var,33,Test accuracy,0.961651376146789,Plain RF
climate,rf_var,33,Test balanced accuracy,0.961651376146789,Plain RF
climate,rf_var,33,Test precision,0.947102191952921,Plain RF
climate,rf_var,33,Test recall,0.977921911670578,Plain RF
climate,rf_var,33,Test specificity,0.945380840623,Plain RF
climate,rf_var,33,Train accuracy,1,Plain RF
climate,rf_var,34,OOB accuracy,0.987113402061856,Plain RF
climate,rf_var,34,Test AUC,0.99822475868284,Plain RF
climate,rf_var,34,Test F1,0.990554156171284,Plain RF
climate,rf_var,34,Test TSS,0.980988593155893,Plain RF
climate,rf_var,34,Test accuracy,0.990494296577947,Plain RF
climate,rf_var,34,Test balanced accuracy,0.990494296577947,Plain RF
climate,rf_var,34,Test precision,0.984355444305382,Plain RF
climate,rf_var,34,Test recall,0.996831432192649,Plain RF
climate,rf_var,34,Test specificity,0.984157160963245,Plain RF
climate,rf_var,34,Train accuracy,1,Plain RF
climate,rf_var,35,OOB accuracy,0.987263873280891,Plain RF
climate,rf_var,35,Test AUC,0.998208611734009,Plain RF
climate,rf_var,35,Test F1,0.988337456454789,Plain RF
climate,rf_var,35,Test TSS,0.976526775734173,Plain RF
climate,rf_var,35,Test accuracy,0.988263387867087,Plain RF
climate,rf_var,35,Test balanced accuracy,0.988263387867087,Plain RF
climate,rf_var,35,Test precision,0.982139273530002,Plain RF
climate,rf_var,35,Test recall,0.99461436845849,Plain RF
climate,rf_var,35,Test specificity,0.981912407275683,Plain RF
climate,rf_var,35,Train accuracy,1,Plain RF
climate,rf_var,36,OOB accuracy,0.96933919643395,Plain RF
climate,rf_var,36,Test AUC,0.993419878090809,Plain RF
climate,rf_var,36,Test F1,0.97158207267072,Plain RF
climate,rf_var,36,Test TSS,0.941957840023101,Plain RF
climate,rf_var,36,Test accuracy,0.970978920011551,Plain RF
climate,rf_var,36,Test balanced accuracy,0.970978920011551,Plain RF
climate,rf_var,36,Test precision,0.95180055401662,Plain RF
climate,rf_var,36,Test recall,0.992203291943402,Plain RF
climate,rf_var,36,Test specificity,0.9497545480797,Plain RF
climate,rf_var,36,Train accuracy,1,Plain RF
climate,rf_var,37,OOB accuracy,0.968597041192323,Plain RF
climate,rf_var,37,Test AUC,0.994506441192978,Plain RF
climate,rf_var,37,Test F1,0.968442665378377,Plain RF
climate,rf_var,37,Test TSS,0.936585534983704,Plain RF
climate,rf_var,37,Test accuracy,0.968292767491852,Plain RF
climate,rf_var,37,Test balanced accuracy,0.968292767491852,Plain RF
climate,rf_var,37,Test precision,0.963885835966479,Plain RF
climate,rf_var,37,Test recall,0.973042784827682,Plain RF
climate,rf_var,37,Test specificity,0.963542750156022,Plain RF
climate,rf_var,37,Train accuracy,1,Plain RF
climate,rf_var,38,OOB accuracy,0.993045677256204,Plain RF
climate,rf_var,38,Test AUC,0.999295611966811,Plain RF
climate,rf_var,38,Test F1,0.995144023838428,Plain RF
climate,rf_var,38,Test TSS,0.990244983926394,Plain RF
climate,rf_var,38,Test accuracy,0.995122491963197,Plain RF
climate,rf_var,38,Test balanced accuracy,0.995122491963197,Plain RF
climate,rf_var,38,Test precision,0.990770245028019,Plain RF
climate,rf_var,38,Test recall,0.999556590178472,Plain RF
climate,rf_var,38,Test specificity,0.990688393747921,Plain RF
climate,rf_var,38,Train accuracy,0.999894631473579,Plain RF
climate,rf_var,39,OOB accuracy,0.984243269957556,Plain RF
climate,rf_var,39,Test AUC,0.996364680705221,Plain RF
climate,rf_var,39,Test F1,0.987114350931448,Plain RF
climate,rf_var,39,Test TSS,0.97395058052992,Plain RF
climate,rf_var,39,Test accuracy,0.98697529026496,Plain RF
climate,rf_var,39,Test balanced accuracy,0.98697529026496,Plain RF
climate,rf_var,39,Test precision,0.976686580212735,Plain RF
climate,rf_var,39,Test recall,0.99776719261685,Plain RF
climate,rf_var,39,Test specificity,0.976183387913069,Plain RF
climate,rf_var,39,Train accuracy,1,Plain RF
climate,rf_var,40,OOB accuracy,0.922916208489114,Plain RF
climate,rf_var,40,Test AUC,0.963981971525484,Plain RF
climate,rf_var,40,Test F1,0.929263151965225,Plain RF
climate,rf_var,40,Test TSS,0.852338536614046,Plain RF
climate,rf_var,40,Test accuracy,0.926169268307023,Plain RF
climate,rf_var,40,Test balanced accuracy,0.926169268307023,Plain RF
climate,rf_var,40,Test precision,0.891888482401918,Plain RF
climate,rf_var,40,Test recall,0.969907203261115,Plain RF
climate,rf_var,40,Test specificity,0.882431333352931,Plain RF
climate,rf_var,40,Train accuracy,1,Plain RF
climate,rf_var,41,OOB accuracy,0.963374827109267,Plain RF
climate,rf_var,41,Test AUC,0.988875449104539,Plain RF
climate,rf_var,41,Test F1,0.967311851017818,Plain RF
climate,rf_var,41,Test TSS,0.933357624339588,Plain RF
climate,rf_var,41,Test accuracy,0.966678812169794,Plain RF
climate,rf_var,41,Test balanced accuracy,0.966678812169794,Plain RF
climate,rf_var,41,Test precision,0.949277395818718,Plain RF
climate,rf_var,41,Test recall,0.98604481690654,Plain RF
climate,rf_var,41,Test specificity,0.947312807433048,Plain RF
climate,rf_var,41,Train accuracy,1,Plain RF
climate,rf_var,42,OOB accuracy,0.9765555959869,Plain RF
climate,rf_var,42,Test AUC,0.992659566382916,Plain RF
climate,rf_var,42,Test F1,0.977710339053998,Plain RF
climate,rf_var,42,Test TSS,0.954774189438818,Plain RF
climate,rf_var,42,Test accuracy,0.977387094719409,Plain RF
climate,rf_var,42,Test balanced accuracy,0.977387094719409,Plain RF
climate,rf_var,42,Test precision,0.963931246517962,Plain RF
climate,rf_var,42,Test recall,0.991889079983863,Plain RF
climate,rf_var,42,Test specificity,0.962885109454955,Plain RF
climate,rf_var,42,Train accuracy,0.999896033685086,Plain RF
climate,rf_var,43,OOB accuracy,0.993733117233928,Plain RF
climate,rf_var,43,Test AUC,0.999545639835027,Plain RF
climate,rf_var,43,Test F1,0.994089834515366,Plain RF
climate,rf_var,43,Test TSS,0.98812351543943,Plain RF
climate,rf_var,43,Test accuracy,0.994061757719715,Plain RF
climate,rf_var,43,Test balanced accuracy,0.994061757719715,Plain RF
climate,rf_var,43,Test precision,0.989411764705882,Plain RF
climate,rf_var,43,Test recall,0.998812351543943,Plain RF
climate,rf_var,43,Test specificity,0.989311163895487,Plain RF
climate,rf_var,43,Train accuracy,0.999891950297137,Plain RF
climate,rf_var,44,OOB accuracy,0.914785681714546,Plain RF
climate,rf_var,44,Test AUC,0.960376263618184,Plain RF
climate,rf_var,44,Test F1,0.920091591315539,Plain RF
climate,rf_var,44,Test TSS,0.833391413437413,Plain RF
climate,rf_var,44,Test accuracy,0.916695706718706,Plain RF
climate,rf_var,44,Test balanced accuracy,0.916695706718706,Plain RF
climate,rf_var,44,Test precision,0.884053316203629,Plain RF
climate,rf_var,44,Test recall,0.959192918873711,Plain RF
climate,rf_var,44,Test specificity,0.874198494563702,Plain RF
climate,rf_var,44,Train accuracy,1,Plain RF
climate,rf_var,45,OOB accuracy,0.980294082198385,Plain RF
climate,rf_var,45,Test AUC,0.996866739717914,Plain RF
climate,rf_var,45,Test F1,0.984452799512245,Plain RF
climate,rf_var,45,Test TSS,0.968628255074841,Plain RF
climate,rf_var,45,Test accuracy,0.98431412753742,Plain RF
